episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,2.061286,0.686602,0.653659,0.662039,0.510592,0.512954,2,13,331,126,126,3,2730,0.5,True,True,0.5,2,1,0.563492
2,2.021771,0.685445,0.593750,0.676060,0.495910,0.505583,2,26,305,113,113,3,2730,0.5,True,True,0.5,2,1,0.610619
3,2.013697,1.640496,0.386792,1.633775,0.534966,0.495460,6,19,232,126,126,3,2730,0.5,True,True,0.5,3,1,0.285714
4,2.000190,0.694986,0.446886,0.698445,0.498731,0.496275,2,32,321,48,48,3,2730,0.5,True,True,0.5,2,1,0.520833
5,2.055092,0.665522,0.655319,0.644914,0.492662,0.486263,2,7,278,43,43,3,2730,0.5,True,True,0.5,2,1,0.674419
6,2.030747,0.684578,0.593750,0.676047,0.495120,0.509828,2,15,220,156,156,3,2730,0.5,True,True,0.5,2,1,0.576923
7,2.032184,0.690205,0.535714,0.692194,0.499701,0.502398,2,12,122,94,94,3,2730,0.5,True,True,0.5,2,1,0.56383
8,2.037999,0.967833,0.575221,0.964483,0.566908,0.528799,3,21,184,71,71,3,2730,0.5,True,True,0.5,2,1,0.605634
9,2.049968,1.330640,0.361516,1.326656,0.524744,0.540434,4,18,396,53,53,3,2730,0.5,True,True,0.5,3,1,0.320755
10,2.038271,0.690794,0.552941,0.688725,0.499176,0.496499,2,14,295,210,210,3,2730,0.5,True,True,0.5,2,1,0.528571
11,2.064382,0.684154,0.570312,0.691418,0.491010,0.512065,2,9,177,49,49,3,2730,0.5,True,True,0.5,2,1,0.632653
12,2.035153,1.660647,0.269461,1.666364,0.574389,0.496514,6,21,221,54,54,3,2730,0.5,True,True,0.5,3,1,0.333333
13,2.049515,1.186290,0.314815,1.193584,0.608510,0.528086,4,17,223,115,115,3,2730,0.5,True,True,0.5,3,1,0.417391
14,2.034005,0.676274,0.619658,0.665041,0.481491,0.485853,2,22,309,75,75,3,2730,0.5,True,True,0.5,2,1,0.6
15,2.054785,0.648257,0.714286,0.606051,0.493196,0.509883,2,17,135,93,93,3,2730,0.5,True,True,0.5,2,1,0.655914
16,2.047490,0.712105,0.440000,0.767530,0.492197,0.505250,2,19,158,108,108,3,2730,0.5,True,True,0.5,2,1,0.638889
17,2.042705,0.652567,0.686992,0.622426,0.506039,0.540334,2,31,354,108,108,3,2730,0.5,True,True,0.5,2,1,0.666667
18,2.030771,1.327052,0.329670,1.334867,0.497738,0.517263,4,23,214,123,123,3,2730,0.5,True,True,0.5,3,1,0.398374
19,2.077055,1.001810,0.610169,0.981675,0.493435,0.516065,3,10,206,29,29,3,2730,0.5,True,True,0.5,2,1,0.413793
20,2.044451,0.904407,0.581395,0.904959,0.494049,0.492288,3,13,298,255,255,3,2730,0.5,True,True,0.5,2,1,0.619608
21,2.071428,0.690340,0.585366,0.685407,0.485056,0.505012,2,8,134,93,93,3,2730,0.5,True,True,0.5,2,1,0.526882
22,2.054362,0.688999,0.550000,0.691477,0.501728,0.527775,2,13,123,83,83,3,2730,0.5,True,True,0.5,2,1,0.590361
23,2.040558,0.663508,0.703297,0.628817,0.500187,0.507658,2,22,200,109,109,3,2730,0.5,True,True,0.5,2,1,0.605505
24,2.064998,1.281628,0.333333,1.288847,0.564428,0.529094,4,5,392,200,200,3,2730,0.5,True,True,0.5,3,1,0.405
25,2.037962,1.581391,0.277778,1.583667,0.589162,0.451852,6,25,142,88,88,3,2730,0.5,True,True,0.5,3,1,0.352273
26,2.022262,1.226144,0.553030,1.237116,0.592474,0.477888,5,27,214,82,82,3,2730,0.5,True,True,0.5,3,1,0.634146
27,2.050395,0.657523,0.669725,0.635101,0.507481,0.570924,2,24,205,96,96,3,2730,0.5,True,True,0.5,2,1,0.6875
28,2.036702,0.663295,0.648148,0.649033,0.512028,0.516385,2,27,131,77,77,3,2730,0.5,True,True,0.5,2,1,0.662338
29,2.046612,0.657163,0.655172,0.645102,0.495326,0.499909,2,28,299,154,154,3,2730,0.5,True,True,0.5,2,1,0.675325
30,2.054704,0.679155,0.686833,0.661577,0.493714,0.504818,2,27,312,31,31,3,2730,0.5,True,True,0.5,2,1,0.548387
31,2.044813,1.147809,0.500000,1.148650,0.559747,0.553729,4,11,363,301,301,3,2730,0.5,True,True,0.5,3,1,0.538206
32,2.047783,0.680409,0.631579,0.667164,0.498955,0.497066,2,26,321,283,283,3,2730,0.5,True,True,0.5,2,1,0.565371
33,2.036704,1.188021,0.327273,1.198349,0.521009,0.499792,4,28,266,211,211,3,2730,0.5,True,True,0.5,3,1,0.445498
34,2.065479,0.662643,0.638132,0.662494,0.509676,0.478165,2,20,366,109,109,3,2730,0.5,True,True,0.5,2,1,0.697248
35,2.060176,0.648460,0.700000,0.619597,0.499713,0.524665,2,14,141,91,91,3,2730,0.5,True,True,0.5,2,1,0.637363
36,2.072922,0.669011,0.646288,0.650313,0.502284,0.508333,2,7,391,162,162,3,2730,0.5,True,True,0.5,2,1,0.62963
37,2.038177,1.407032,0.480392,1.408301,0.555544,0.515832,5,28,321,219,219,3,2730,0.5,True,True,0.5,3,1,0.424658
38,2.048877,0.664401,0.646341,0.650443,0.507309,0.568604,2,17,264,182,182,3,2730,0.5,True,True,0.5,2,1,0.664835
39,2.035852,1.103261,0.263804,1.112630,0.539370,0.537821,3,31,379,53,53,3,2730,0.5,True,True,0.5,2,1,0.415094
40,2.042848,0.692946,0.515789,0.694371,0.496768,0.503145,2,30,328,233,233,3,2730,0.5,True,True,0.5,2,1,0.545064
41,2.044709,1.046839,0.580645,1.034201,0.489835,0.523407,3,15,254,223,223,3,2730,0.5,True,True,0.5,2,1,0.452915
42,2.051617,0.639921,0.737037,0.590164,0.485338,0.488920,2,31,361,91,91,3,2730,0.5,True,True,0.5,2,1,0.659341
43,2.038700,1.136948,0.398551,1.134380,0.581667,0.501139,4,29,299,161,161,3,2730,0.5,True,True,0.5,3,1,0.403727
44,2.031270,0.867365,0.698113,0.821389,0.492600,0.500132,3,28,382,117,117,3,2730,0.5,True,True,0.5,2,1,0.615385
45,2.042768,1.281426,0.519481,1.287358,0.494837,0.514594,5,30,213,136,136,3,2730,0.5,True,True,0.5,3,1,0.580882
46,2.062497,1.242780,0.481481,1.234209,0.612572,0.578260,5,11,142,115,115,3,2730,0.5,True,True,0.5,3,1,0.486957
47,2.074360,1.384103,0.453782,1.374714,0.526823,0.521907,5,5,320,201,201,3,2730,0.5,True,True,0.5,3,1,0.41791
