task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
3,3,kr-vs-kp,0.0,Binary,3196,36,2,1.0929927963326784,0.984375,0.984330777291379,0.984375,0.9849019607843137,0.9839340925991155,0.9991389769480646,0.17986899078529764,0.5263150855898857,0.5448961891233921,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,1.0,Binary,3196,36,2,1.0929927963326784,0.965625,0.9655843330497952,0.965625,0.9653689806128831,0.9659700207428281,0.9872803412782278,0.2139025810309497,0.37685563787817955,0.5363751035183668,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,2.0,Binary,3196,36,2,1.0929927963326784,0.975,0.974937343358396,0.975,0.9752733257572789,0.9746780947908105,0.9953035106258072,0.20718364577032578,0.31991281919181347,0.5406646430492401,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,3.0,Binary,3196,36,2,1.0929927963326784,0.975,0.9749755620723363,0.975,0.9747567504200696,0.9754999804312943,0.9974952056670972,0.19097024949007319,0.317146360874176,0.5414409879595041,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,4.0,Binary,3196,36,2,1.0929927963326784,0.99375,0.9937411985604757,0.99375,0.9935483870967742,0.9940119760479043,0.9999608625885484,0.19556080631612455,0.3152348045259714,0.545862190425396,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,5.0,Binary,3196,36,2,1.0929927963326784,0.98125,0.981223595681427,0.98125,0.9810361681329424,0.9814880043833901,0.9987867402450001,0.19468008498716965,0.3269102219492197,0.5406127981841564,2876.0,320.0,42,32.0,,10,
3,3,kr-vs-kp,6.0,Binary,3196,36,2,1.0929927963326784,0.9749216300940439,0.9748917748917749,0.9749216300940439,0.9747246262785209,0.9751358374675171,0.9940940231514293,0.21710536628603191,0.31674113869667053,0.5404753684997559,2877.0,319.0,42,32.0,,10,
3,3,kr-vs-kp,7.0,Binary,3196,36,2,1.0929927963326784,0.9467084639498433,0.9464981600418307,0.9467084639498433,0.9476150925486473,0.9458517176173968,0.994287740308856,0.2235314904746093,0.3165212031453848,0.5321238022297621,2877.0,319.0,42,32.0,,10,
3,3,kr-vs-kp,8.0,Binary,3196,36,2,1.0929927963326784,0.9592476489028213,0.9591174817867247,0.9592476489028213,0.9596920647453613,0.9587141506460762,0.9963756697132051,0.2061361756302883,0.3194429334253073,0.5389221124351025,2877.0,319.0,42,32.0,,10,
3,3,kr-vs-kp,9.0,Binary,3196,36,2,1.0929927963326784,0.9780564263322884,0.9780140796534239,0.9780564263322884,0.9778919599968501,0.9781555310431769,0.9949968484084462,0.21107622132905107,0.31729983910918236,0.5378292202949524,2877.0,319.0,42,32.0,,10,
