dataset_id,dataset_name,log_loss_mean_SA,log_loss_mean_EA,delta_nll,n_numeric_features,n_categorical_features,sparsity,frac_numeric_features,group
3,kr-vs-kp,0.0220580818191179,0.0411098158147298,0.0190517339956119,0.0,36.0,,0.0,other
11,balance-scale,0.1322153726786297,0.1053364249590089,-0.026878947719620808,4.0,0.0,0.0,1.0,numeric-dominated
12,mfeat-factors,0.0571768914547764,0.0655263822994478,0.008349490844671396,216.0,0.0,0.005442129629629629,1.0,numeric-dominated
14,mfeat-fourier,0.395175527760039,0.4838696075380208,0.08869407977798177,76.0,0.0,0.0,1.0,numeric-dominated
15,breast-w,0.0831131700245485,0.0844189246241344,0.001305754599585901,9.0,0.0,0.0,1.0,numeric-dominated
16,mfeat-karhunen,0.0699763898749749,0.0737336206743835,0.003757230799408595,64.0,0.0,0.0,1.0,numeric-dominated
18,mfeat-morphological,0.5927815751738259,0.5951770895638993,0.00239551439007335,6.0,0.0,0.20333333333333334,1.0,numeric-dominated
22,mfeat-zernike,0.296056079942748,0.2927642431547915,-0.003291836787956526,47.0,0.0,0.0,1.0,numeric-dominated
23,cmc,0.8921434166280235,0.8912414873817618,-0.0009019292462617567,2.0,7.0,0.03292600135777325,0.2222222222222222,other
28,optdigits,0.0236333829784768,0.0260007098446972,0.0023673268662204004,64.0,0.0,0.4883868994661922,1.0,numeric-dominated
29,credit-approval,0.3416217856400162,0.3290833507744674,-0.012538434865548842,6.0,9.0,0.22004830917874396,0.4,other
31,credit-g,0.5065401019016593,0.5005938171754739,-0.0059462847261854135,7.0,13.0,0.0,0.35,other
32,pendigits,0.0135168282473991,0.0133833734489579,-0.00013345479844119844,16.0,0.0,0.12829785298398835,1.0,numeric-dominated
37,diabetes,0.4761893724319355,0.4872839252382868,0.011094552806351299,8.0,0.0,0.12418619791666667,1.0,numeric-dominated
38,sick,0.0387414466140656,0.0470120427805425,0.0082705961664769,7.0,22.0,0.0,0.2413793103448276,other
44,spambase,0.118183641087913,0.1202952327167719,0.0021115916288588915,57.0,0.0,0.7741490217610969,1.0,numeric-dominated
46,splice,0.231911385894461,0.2262070113439839,-0.005704374550477093,0.0,60.0,,0.0,other
50,tic-tac-toe,0.0144134703035432,0.031752590624246,0.017339120320702797,0.0,9.0,,0.0,other
54,vehicle,0.280432875055184,0.2933056478436831,0.012872772788499132,18.0,0.0,0.0070265300761754666,1.0,numeric-dominated
151,electricity,0.3411169298783748,0.3529618414058224,0.011844911527447599,7.0,1.0,0.0033387560532687653,0.875,numeric-dominated
182,satimage,0.2047592998632997,0.2119025551253427,0.007143255262043013,36.0,0.0,0.0,1.0,numeric-dominated
188,eucalyptus,0.6620160375812482,0.660050409312378,-0.0019656282688701454,14.0,5.0,0.0007763975155279503,0.7368421052631579,numeric-dominated
458,analcatdata_authorship,0.0083331994401881,0.0146634865460914,0.006330287105903299,70.0,0.0,0.11037880074740955,1.0,numeric-dominated
469,analcatdata_dmft,1.8610471199430196,1.8090759305887605,-0.05197118935425915,0.0,4.0,,0.0,other
1049,pc4,0.1666954426186598,0.1671702464319404,0.0004748038132806054,37.0,0.0,0.19037556074593112,1.0,numeric-dominated
1050,pc3,0.2429079427707958,0.2414563517022568,-0.0014515910685390099,37.0,0.0,0.13300824817139598,1.0,numeric-dominated
1053,jm1,0.4258092232257356,0.4266690231669888,0.0008597999412531809,21.0,0.0,0.16691821423103004,1.0,numeric-dominated
1063,kc2,0.3799181565633167,0.3793111406551506,-0.0006070159081660864,21.0,0.0,0.1214194490056559,1.0,numeric-dominated
1067,kc1,0.3195023468751012,0.3167604139866696,-0.0027419328884316085,21.0,0.0,0.17042606516290726,1.0,numeric-dominated
1068,pc1,0.1662394605990103,0.1641018979308258,-0.0021375626681844895,21.0,0.0,0.08948430589548714,1.0,numeric-dominated
1461,bank-marketing,0.2156754155158179,0.2220083412572039,0.006332925741385997,7.0,9.0,0.12787975113515357,0.4375,other
1462,banknote-authentication,0.000222867004184,0.0001842189740249,-3.86480301591e-05,4.0,0.0,0.0,1.0,numeric-dominated
1464,blood-transfusion-service-center,0.4794917965958032,0.4796456736057692,0.00015387700996599696,4.0,0.0,0.0016711229946524064,1.0,numeric-dominated
1475,first-order-theorem-proving,1.07136701227105,1.089355188034212,0.01798817576316214,51.0,0.0,0.0,1.0,numeric-dominated
1480,ilpd,0.5040510647873366,0.4968629529455615,-0.007188111841775147,9.0,1.0,0.0,0.9,numeric-dominated
1485,madelon,0.6504237816570366,0.6673569343071571,0.01693315265012052,500.0,0.0,7.692307692307693e-07,1.0,numeric-dominated
1486,nomao,0.0941221710737364,0.1048923038816304,0.010770132807894003,89.0,29.0,0.021068760524029426,0.7542372881355932,numeric-dominated
1487,ozone-level-8hr,0.1341374907768039,0.1355056796294115,0.0013681888526076158,72.0,0.0,0.012469306322897483,1.0,numeric-dominated
1489,phoneme,0.209961401351344,0.2137348883647654,0.003773487013421395,5.0,0.0,0.0,1.0,numeric-dominated
1494,qsar-biodeg,0.314674980760374,0.3076548520599715,-0.007020128700402473,41.0,0.0,0.46311409085654837,1.0,numeric-dominated
1497,wall-robot-navigation,0.0893859527680161,0.0942564760392813,0.004870523271265206,24.0,0.0,0.0,1.0,numeric-dominated
1501,semeion,0.1976422247614029,0.1820909749732447,-0.015551249788158195,256.0,0.0,0.6713747645951036,1.0,numeric-dominated
1510,wdbc,0.066816936880674,0.064612516327201,-0.002204420553473002,30.0,0.0,0.0045694200351493845,1.0,numeric-dominated
1590,adult,0.3173411759002827,0.3227299111820323,0.0053887352817496015,6.0,8.0,0.3117774319915919,0.42857142857142855,other
4534,PhishingWebsites,0.0756550132503694,0.130069792693165,0.05441477944279559,0.0,30.0,,0.0,other
4538,GesturePhaseSegmentationProcessed,0.733218557434983,0.7317147388242352,-0.0015038186107477758,32.0,0.0,4.431277220702927e-05,1.0,numeric-dominated
6332,cylinder-bands,0.3594705591491988,0.3631806556702114,0.003710096521012618,18.0,19.0,0.10596707818930041,0.4864864864864865,other
23381,dresses-sales,0.6998696070515045,0.6918306556969076,-0.008038951354596868,1.0,11.0,0.24,0.08333333333333333,other
40670,dna,0.1565799797790844,0.210752436774346,0.0541724569952616,0.0,180.0,,0.0,other
40701,churn,0.1618629817492627,0.1566150420688577,-0.005247939680404989,16.0,4.0,0.0479375,0.8,numeric-dominated
40966,MiceProtein,0.0051280118858574,0.0060656892111623,0.0009376773253049007,77.0,0.0,0.0,1.0,numeric-dominated
40975,car,0.0248267861030978,0.0380922123551921,0.013265426252094297,0.0,6.0,,0.0,other
40979,mfeat-pixel,0.0639436245407111,0.0694901786494115,0.005546554108700391,240.0,0.0,0.0,1.0,numeric-dominated
40982,steel-plates-fault,0.5290518362225266,0.5290776113984176,2.577517589097411e-05,27.0,0.0,0.05524071211861011,1.0,numeric-dominated
40983,wilt,0.0340752836776075,0.033189490142604,-0.0008857935350035026,5.0,0.0,0.00045463938830336847,1.0,numeric-dominated
40984,segment,0.1450221807950392,0.1497119481804012,0.004689767385362004,16.0,0.0,0.13747294372294372,1.0,numeric-dominated
