dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,accuracy_foldboot_ci_lower,accuracy_foldboot_ci_upper,f1_macro_n,f1_macro_mean,f1_macro_std,f1_macro_foldboot_ci_lower,f1_macro_foldboot_ci_upper,f1_micro_n,f1_micro_mean,f1_micro_std,f1_micro_foldboot_ci_lower,f1_micro_foldboot_ci_upper,precision_macro_n,precision_macro_mean,precision_macro_std,precision_macro_foldboot_ci_lower,precision_macro_foldboot_ci_upper,recall_macro_n,recall_macro_mean,recall_macro_std,recall_macro_foldboot_ci_lower,recall_macro_foldboot_ci_upper,roc_auc_n,roc_auc_mean,roc_auc_std,roc_auc_foldboot_ci_lower,roc_auc_foldboot_ci_upper,log_loss_n,log_loss_mean,log_loss_std,log_loss_foldboot_ci_lower,log_loss_foldboot_ci_upper,fit_seconds_n,fit_seconds_mean,fit_seconds_std,fit_seconds_foldboot_ci_lower,fit_seconds_foldboot_ci_upper,predict_seconds_n,predict_seconds_mean,predict_seconds_std,predict_seconds_foldboot_ci_lower,predict_seconds_foldboot_ci_upper
3,kr-vs-kp,10,10,0.9896737852664577,0.006090581208230465,0.9859041927899688,0.9928085815047021,10,0.9896541703260178,0.0060959207853700905,0.9858827100870433,0.9927926480593326,10,0.9896737852664577,0.006090581208230465,0.9859041927899688,0.9928085815047021,10,0.9897846318393106,0.00611679598081581,0.9858806120026065,0.9929893627480779,10,0.9896613070872938,0.005992213027367885,0.9860124481196634,0.9928866150614335,10,0.9994230203722759,0.0006046899726561071,0.9990479110924705,0.9997367751596908,10,0.04110981581472987,0.010626245594449371,0.03510232913165563,0.047368589765968624,10,3.140962972503621,0.2247420248305259,3.0015485020812775,3.270039606969804,10,0.7744181804999244,0.008705913162260295,0.769248207284836,0.7802412889996776
11,balance-scale,10,10,0.9615463389656937,0.02302465361110289,0.9470046082949309,0.9729742703533026,10,0.9227919221778871,0.038359720741347934,0.8993031641847432,0.9428314441406547,10,0.9615463389656937,0.02302465361110289,0.9470046082949309,0.9729742703533026,10,0.8973544973544973,0.040999127184607534,0.8732804232804232,0.9198412698412699,10,0.972167487684729,0.016683711938095515,0.9616163793103446,0.9804823481116585,10,0.9953678182486765,0.004905687046468218,0.9921211724625505,0.99804683008192,10,0.1053364249590089,0.03612500495303027,0.08545055266411282,0.12879616815119482,10,3.0103138395992572,0.16276930255015937,2.9031636397021066,3.092585261231725,10,0.16638071539928206,0.006248661893955445,0.16250084550905738,0.1700387885661621
12,mfeat-factors,10,10,0.982,0.00856348838577676,0.9769875,0.9864999999999998,10,0.9820207131336784,0.008539572359773527,0.9770147546986604,0.9865038355151482,10,0.982,0.00856348838577676,0.9769875,0.9864999999999998,10,0.9828806106174527,0.008109187701892355,0.9779943552061973,0.9871973940533152,10,0.982,0.00856348838577676,0.9769875,0.9864999999999998,10,0.9997027777777779,0.00038867939683674045,0.999433263888889,0.9998833333333333,10,0.06552638229944789,0.022161282391434483,0.055135126509979863,0.0801848498500608,10,3.530004102399107,0.12116031113752188,3.4577242698591726,3.5997047987054978,10,1.9921296985994559,0.016038700066642504,1.9841769628871408,2.003118156948476
14,mfeat-fourier,10,10,0.8150000000000001,0.02798809270624442,0.7979999999999999,0.8305,10,0.8112118964205403,0.028747226354664996,0.7931015833704069,0.8273189652244947,10,0.8150000000000001,0.02798809270624442,0.7979999999999999,0.8305,10,0.8153638285169451,0.028445948274903505,0.7976349406248653,0.8313575434072544,10,0.8150000000000001,0.027988092706244465,0.7979999999999999,0.8305,10,0.9802111111111111,0.004757695376432172,0.977233263888889,0.9829283333333333,10,0.48386960753802083,0.052443837041777894,0.45499195723295427,0.5177534277230422,10,3.2361325340985787,0.11694328332380714,3.1708504525240278,3.3014966422207364,10,0.8200233148992992,0.0072257788015214625,0.8160605078282243,0.8240954742082977
15,breast-w,10,10,0.9685300207039337,0.022125780379165075,0.9556718426501035,0.9813467908902692,10,0.9656747541623318,0.02412638345737436,0.9516509177115156,0.9796185244750073,10,0.9685300207039337,0.022125780379165075,0.9556718426501035,0.9813467908902692,10,0.9617872184176532,0.026274582367064002,0.946769955185716,0.9766238627214171,10,0.9710084541062802,0.021819709795735807,0.9575169082125605,0.9827415458937198,10,0.995114573268921,0.004635679463329731,0.9923490619967795,0.9977194041867955,10,0.08441892462413449,0.04653671381677832,0.0550954063977063,0.11213683898081088,10,3.117314336396521,0.11273963346184372,3.0488454483737586,3.188412192060641,10,0.22131509530590843,0.006371676494593717,0.21757440185712762,0.22516877950838535
16,mfeat-karhunen,10,10,0.9809999999999999,0.006146362971528596,0.9775,0.9844999999999999,10,0.9809761113591605,0.006225201067081276,0.9774661277112892,0.9845125080347255,10,0.9809999999999999,0.006146362971528596,0.9775,0.9844999999999999,10,0.9820023279542729,0.005907909557194152,0.9788033901453238,0.9852952233597828,10,0.9809999999999999,0.006146362971528596,0.9775,0.9844999999999999,10,0.9997,0.0002780245817160623,0.9995194444444447,0.9998305555555558,10,0.07373362067438352,0.01720544933600756,0.06386699549770535,0.08431675176629419,10,3.2974469667940864,0.08796495806336573,3.2457320128221183,3.3532842099361004,10,0.7288753798988182,0.005736471693778527,0.7257032634044299,0.7325126976631873
18,mfeat-morphological,10,10,0.731,0.02705960499013656,0.717,0.7474999999999999,10,0.7279554864816403,0.026554391091617828,0.7146427122143039,0.7439225454097158,10,0.731,0.02705960499013656,0.717,0.7474999999999999,10,0.7338073044903173,0.02888124546159753,0.719547401066071,0.7511147444549476,10,0.731,0.027059604990136574,0.717,0.7474999999999999,10,0.9672305555555555,0.006607479680098018,0.9638269444444445,0.9710168055555556,10,0.5951770895638993,0.10047913386159997,0.5406635633107625,0.6530110764710544,10,3.022519359202124,0.31380991194270286,2.8231947401340585,3.1596948927329502,10,0.30869078589603305,0.004735701129255276,0.3063001185283065,0.31201156773619004
22,mfeat-zernike,10,10,0.8190000000000002,0.026956755492207614,0.8035,0.8365,10,0.8153688281314544,0.027003144518415498,0.7999578631804433,0.8322727346615231,10,0.8190000000000002,0.026956755492207614,0.8035,0.8365,10,0.8141801984247637,0.02709760081745287,0.7986663662257841,0.8304796112227463,10,0.8190000000000002,0.026956755492207624,0.8035,0.8365,10,0.9802916666666667,0.0013812909460503757,0.9795638194444444,0.9812084027777777,10,0.29276424315479155,0.035682523735685576,0.2731296413728124,0.31449827914093875,10,3.0989747924904805,0.17467309880139922,2.992823577437957,3.191319741865009,10,0.5952051769010722,0.003120825560212685,0.5931747502967483,0.5971320707784616
23,cmc,10,10,0.5621529692958264,0.037245600051477076,0.5411109578966721,0.5843584528405957,10,0.540314318093689,0.03744218866730716,0.5195256880541751,0.5626434863859162,10,0.5621529692958264,0.037245600051477076,0.5411109578966721,0.5843584528405957,10,0.5535727018435989,0.041817895077549724,0.5302247536503016,0.5778762461437615,10,0.5375439217469578,0.037241145896260895,0.5168323947119013,0.5595406746426671,10,0.7485580812577777,0.03154309098961701,0.7320472435200303,0.7671496133268145,10,0.8912414873817618,0.049838331992756696,0.8621719290146407,0.9200709837610522,10,3.018863028596388,0.29650091096298276,2.836550980208849,3.1623967833752973,10,0.2792692535964306,0.003477876431596876,0.2771765555653838,0.28130240650629273
28,optdigits,10,10,0.9921708185053382,0.004454325825745789,0.9895017793594304,0.9946619217081849,10,0.9922019255538604,0.004427806421509724,0.989551889743454,0.9946773341409471,10,0.9921708185053382,0.004454325825745789,0.9895017793594304,0.9946619217081849,10,0.9923809448202385,0.004305060437850862,0.9898080585656555,0.9947810631095299,10,0.9921701471547205,0.004472629124750157,0.9894908497242321,0.9946647515634698,10,0.9999466846556349,3.993823490390107e-05,0.9999232227347197,0.9999692161294584,10,0.026000709844697267,0.009782109012714412,0.02065022463844971,0.03219366939886859,10,3.4792803921038287,0.1601074747152447,3.385690479809855,3.567825692185579,10,1.9141506044077687,0.003553133073692892,1.9122329575401091,1.9163793475010606
29,credit-approval,10,10,0.8855072463768116,0.04398523532401946,0.8565217391304347,0.910144927536232,10,0.8841482688264829,0.04433717482832256,0.855095763516128,0.9091222320535786,10,0.8855072463768116,0.04398523532401946,0.8565217391304347,0.910144927536232,10,0.8845399489151866,0.044697762454221995,0.8552920143917634,0.9096512272087172,10,0.884332419137173,0.04401832874981136,0.8557726535631884,0.9091167123764748,10,0.934759044012015,0.030139211531351406,0.9155260582183332,0.9500187446490502,10,0.32908335077446743,0.09174340941922718,0.28262072673331107,0.3880340217233437,10,3.1904783849953673,0.13711387297440483,3.1001318414816343,3.263956061701319,10,0.23226796630187888,0.0037062434200551297,0.23032876844939887,0.23447113965186872
31,credit-g,10,10,0.7619999999999999,0.026161889160464802,0.746975,0.7780250000000001,10,0.676327605953802,0.03839308011425547,0.6539967207867163,0.7002197663794607,10,0.7619999999999999,0.026161889160464802,0.746975,0.7780250000000001,10,0.7320826490551969,0.05172670154517583,0.7017997553556566,0.7639468606091075,10,0.6642857142857144,0.037259347918430184,0.6426130952380953,0.687625,10,0.7840238095238095,0.036730592594603165,0.7609744047619047,0.8055797619047618,10,0.5005938171754739,0.04508966977983319,0.47477184719185256,0.5301565233447333,10,3.0809278939093927,0.366515688577988,2.8506124926899794,3.2758703922318815,10,0.292396401707083,0.005915552031935459,0.2891568571663811,0.2961308842942526
32,pendigits,10,10,0.9970890892546944,0.001858668864179553,0.9959977603606585,0.998089420134006,10,0.9970758099444185,0.0018549628176170812,0.9959838396636598,0.9980734110440436,10,0.9970890892546944,0.001858668864179553,0.9959977603606585,0.998089420134006,10,0.9971066354284688,0.001838652000157792,0.9960229548309886,0.9980937027331426,10,0.997067475908804,0.0018571522995216444,0.9959658903719513,0.998068035963576,10,0.9998339741515483,0.00028155926954673787,0.9996535347544079,0.9999941528900202,10,0.013383373448957908,0.009473629708038049,0.007867135534065645,0.018883823065315802,10,3.4515847702044993,0.19414463877037555,3.344217667103221,3.5697692918940445,10,1.9912829284148756,0.005998739744670311,1.9878978056742926,1.9949101392901503
37,diabetes,10,10,0.7747095010252905,0.0506522895559449,0.746138072453862,0.8035714285714286,10,0.7435164294425415,0.06120344739305132,0.7081593926774676,0.776857552947865,10,0.7747095010252905,0.0506522895559449,0.746138072453862,0.8035714285714286,10,0.7567006505742092,0.05920206351939053,0.724510986662553,0.7908895228574848,10,0.7395384615384617,0.06211324955071456,0.7037655270655271,0.7739960826210828,10,0.8353874643874644,0.046833332849501655,0.8085968660968661,0.8612037037037036,10,0.48728392523828684,0.07371401422658716,0.4474742917734561,0.5299724705928711,10,3.08431330108433,0.1498143997528622,3.000925155283039,3.1735340430588983,10,0.23708128019934516,0.015843747312229144,0.22979003742118942,0.24722010556710303
38,sick,10,10,0.9793194672505017,0.005839818452686986,0.9758808576480991,0.9827614275890137,10,0.9025064852828735,0.028778343249079436,0.8862068946237818,0.9190399386287134,10,0.9793194672505017,0.005839818452686986,0.9758808576480991,0.9827614275890137,10,0.9393347669843035,0.030790646969443114,0.9215292343626393,0.9576683256293695,10,0.8739364700855589,0.037004994827914195,0.8528709162367969,0.894864690043973,10,0.9943208229974294,0.002161581861627231,0.9929684045689019,0.9955492983694356,10,0.04701204278054254,0.007335046938163864,0.042747788888693544,0.051288319094332305,10,3.2744690889958292,0.14443786588596016,3.1945222761301557,3.3602257439403913,10,0.8071315529930871,0.09068954698493821,0.7760648034446058,0.8655757071194239
44,spambase,10,10,0.9589257757238517,0.009278596590859493,0.953503407054607,0.9643478260869566,10,0.9568694597311088,0.009903417279924406,0.9510216632829125,0.9626595496210064,10,0.9589257757238517,0.009278596590859493,0.953503407054607,0.9643478260869566,10,0.958108410272786,0.008558800646877663,0.9533113486434293,0.9629548718045994,10,0.9559783229368218,0.011459099657940017,0.9489267155001874,0.9627663539515685,10,0.989960869782751,0.006033276090419232,0.9860467449354611,0.9932191242468235,10,0.12029523271677194,0.03475854061124141,0.10185503874111504,0.1413987990860427,10,3.3621208348020444,0.07610545014157383,3.3216017618789917,3.4108657970633067,10,1.4876903080090416,0.0128640450628134,1.4817665978803416,1.4965400739276082
