task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
3,3,kr-vs-kp,0.0,Binary,3196,36,2,1.0929927963326784,0.99375,0.993734335839599,0.99375,0.9940828402366864,0.9934640522875817,0.9999217251770969,0.016147496534323527,4.676146877987776,0.7493088300107047,2876.0,320.0,42,10,
3,3,kr-vs-kp,1.0,Binary,3196,36,2,1.0929927963326784,0.9875,0.9874877810361682,0.9875,0.9872611464968153,0.9880239520958084,0.9993346640053227,0.037604270014698155,3.5386703789699823,0.7453963870066218,2876.0,320.0,42,10,
3,3,kr-vs-kp,2.0,Binary,3196,36,2,1.0929927963326784,0.9875,0.987468671679198,0.9875,0.9878130020768838,0.9872020664553246,0.9987867402450001,0.03533890153218268,2.9633209809544496,0.7455732299713418,2876.0,320.0,42,10,
3,3,kr-vs-kp,3.0,Binary,3196,36,2,1.0929927963326784,0.99375,0.9937411985604757,0.99375,0.9935483870967742,0.9940119760479043,1.0,0.017252039901655043,3.1944202730082907,0.7423892439692281,2876.0,320.0,42,10,
3,3,kr-vs-kp,4.0,Binary,3196,36,2,1.0929927963326784,1.0,1.0,1.0,1.0,1.0,1.0,0.009042486339467928,3.182056850986555,0.7474191510118544,2876.0,320.0,42,10,
3,3,kr-vs-kp,5.0,Binary,3196,36,2,1.0929927963326784,1.0,1.0,1.0,1.0,1.0,1.0,0.007168068177059586,3.076749456988182,0.7455083260429092,2876.0,320.0,42,10,
3,3,kr-vs-kp,6.0,Binary,3196,36,2,1.0929927963326784,0.9905956112852664,0.9905718930101965,0.9905956112852664,0.9911242603550297,0.9901960784313726,0.9990944168832192,0.028864531877535453,3.084243952995166,0.7432194039574824,2877.0,319.0,42,10,
3,3,kr-vs-kp,7.0,Binary,3196,36,2,1.0929927963326784,0.987460815047022,0.9874161735700198,0.987460815047022,0.9883040935672515,0.986842105263158,0.9995272612669398,0.04014305024306708,3.4048165709828027,0.7295008010114543,2877.0,319.0,42,10,
3,3,kr-vs-kp,8.0,Binary,3196,36,2,1.0929927963326784,0.9905956112852664,0.9905655727200134,0.9905956112852664,0.9911764705882353,0.9901315789473684,1.0,0.019373678858761765,3.4025808019796386,0.7428435430047102,2877.0,319.0,42,10,
3,3,kr-vs-kp,9.0,Binary,3196,36,2,1.0929927963326784,0.9968652037617555,0.9968591542362034,0.9968652037617555,0.9967320261437909,0.9970059880239521,1.0,0.009646294712428791,3.5874536689952947,0.7407766960095614,2877.0,319.0,42,10,
