dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
3,kr-vs-kp,10,10,0.992801724137931,0.004903699363988956,10,0.9927844780651874,0.004915944659299733,10,0.992801724137931,0.004903699363988956,10,0.9930042226561466,0.004739147780369433,10,0.9926877797552469,0.005018843763528228,10,0.9996664807577579,0.0004536285813663844,10,0.02205808181911794,0.012480508147878912,10,3.411045981384814,0.49062007589860746,10,0.7431935611995868,0.0054286129687615235
11,balance-scale,10,10,0.9631080389144906,0.02850761575553881,10,0.9262317348131021,0.05107488219354883,10,0.9631080389144906,0.02850761575553881,10,0.9074616858237547,0.06081982642807334,10,0.9678407224958949,0.026201785267286098,10,0.9937786923051682,0.005628582002951329,10,0.13221537267862976,0.024971197327749252,10,3.312463820411358,0.11812939645214511,10,0.14339023310458282,0.0056057378220934935
12,mfeat-factors,10,10,0.9834999999999999,0.007472170590486638,10,0.9835116496682608,0.007465117555077265,10,0.9834999999999999,0.007472170590486638,10,0.9842683982683983,0.007169378082694672,10,0.9834999999999999,0.007472170590486638,10,0.9997361111111112,0.0003282142939771673,10,0.057176891454776425,0.022689136098363174,10,3.6793223058164584,0.1421706814379719,10,1.9816568218055182,0.017684182836688662
14,mfeat-fourier,10,10,0.841,0.034464152068167546,10,0.8394908177242699,0.03419898786524277,10,0.841,0.034464152068167546,10,0.8428149670555296,0.03416531482782199,10,0.8410000000000002,0.03446415206816753,10,0.9836055555555555,0.004748633476091933,10,0.39517552776003906,0.07085016023955151,10,3.4913619350933005,0.12272612949463335,10,0.8074235439999029,0.010439510855368723
15,breast-w,10,10,0.9713871635610767,0.022335696972936216,10,0.9688736503317248,0.024321303752003854,10,0.9713871635610767,0.022335696972936216,10,0.9642224655376831,0.02640896445643192,10,0.975175120772947,0.021859392741134725,10,0.9956603864734298,0.004256727404098291,10,0.0831131700245485,0.0458292745026145,10,3.2987388107925653,0.1348860423818121,10,0.19880633998545813,0.009358888549540484
16,mfeat-karhunen,10,10,0.982,0.005868938953886341,10,0.9819700071003024,0.0059147252224554005,10,0.982,0.005868938953886341,10,0.9828066757803601,0.005704367753679876,10,0.982,0.005868938953886341,10,0.9997666666666667,0.0001057340920268057,10,0.06997638987497493,0.014500375125010465,10,3.405534720886499,0.12452979825771127,10,0.7082809057959821,0.006925193804676184
18,mfeat-morphological,10,10,0.736,0.026956755492207662,10,0.7271772989966641,0.02727221719588971,10,0.736,0.026956755492207662,10,0.7338937966984151,0.03189187678295654,10,0.736,0.026956755492207624,10,0.9674944444444444,0.00649840119621713,10,0.5927815751738259,0.09984779852814216,10,3.503281411406351,0.44590014148696716,10,0.29504003639449367,0.008354764113723741
22,mfeat-zernike,10,10,0.8174999999999999,0.028111879655721643,10,0.813412017131208,0.02854038698726951,10,0.8174999999999999,0.028111879655721643,10,0.8115835452318827,0.02960615416697596,10,0.8174999999999999,0.028111879655721657,10,0.9801694444444443,0.001590785473436516,10,0.296056079942748,0.04181275021058758,10,3.67626479609753,0.42311201276898497,10,0.5936949788942002,0.007573367096147662
23,cmc,10,10,0.557409450266593,0.036521032617526226,10,0.5341683946922919,0.03607692332880585,10,0.557409450266593,0.036521032617526226,10,0.5452808096316966,0.03780068878035316,10,0.5317153996470882,0.036406466755137125,10,0.7492291769848513,0.03164291995214232,10,0.8921434166280235,0.050799780398803354,10,3.3172236971964595,0.15144225151725046,10,0.2670763781119604,0.0036872332949412735
28,optdigits,10,10,0.9918149466192171,0.00518428787269562,10,0.9918475662719232,0.005162040226731,10,0.9918149466192171,0.00518428787269562,10,0.9920556919830105,0.005027445436774726,10,0.9918256495470651,0.005206150546784328,10,0.9999600358337449,4.379851900165114e-05,10,0.02363338297847689,0.011645616635817082,10,3.63087151471409,0.14276539170497388,10,1.8822691629233304,0.009426176696983844
29,credit-approval,10,10,0.8840579710144928,0.043745821923369156,10,0.882542551088393,0.04428562069252942,10,0.8840579710144928,0.043745821923369156,10,0.8832004813050272,0.04435376913088672,10,0.8824224021592443,0.04426374345271221,10,0.9320379318851305,0.0335251394630408,10,0.3416217856400162,0.10352103769120474,10,3.316910540900426,0.1335936429650384,10,0.2133039727981668,0.0056717778103750754
31,credit-g,10,10,0.7539999999999999,0.024129281427805165,10,0.6736149414182184,0.03895925361414053,10,0.7539999999999999,0.024129281427805165,10,0.7105426022725441,0.03843482314203686,10,0.6633333333333333,0.03766623522318274,10,0.782857142857143,0.041042106702139,10,0.5065401019016593,0.046771983990699324,10,3.410588652093429,0.16642213862276736,10,0.2817974034114741,0.014491537150622114
