task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3,kr-vs-kp,10,Binary,3196,36,2,1.0929927963326784,0.9937402037617554,0.004425592104834149,0.9937258498838395,0.004434856914894737,0.9937402037617554,0.004425592104834149,0.9939064606525447,0.004308905302461662,0.9936429257068937,0.004492674204614854,0.9995684185237146,0.0004916771096843501,0.025139273430324266,0.011385629990757016,0.6563024761155247,0.16574446075823726,0.7133758584037423,0.009934639071158909,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6,letter,0,,20000,16,26,1.1076294277929155,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 26 classes, exceeds limit of 10"
11,11,balance-scale,10,Multiclass,625,4,3,5.877551020408164,0.9167690732206861,0.007161801295759314,0.636435096803081,0.004909371362118661,0.9167690732206861,0.007161801295759314,0.6123538074093021,0.004742165112034288,0.6632183908045977,0.005552251626892445,0.9961894093830679,0.004019093593389552,0.24283826785625845,0.014062571277351978,0.6176348565146327,0.05536724597232284,0.15188346579670906,0.01552775624088863,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12,mfeat-factors,10,Multiclass,2000,216,10,1.0,0.9834999999999999,0.0066874675492462985,0.9835109749044282,0.006688630789707589,0.9834999999999999,0.0066874675492462985,0.9842445887445888,0.0065216437844216385,0.9835,0.006687467549246293,0.998375,0.003040204141311907,1.5593726564966388,0.004912636328827568,0.8024422584101558,0.09280978752307413,1.8505608668550848,0.009734906452475215,1800.0,0.0,200.0,0.0,42.0,
14,14,mfeat-fourier,10,Multiclass,2000,76,10,1.0,0.8309999999999998,0.03080404013906111,0.8282054680704029,0.03061920786296182,0.8309999999999998,0.03080404013906111,0.8322560541039105,0.03040220065288411,0.8309999999999998,0.03080404013906111,0.9805944444444445,0.007044467324806084,1.6478546778424223,0.012065998454023744,0.572971701528877,0.0030286041833322537,0.7412773238494992,0.0009780729607045454,1800.0,0.0,200.0,0.0,42.0,
15,15,breast-w,10,Binary,699,9,2,1.900414937759336,0.9713871635610767,0.024281398376383448,0.9688450440174042,0.026477621216293545,0.9713871635610767,0.024281398376383448,0.9649575082727259,0.028926177741500015,0.9741787439613526,0.023611552122157917,0.9958438808373591,0.004635559419804166,0.07895090919225672,0.041205390608995515,0.4781676597893238,0.028093343376317897,0.14942375225946308,0.0004624281283988828,629.1,0.31622776601683794,69.9,0.31622776601683794,42.0,
16,16,mfeat-karhunen,10,Multiclass,2000,64,10,1.0,0.9814999999999999,0.005797509043642034,0.9814453220165673,0.005916295244329589,0.9814999999999999,0.005797509043642034,0.982222601959444,0.0057329798548446794,0.9814999999999999,0.005797509043642019,0.9959250000000001,0.004405598952038231,1.565607902958857,0.004450714187041729,0.5683713441714644,0.03950737843755505,0.6487771861255169,0.00038988167435073803,1800.0,0.0,200.0,0.0,42.0,
18,18,mfeat-morphological,10,Multiclass,2000,6,10,1.0,0.7349999999999999,0.02877112750272014,0.7258816168036555,0.03145554635147873,0.7349999999999999,0.02877112750272014,0.7325600380082835,0.035661845290191015,0.7349999999999999,0.028771127502720102,0.9617861111111111,0.009501020178419169,1.672953015539289,0.014792782438575814,0.47117196591570976,0.001184702353729409,0.24026051061227918,0.000999017388849078,1800.0,0.0,200.0,0.0,42.0,
22,22,mfeat-zernike,10,Multiclass,2000,47,10,1.0,0.8205,0.024658782523789658,0.8162495289229996,0.025793627800742427,0.8205,0.024658782523789658,0.8146040931033192,0.026869962960783932,0.8205,0.02465878252378968,0.9782138888888887,0.0034966682652885677,1.6065602401128196,0.008361586595518507,0.5400736791081726,0.03208858916719563,0.5259648085571825,0.005109573478630047,1800.0,0.0,200.0,0.0,42.0,
23,23,cmc,10,Multiclass,1473,9,3,1.8888888888888888,0.5343353557639272,0.03063659002514356,0.41539930059513425,0.03049284421723873,0.5343353557639272,0.03063659002514356,0.49184076178843883,0.11626843550873814,0.463503012554246,0.026963788507956596,0.7415584007246568,0.02822318188489933,0.9259492682037791,0.02139072871947662,0.5024881864897907,0.033291063582993226,0.2106581935659051,0.010281476402290813,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
28,28,optdigits,10,Multiclass,5620,64,10,1.032490974729242,0.9912811387900355,0.004394693606842864,0.9913238666772118,0.004353833617415892,0.9912811387900355,0.004394693606842864,0.9915681440163105,0.004172854979345414,0.9912962009255113,0.004421029765509497,0.9997816177486207,0.0005339105526656481,1.5491612400499288,0.001930299514188924,0.6508700329810381,0.0029789617461583578,1.775100311730057,0.0009731716384769044,5058.0,0.0,562.0,0.0,42.0,
29,29,credit-approval,10,Binary,690,15,2,1.247557003257329,0.8826086956521738,0.044512655071650004,0.8814715745448692,0.04470607982033434,0.8826086956521738,0.044512655071650004,0.8815785569847229,0.04488653488686373,0.8825921814461714,0.04428544220708976,0.9378993803781579,0.03038768879260414,0.3166091983965683,0.08576238374664506,0.5829172916710377,0.10513775494669747,0.1810780819505453,0.019881903573738903,621.0,0.0,69.0,0.0,42.0,
31,31,credit-g,10,Binary,1000,20,2,2.3333333333333335,0.754,0.025905812303633955,0.6762967888745186,0.03219372264153342,0.754,0.025905812303633955,0.7152805120360555,0.04507135422812087,0.6661904761904762,0.03093813265868105,0.7885714285714285,0.03460026200061883,0.49208922218386164,0.037048488657649134,0.5069236570969224,0.0274031611001815,0.2077434089034796,0.00010014111672488346,900.0,0.0,100.0,0.0,42.0,
