dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
3,kr-vs-kp,10,10,0.991239224137931,0.003548008973127938,10,0.9912221742794813,0.0035529076991906586,10,0.991239224137931,0.003548008973127938,10,0.9913222678408143,0.003526745816615276,10,0.9912502124699835,0.0034900612598769663,10,0.9994975830973238,0.000613805777295698,10,0.039232351163465004,0.010715952022621045,10,0.742314241384156,0.3019254831109683,10,0.7857490219001193,0.00976563948872401
11,balance-scale,10,10,0.9439836149513567,0.022862134172863598,10,0.890133777853076,0.03984263126927984,10,0.9439836149513567,0.022862134172863598,10,0.8640652557319223,0.039175125915987284,10,0.9484072249589491,0.03506912765483136,10,0.9920848297521726,0.004627018157750234,10,0.13603397176792908,0.03400872058478927,10,0.5661091697053052,0.08729238268966527,10,0.14841063749627206,0.022383187118807903
12,mfeat-factors,10,10,0.9795,0.008959786703810415,10,0.9795446167012278,0.008957666543177027,10,0.9795,0.008959786703810415,10,0.9804408749145592,0.008582559360649606,10,0.9795,0.008959786703810415,10,0.9997194444444443,0.0003313857714091604,10,0.06398270145376131,0.02345695346223922,10,0.7906373474106658,0.03959783206325011,10,2.0841729802894404,0.002112221358707078
14,mfeat-fourier,10,10,0.845,0.032574700476153434,10,0.842843683068032,0.032668422933683806,10,0.845,0.032574700476153434,10,0.8458046817602612,0.03275539001314958,10,0.845,0.032574700476153434,10,0.98525,0.004542419332052333,10,0.36647346431801747,0.059194439518485235,10,0.6075588732899633,0.03707679034725185,10,0.832610271195881,0.0035663057453523966
15,breast-w,10,10,0.9685300207039337,0.022125780379165075,10,0.9655799377129709,0.024183942380830856,10,0.9685300207039337,0.022125780379165075,10,0.962596756910818,0.025955797797032422,10,0.9700120772946861,0.022717787599384837,10,0.9953031400966184,0.00475885411153777,10,0.08173238671263898,0.041122551683300104,10,0.49894666248583236,0.03672185618234542,10,0.1610696033982094,0.008765147743562239
16,mfeat-karhunen,10,10,0.9799999999999999,0.005773502691896262,10,0.9800009083422374,0.005828588522419779,10,0.9799999999999999,0.005773502691896262,10,0.9810193022080893,0.005661225960980522,10,0.9799999999999999,0.005773502691896262,10,0.999688888888889,0.00016810082545049777,10,0.07994920736728647,0.017029993282114905,10,0.6398399934871122,0.1050833384930008,10,0.7286381652927958,0.005755961093342353
18,mfeat-morphological,10,10,0.7325,0.02830881291910507,10,0.7271922601037639,0.02839763737666733,10,0.7325,0.02830881291910507,10,0.7335102851760746,0.03232768375290107,10,0.7325,0.02830881291910507,10,0.9671583333333332,0.006948308184408233,10,0.6026108026801074,0.1010950835809904,10,0.49790842990623785,0.036908027783082636,10,0.25579475558479314,0.00041294304551245793
22,mfeat-zernike,10,10,0.8174999999999999,0.02616719744684595,10,0.8135545835498977,0.026493740788644315,10,0.8174999999999999,0.02616719744684595,10,0.811900948519033,0.027675091325890556,10,0.8174999999999999,0.02616719744684598,10,0.9798611111111111,0.001490884511125645,10,0.2914219396113634,0.04141422696258542,10,0.5482018961862195,0.002204807086210958,10,0.5838806088024284,0.00040289359239501296
23,cmc,10,10,0.560107556536128,0.037045274636549504,10,0.5374650325173446,0.03725760737778593,10,0.560107556536128,0.037045274636549504,10,0.5486312165167992,0.03972694187002074,10,0.5349607381865445,0.03751949941142598,10,0.74629114626705,0.031579670069755185,10,0.895180621804464,0.04838435117529637,10,0.5807820823101792,0.0902661940514398,10,0.23819885090342718,0.0205934668879551
28,optdigits,10,10,0.991459074733096,0.003732415829786996,10,0.9914811601342569,0.003711093910238412,10,0.991459074733096,0.003732415829786996,10,0.9916656817744194,0.003572292413341457,10,0.9914747782465566,0.0037652809302619423,10,0.9999554810590453,3.2143882542895976e-05,10,0.025045105462447186,0.009461815294311343,10,0.672072865604423,0.008626770029526052,10,1.9825457352912053,0.0006395454847002553
29,credit-approval,10,10,0.8840579710144928,0.042665511431535505,10,0.8823858268030375,0.04316055004258206,10,0.8840579710144928,0.042665511431535505,10,0.8838491770638365,0.043465345161270055,10,0.8817744112141396,0.0429079894679945,10,0.9367940736871126,0.03208492512032957,10,0.328854346191262,0.10088668178701267,10,0.5131975816970226,0.03529734184140478,10,0.17585133441025388,0.004778931069304824
