task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3,kr-vs-kp,10,Binary,3196,36,2,1.0929927963326784,0.9959316222570533,0.004184723073027061,0.995923745038016,0.004191240961610888,0.9959316222570533,0.004184723073027061,0.9960001139033189,0.004150174211772382,0.9959117111494246,0.004149586517842216,0.9998703424339851,0.00019284884508134872,0.01565463612432369,0.017788987863732612,0.6825973371975124,0.44298785513084654,0.7083304249681532,0.007705833742317944,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6,letter,0,,20000,16,26,1.1076294277929155,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 26 classes, exceeds limit of 10"
11,11,balance-scale,10,Multiclass,625,4,3,5.877551020408164,0.9775473630312341,0.015583177093828225,0.9515265306493376,0.03216893152649357,0.9775473630312341,0.015583177093828225,0.9311507936507937,0.04351077832776416,0.9837848932676518,0.011239337786292476,0.9986738871427139,0.002966829885486347,0.06288161040995205,0.026403106623290012,0.4140666605904698,0.010551448218469388,0.12498400239273906,0.0011163402655931102,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12,mfeat-factors,10,Multiclass,2000,216,10,1.0,0.984,0.00809663853432742,0.9840116496682608,0.008108020639313509,0.984,0.00809663853432742,0.984718272955115,0.007779588615215261,0.984,0.008096638534327386,0.9997972222222223,0.0002143873460733285,0.05163404680354598,0.02977571295953092,0.8307008602656424,0.014948355594018024,1.8752690226770938,0.005666611103113788,1800.0,0.0,200.0,0.0,42.0,
14,14,mfeat-fourier,10,Multiclass,2000,76,10,1.0,0.874,0.0296085573216033,0.8734000136745586,0.028785128609537684,0.874,0.0296085573216033,0.8776190379295103,0.028443479459545007,0.874,0.02960855732160322,0.9899805555555556,0.003213644660310706,0.2740512400646915,0.04727806864572689,0.5741633905097843,0.0646303655053293,0.7541966578923166,0.008370268493968212,1800.0,0.0,200.0,0.0,42.0,
15,15,breast-w,10,Binary,699,9,2,1.900414937759336,0.9728157349896481,0.020705555492039705,0.9701284807063576,0.02269373143131409,0.9728157349896481,0.020705555492039705,0.9686790395594743,0.024119543612827185,0.9723599033816426,0.022337360708940865,0.9941235909822866,0.005760475555675235,0.08753093461718037,0.04936928326596968,0.4726758415810764,0.05771659665013291,0.16386461071670055,0.01111039501751408,629.1,0.31622776601683794,69.9,0.31622776601683794,42.0,
16,16,mfeat-karhunen,10,Multiclass,2000,64,10,1.0,0.9875,0.004249182927993991,0.9875353189466095,0.004225424518246458,0.9875,0.004249182927993991,0.9882540937323545,0.003940576748828993,0.9875,0.004249182927993947,0.9998694444444445,0.00011268179945612789,0.05194870711769153,0.019057004970688407,0.5573205918073654,0.05336635859145109,0.6665820675902069,0.005455528212442801,1800.0,0.0,200.0,0.0,42.0,
18,18,mfeat-morphological,10,Multiclass,2000,6,10,1.0,0.744,0.026119384032213,0.741067812162399,0.026517598740218095,0.744,0.026119384032213,0.7466792714714646,0.029601438457184766,0.744,0.026119384032212974,0.9685277777777778,0.006802499943915367,0.5735286252761626,0.08636859336841922,0.4845988404005766,0.0526210055832658,0.2496645601466298,0.005515921143929149,1800.0,0.0,200.0,0.0,42.0,
22,22,mfeat-zernike,10,Multiclass,2000,47,10,1.0,0.9005000000000001,0.014033689623347268,0.8981228470264057,0.016275553804972018,0.9005000000000001,0.014033689623347268,0.9021818740158153,0.013552242712354777,0.9004999999999999,0.014033689623347272,0.9919402777777776,0.0015145619468831396,0.23015527272681116,0.03971749110731193,0.5785392311401665,0.04151513676292327,0.5429422241635621,0.011207756147051409,1800.0,0.0,200.0,0.0,42.0,
23,23,cmc,10,Multiclass,1473,9,3,1.8888888888888888,0.5546607832322118,0.0374714270130915,0.5280451944670728,0.04174728873405978,0.5546607832322118,0.0374714270130915,0.5438938887604965,0.04388799596628699,0.5259730570926017,0.040500348547261096,0.7498876222676243,0.032092988150938195,0.8859409557867188,0.04984815994543669,0.4827559475786984,0.053839880806597025,0.2235107568092644,0.01119379843261233,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
