task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3,kr-vs-kp,10,Binary,3196.0,36.0,2.0,1.0929927963326784,0.993739224137931,0.006923926320859777,0.9937246168259526,0.006941174425038308,0.993739224137931,0.006923926320859777,0.9938541920800998,0.00676028951832623,0.9936728182388379,0.007040372698653077,0.9995392733128245,0.0006135931500549449,0.022240423658745578,0.018013824998619837,0.4969661454670131,0.23702648352895314,0.6055580149404705,0.049356272228632765,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6,letter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 20000 rows, exceeds limit of 10000"
11,11,balance-scale,10,Multiclass,625.0,4.0,3.0,5.877551020408164,0.9695340501792117,0.01604959346508703,0.9360153329451574,0.03025872581292732,0.9695340501792117,0.01604959346508703,0.9113756613756614,0.03838258764165852,0.9779556650246306,0.011549587270444483,0.9984092295555411,0.0026297134178669573,0.06373214604719066,0.03005088845081949,0.1543905205093324,0.015877863519846182,0.24446865282952784,0.026950546504518374,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12,mfeat-factors,10,Multiclass,2000.0,216.0,10.0,1.0,0.9814999999999999,0.006258327785172869,0.981533895714897,0.0062991473174207994,0.9814999999999999,0.006258327785172869,0.9824044201412623,0.005961729215117707,0.9814999999999999,0.006258327785172871,0.9996444444444446,0.0004932326668508721,0.06066755463574478,0.025515877531780428,1.6993501706048846,0.21743098420246587,1.7651699964888394,0.015163875398892001,1800.0,0.0,200.0,0.0,42.0,
14,14,mfeat-fourier,10,Multiclass,2000.0,76.0,10.0,1.0,0.8915,0.028387203689925762,0.8908650184574046,0.027920495244563755,0.8915,0.028387203689925762,0.8958975684031646,0.026915568083720635,0.8915,0.028387203689925748,0.9921916666666666,0.002363432047367581,0.2671207471667079,0.04639366171800622,1.0935901056975126,0.07727017476971153,0.7202313329093158,0.013765961431166391,1800.0,0.0,200.0,0.0,42.0,
15,15,breast-w,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset contains missing values (TabPFN default benchmark does not impute)
16,16,mfeat-karhunen,10,Multiclass,2000.0,64.0,10.0,1.0,0.982,0.006324555320336764,0.9820406700354007,0.0062928996449193265,0.982,0.006324555320336764,0.9830243147394176,0.0058551547377840695,0.982,0.006324555320336768,0.9996861111111113,0.000374067198323322,0.06710277535217524,0.018397480277332224,0.9497074498794973,0.06207168995303416,0.6570608051493764,0.055151168707679186,1800.0,0.0,200.0,0.0,42.0,
18,18,mfeat-morphological,10,Multiclass,2000.0,6.0,10.0,1.0,0.7535000000000001,0.028387203689925762,0.7489988115144152,0.029419958511800286,0.7535000000000001,0.028387203689925762,0.7542833902387578,0.032983765216294786,0.7535000000000001,0.02838720368992573,0.9694,0.006574285338285162,0.5668338414889815,0.08966735972359981,0.20838012164458633,0.02133519689628905,0.26277929758653046,0.030377835319795786,1800.0,0.0,200.0,0.0,42.0,
22,22,mfeat-zernike,10,Multiclass,2000.0,47.0,10.0,1.0,0.867,0.0282055944017416,0.864246954170533,0.029228835074779472,0.867,0.0282055944017416,0.8664436474673082,0.03128641428553708,0.867,0.028205594401741585,0.9870027777777779,0.0025701892480747253,0.24788659343011005,0.03752181977918013,0.7288093795068562,0.08446803616996049,0.5097070664167405,0.011800682455714421,1800.0,0.0,200.0,0.0,42.0,
23,23,cmc,10,Multiclass,1473.0,9.0,3.0,1.8888888888888888,0.5627918735061591,0.03722601661104579,0.5406692127296121,0.04046535534304836,0.5627918735061591,0.03722601661104579,0.5524224287906462,0.043581518124920574,0.5388908863292163,0.03966831152657205,0.7543858359793297,0.032493561609710474,0.8818102954594764,0.053027605807147354,0.2158225283958018,0.018755372942931076,0.27775775296613575,0.030439294648434617,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
