dataset,context_length,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed
PhishingWebsites,8844,0.9742198100407056,0.9516056083220262,0.9738805065350029,0.9507820813547685,0.07620600701942766,0.12975645405958805,0.01514641495108984,0.01947984273268702,42
adult,39073,0.8497287337496161,0.8476814412938888,0.7761409855677672,0.7771069439762592,0.31902271189313636,0.32416071306634403,0.009563793916640768,0.008227606984582737,42
bank-marketing,36168,0.9050093995355524,0.9031294924250802,0.7230380744800442,0.7072580287536253,0.21791046284809704,0.2246990062490133,0.010802491093768084,0.010583403619875718,42
electricity,36249,0.8451947478759793,0.8403398433189893,0.8400199046140158,0.8348938260352974,0.3467587805942613,0.35722022287642063,0.008475719613112408,0.013635174191367679,42
nomao,27572,0.9586537066589293,0.9535760916872189,0.9489598872500928,0.9428253390002024,0.10075316153622797,0.11066897119310694,0.004333952385335023,0.0047874194901584115,42
madelon,2080,0.6019230769230769,0.5884615384615385,0.6019216047396625,0.5880715470267709,0.6528151634746302,0.6695246685469234,0.07620920481590125,0.0919634141601049,42
haberman,244,0.6612903225806451,0.6935483870967742,0.47393939393939394,0.5240404040404041,0.7090112275483876,0.8160393694441769,0.1967439555352734,0.21668993849908152,42
churn,4000,0.945,0.946,0.8755630770762302,0.87741091860085,0.15478409164665896,0.14982369623900213,0.013111170113086688,0.0091557851433754,42
sick,3017,0.9841059602649007,0.9814569536423841,0.9275987725354814,0.9172926447574334,0.039580591743765714,0.04885077017844866,0.008455289278598859,0.005110629741719234,42
ozone-level-8hr,2027,0.9506903353057199,0.9546351084812623,0.6964289991138362,0.7076930789862883,0.1399573913282169,0.13875352761872417,0.02298664411849521,0.025918820553277357,42
kr-vs-kp,2556,0.9953125,0.9953125,0.9953014763642236,0.9953014763642236,0.015521792127939579,0.029782003614420304,0.0076117267832160225,0.01901054671034217,42
car,1382,1.0,0.9942196531791907,1.0,0.9870180141919271,0.013001684632046593,0.022006638882671573,0.011203742785260856,0.013473050787269725,42
optdigits,4496,0.9893238434163701,0.9884341637010676,0.9893557818461083,0.98846257442959,0.03925573559330914,0.040531267895349,0.005480573164610685,0.0047818503982231956,42
pendigits,8793,0.9968167348794906,0.9963619827194179,0.996792283093597,0.9963555914345784,0.01072987555753427,0.01031773358293084,0.001978751256716404,0.0021096064644328004,42
satimage,5144,0.916796267496112,0.9121306376360808,0.8969820330321377,0.8925880852730721,0.21223743553524288,0.22036591415933174,0.013499046326795935,0.019293970861479465,42
PhishingWebsites,8844,0.968340117593849,0.9484396200814111,0.9678786857428435,0.9475931270220145,0.0784230299898865,0.12613741223989236,0.007694537097218378,0.017377057559670252,43
adult,39073,0.8478861705394616,0.8465554304432388,0.7708985914226851,0.7721693706337074,0.31995849978137836,0.3241454475363432,0.01293949429729432,0.010718278233745557,43
bank-marketing,36168,0.9022448302554462,0.9006966714585868,0.7177766681230884,0.7034673150747279,0.22219852054128533,0.2281143957681878,0.012832551683773726,0.012389124936001868,43
electricity,36249,0.8486152488138585,0.8432086505572106,0.8437640756922313,0.8380862949411565,0.33984393186495837,0.3508653930521556,0.01595135101035088,0.019342618806465,43
nomao,27572,0.9637313216306398,0.9576381836645873,0.9553737444050472,0.947876533465095,0.09667765524406705,0.10773915542063131,0.005359082743925424,0.009920547035493396,43
madelon,2080,0.6057692307692307,0.5826923076923077,0.6056977780736894,0.5825054850728322,0.6519735224401169,0.6694135744945627,0.054789901467470044,0.053470045672013224,43
haberman,244,0.7419354838709677,0.7096774193548387,0.5866666666666667,0.5620094191522763,0.5274719324719023,0.6667653877516059,0.10496970434342662,0.20233024224158258,43
churn,4000,0.943,0.942,0.8674341531484389,0.8674285714285714,0.18223320132400447,0.17953316390076857,0.013401821553707154,0.01385411298274997,43
sick,3017,0.9735099337748344,0.9695364238410596,0.8793312875591357,0.8566357069143447,0.05016558610097426,0.058291848748871875,0.01107798893720105,0.014677832931872234,43
ozone-level-8hr,2027,0.9487179487179487,0.9428007889546351,0.6771017048794826,0.6478576389720498,0.14069667856369286,0.14530492856360577,0.023277824682126576,0.023644152595211555,43
kr-vs-kp,2556,0.996875,0.9890625,0.9968698340033845,0.989042998892071,0.020107636418492742,0.04027588969831067,0.010829965490847825,0.020960273873060938,43
car,1382,0.9855491329479769,0.9884393063583815,0.9566737090660535,0.9669485792480444,0.03022889892896055,0.03172951678161582,0.014370842648379376,0.011816676813743017,43
optdigits,4496,0.9911032028469751,0.9911032028469751,0.9911770016683097,0.9911648607620762,0.0318269957828463,0.03408415704651897,0.004264721799363484,0.005176035693956046,43
pendigits,8793,0.9945429740791268,0.9940882219190541,0.9945188290447667,0.9940626713108914,0.034074538052360145,0.03366146081904383,0.0031714734298200027,0.0027401164858490206,43
satimage,5144,0.9136858475894246,0.9129082426127527,0.8937091743567925,0.8925429785444167,0.2076695418470708,0.21683810129258124,0.013747514823732602,0.012625349763763427,43
PhishingWebsites,8844,0.9724106739032112,0.9502487562189055,0.9720054838706329,0.9494201020207835,0.07472082996375105,0.12464731029969447,0.010765422851669471,0.014996292794899163,44
adult,39073,0.8495240045040434,0.8459412427065206,0.772222546501056,0.7704586209383257,0.3212553246292539,0.3280741903303615,0.012026375666991388,0.009426839777044144,44
bank-marketing,36168,0.9061152272475949,0.9024659957978547,0.7245330745686762,0.7052529467587871,0.2038740953134444,0.21120595407533907,0.008443620673431336,0.007518858360160609,44
electricity,36249,0.8471808451947479,0.8419949244179632,0.8422010450347837,0.8365850248394686,0.3420755561472488,0.35809960874007246,0.012920725349557573,0.015274982335064252,44
nomao,27572,0.9640214710575946,0.9586537066589293,0.9556758967840377,0.9489758111676068,0.09470352312916107,0.1025904342370082,0.0050362193254122325,0.008432646015982979,44
madelon,2080,0.6192307692307693,0.625,0.6187739747330381,0.6249986131605516,0.651009720166606,0.6678555108593471,0.05976921698221792,0.09011494207840703,44
haberman,244,0.6451612903225806,0.6612903225806451,0.4316666666666667,0.47393939393939394,0.5646849904525589,0.6801382628964002,0.1916006015193078,0.19733238508624415,44
churn,4000,0.954,0.956,0.8996299399525206,0.9020995202876494,0.16221723277341957,0.15737037826742584,0.015675792574882528,0.015844207882881142,44
sick,3017,0.9788079470198675,0.9814569536423841,0.9074017293186976,0.915531901291395,0.037197197209588445,0.04452217381941245,0.010116131968845594,0.012771960757426079,44
ozone-level-8hr,2027,0.9566074950690335,0.9506903353057199,0.7495059288537549,0.7093223254213966,0.1179956416155622,0.11590469361254249,0.020579039697816343,0.019703624046295568,44
kr-vs-kp,2556,0.9921875,0.9890625,0.9921691272737061,0.9890399966728561,0.024902721963272912,0.04080092228817279,0.005342599470168335,0.016933076828718162,44
car,1382,0.9913294797687862,0.9855491329479769,0.977239008878013,0.9726218221441152,0.03011842242151658,0.048991890222025825,0.01101712701637621,0.01344047064726062,44
optdigits,4496,0.9919928825622776,0.9919928825622776,0.992002464738127,0.991986640012896,0.025767366186605575,0.02629917337421475,0.00363558658077198,0.005536591030948911,44
pendigits,8793,0.9972714870395635,0.9986357435197817,0.9972449080539236,0.9986515740085947,0.005275049823215737,0.005416072504741344,0.0022560323623702326,0.0022905195989951378,44
satimage,5144,0.921461897356143,0.9121306376360808,0.9070938615967455,0.8946806810112284,0.20923816846028273,0.2216990875661793,0.015230471201669742,0.0159961155979296,44
PhishingWebsites,8844,0.9715061058344641,0.9484396200814111,0.9710939907550077,0.9475808330033575,0.0739570094533796,0.120273300803519,0.014095274397066272,0.01279854839174846,45
adult,39073,0.8514689323369843,0.8456341488381616,0.7782286430087193,0.7737292814251251,0.32560109341522897,0.3321295099288327,0.013003419220221812,0.0100704798045331,45
bank-marketing,36168,0.9025765785690589,0.8992590954329316,0.7162413519034672,0.6960601134574399,0.21529272255874857,0.2226628366825968,0.012289394955844387,0.012574779226705324,45
electricity,36249,0.8467394902350215,0.8402295045790578,0.8420228379243314,0.8350565189809842,0.3417542481149848,0.35137259406716476,0.017472255648228175,0.022272091728428485,45
nomao,27572,0.9664877411867111,0.9628608733497751,0.9588604403760035,0.9543871098753346,0.08938362211861725,0.09969488997529465,0.009299304131480628,0.014847933467821834,45
madelon,2080,0.6480769230769231,0.6038461538461538,0.6479193722042778,0.6038227114030416,0.6403320062874576,0.6748534328359652,0.06771666854619982,0.0721754333147636,45
haberman,244,0.6451612903225806,0.6774193548387096,0.49255952380952384,0.5788043478260869,0.5178255439869742,0.6278972000321688,0.16278216338926746,0.2164048514058513,45
churn,4000,0.952,0.953,0.8945879707305933,0.8950778098497381,0.160355955491283,0.15667099455664896,0.019717078447341906,0.018078008472919488,45
sick,3017,0.9774834437086093,0.9774834437086093,0.8985126789964339,0.8985126789964339,0.04145470306790106,0.04876360089971764,0.01169423164910828,0.01658241385655687,45
ozone-level-8hr,2027,0.9487179487179487,0.9467455621301775,0.6911433926897844,0.672143319042943,0.1294409295382112,0.13426498050952174,0.014732622183286264,0.025351839305381117,45
kr-vs-kp,2556,0.9875,0.9859375,0.987476028335486,0.9859160095360352,0.027881473636418887,0.047596379824180315,0.009638785570859908,0.0175210552290082,45
car,1382,0.9942196531791907,0.9855491329479769,0.962912087912088,0.9410090123005723,0.0190889726729345,0.037436942366076933,0.010621168537636023,0.014308422459343266,45
optdigits,4496,0.9893238434163701,0.9902135231316725,0.9893555464116084,0.990252371323139,0.040603272065133984,0.04089379195828971,0.007549704579484031,0.006376582665163451,45
pendigits,8793,0.9972714870395635,0.9968167348794906,0.9972665635862221,0.9968289017331612,0.00740668072728061,0.007619239122003438,0.002601326853646698,0.003348547567178467,45
satimage,5144,0.9020217729393468,0.9051321928460342,0.8820693225173849,0.8849984287549536,0.22271132232776544,0.2238613577239384,0.01846224310609455,0.022012126042535114,45
PhishingWebsites,8844,0.9746720940750792,0.9520578923563998,0.9743252008513477,0.9512593710382096,0.07181792380051316,0.12278491440808893,0.01307532100966486,0.017280771175912445,46
adult,39073,0.8510594738458389,0.8495240045040434,0.7732744601841792,0.7756004414850981,0.31646938072769454,0.3219460851544088,0.012203915261455969,0.00971825486599134,46
bank-marketing,36168,0.9020236647130377,0.8995908437465443,0.7174298506671,0.7017703797502193,0.22090105169692228,0.22822480678188475,0.01415131343988986,0.01439122198351211,46
electricity,36249,0.8523667659715326,0.847953216374269,0.8472992954933556,0.842509308848574,0.3377063846440524,0.3490496362314551,0.0164638756061513,0.022624325182715947,46
nomao,27572,0.9618453503554331,0.9577832583780647,0.9531326826981905,0.9479016177185038,0.09323652924604367,0.10615481700091914,0.0068855914377117765,0.009373121825043473,46
madelon,2080,0.6076923076923076,0.6096153846153847,0.6076690928457305,0.609498407437139,0.653753703299985,0.6629864505627164,0.08922368975786063,0.08974442218358701,46
haberman,244,0.7258064516129032,0.6935483870967742,0.5462763667671114,0.5240404040404041,0.5942079640920653,0.7725747547813419,0.16141016733261848,0.200794251695756,46
churn,4000,0.948,0.95,0.8835292431192661,0.8887494548723289,0.16181286682427973,0.14973837440421786,0.007257951319217676,0.012988679230213199,46
sick,3017,0.9827814569536424,0.9788079470198675,0.9223920486443318,0.9034650300473086,0.04655962579109662,0.05007810192683253,0.009023048940873322,0.009664043290725621,46
ozone-level-8hr,2027,0.9585798816568047,0.9546351084812623,0.7657374199652358,0.7325765393876849,0.14580581136810353,0.14611115416296852,0.026416662176685264,0.026100673031289667,46
kr-vs-kp,2556,0.9890625,0.9890625,0.9890367781831886,0.9890399966728561,0.023763871598532334,0.03864478198893182,0.013102013897150754,0.022531062457710506,46
car,1382,0.9884393063583815,0.9855491329479769,0.9750899767730061,0.9484890252893197,0.03453112926179477,0.046361445536595096,0.01453029627055791,0.016842992836340342,46
optdigits,4496,0.9911032028469751,0.9911032028469751,0.9911123829058438,0.9911123829058438,0.03131846532499695,0.032325457928653274,0.005477473245820955,0.0033970891474828743,46
pendigits,8793,0.9995452478399273,0.9995452478399273,0.9995436519280446,0.9995436519280446,0.003957477885544696,0.0040196965969440945,0.001845200612578624,0.0026905381880114434,46
satimage,5144,0.9129082426127527,0.9082426127527217,0.8914087704730959,0.8846885819400988,0.20860991216355318,0.2187881863509026,0.010543420655916486,0.015713186647806743,46
