dataset,context_length,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed
kr-vs-kp,2556,0.9953125,0.99375,0.9953014763642236,0.9937362368485442,0.015521792127939579,0.03276900001292663,0.0076117267832160225,0.018842451088130475,42
letter,16000,0.97275,0.976,0.9725767221770572,0.9758344531623216,0.10077500912727129,0.08119569704080118,0.030471582606434792,0.02191575508192182,42
balance-scale,500,0.96,0.952,0.9128387211455596,0.9052183565457902,0.1355550721956588,0.12693124306868978,0.05778983783721924,0.06546342468261719,42
breast-w,559,0.9857142857142858,0.9785714285714285,0.9843014128728415,0.9763393611627513,0.052638437229671965,0.05581295920198978,0.011025614823613823,0.020763318453516276,42
cmc,1178,0.6067796610169491,0.6033898305084746,0.5886140263201732,0.5831226230856202,0.8651434108037132,0.8700344928951316,0.07769296714815041,0.08848625876135746,42
optdigits,4496,0.9893238434163701,0.9893238434163701,0.9893557818461083,0.989343805423818,0.03925573559330914,0.03828204472594194,0.005480573164610685,0.003968615495861687,42
credit-approval,552,0.8623188405797102,0.8768115942028986,0.8606727243743026,0.8753387533875339,0.361787503021657,0.35137319599752376,0.054911526648894614,0.06621656728827433,42
credit-g,800,0.77,0.76,0.6973285958678774,0.6841689696012634,0.49770867178195194,0.5034716000788174,0.0871981158852577,0.05409871757030485,42
pendigits,8793,0.9968167348794906,0.9963619827194179,0.996792283093597,0.9963760249465066,0.01072987555753427,0.009639272702695113,0.001978751256716404,0.0018840338382573297,42
diabetes,614,0.7402597402597403,0.7207792207792207,0.7006802721088435,0.6832639785717702,0.5019728117917783,0.5309705937788326,0.05480354753407565,0.09080144259836767,42
spambase,3680,0.9457111834961998,0.9500542888165038,0.9432176889537751,0.9476083300356154,0.12950042470607662,0.132864396842999,0.015580257427161712,0.01051653123963284,42
splice,2552,0.9075235109717869,0.9012539184952978,0.899290615446457,0.892480653732909,0.2584216001802967,0.24785971187787062,0.02385786353233836,0.02853447100772378,42
tic-tac-toe,766,1.0,0.9947916666666666,1.0,0.9942485696312494,0.010967002919576,0.01247662800272449,0.01038540278871854,0.010204347160955269,42
vehicle,676,0.8352941176470589,0.8529411764705882,0.832788095030363,0.8515551915954731,0.28312586259699635,0.29496759565846015,0.07000408172607422,0.0613123564159169,42
electricity,36249,0.8451947478759793,0.8416639081981684,0.8400199046140158,0.8365965327655589,0.3467587805942613,0.3542740629544538,0.008475719613112408,0.00884696663997828,42
satimage,5144,0.916796267496112,0.9160186625194401,0.8969820330321377,0.8957179286180811,0.21223743553524288,0.2097747860162296,0.013499046326795935,0.013601479597076808,42
kr-vs-kp,2556,0.996875,0.990625,0.9968698340033845,0.9906117978407135,0.020107636418492742,0.04002713230775081,0.010829965490847825,0.017854455951601268,43
letter,16000,0.97125,0.97525,0.971098588257438,0.9751485311503619,0.09829545732876156,0.08562455117710817,0.027540414858609454,0.02447236118093136,43
balance-scale,500,0.968,0.952,0.9276458311471778,0.8989139515455306,0.15289177118318284,0.14841023829522726,0.06687768387794493,0.06240381860733032,43
