dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
kr-vs-kp,0.15625731655104214,0.15397924097642324,0.5271380753165968,0.5513395731800093,0.8349968798001864,0.8248509091267855,0.9064607935049179,610.5013708088768,124.70176173591322,739.8227850920963,160.55034120013252,0.14285714285714285,0.2686131386861314,0.24608967674661106,0.4145985401459854,,0.45001107454299927,,0.3708958741753072,42
kr-vs-kp,0.15625731655104214,0.15397924097642324,0.5271380753165968,0.5513395731800093,0.8349968798001864,0.8248509091267855,0.9064607935049179,610.5013708088768,124.70176173591322,739.8227850920963,160.55034120013252,0.14285714285714285,0.2686131386861314,0.24608967674661106,0.4145985401459854,,0.45001107454299927,,0.3708958741753072,42
kr-vs-kp,0.15625731655104214,0.15397924097642324,0.5271380753165968,0.5513395731800093,0.8349968798001864,0.8248509091267855,0.9064607935049179,610.5013708088768,124.70176173591322,739.8227850920963,160.55034120013252,0.14285714285714285,0.2686131386861314,0.24608967674661106,0.4145985401459854,,0.45001107454299927,,0.3708958741753072,42
letter,0.1737114376026923,0.1962387158947934,0.6375079329928497,0.6443714242650006,0.6612695532841015,0.6150436009341076,0.9517604170280906,1740.0938892059326,760.8938214346977,2620.8461122843423,791.6829872148127,0.0033333333333333335,0.0142,0.0055,0.0164,,0.5270472764968872,,0.30337264172814893,42
balance-scale,0.1988663812769183,0.2199388882518299,0.7278727138061585,0.7701774240507836,0.3610500298361536,0.4585978331097473,0.949347650411855,164.93628627695935,23.914970920292653,171.33311454285968,30.113984599006688,0.8085106382978723,0.8191489361702128,0.7925531914893617,0.824468085106383,,0.44262221455574036,,0.37934671416933696,42
breast-w,0.5498584037774079,0.5569567126312351,0.7871401162372115,0.8266265214905528,0.6329998598249817,0.6072947554021759,0.9867534365863633,218.17985044206893,83.19809469628245,232.41220866612025,69.7086458291078,0.14285714285714285,0.6123809523809522,0.5714285714285714,0.7038095238095238,,0.40681353211402893,,0.4787195932836239,42
cmc,0.2958215388117364,0.348546344178782,0.7471128938333645,0.7421796688382633,0.6176490398269694,0.5562203279239993,0.8706087418963547,575.4495924522435,225.22905047699652,688.6486617903904,225.75264035300265,0.24434389140271492,0.28009049773755657,0.2692307692307692,0.29909502262443444,,0.4544849991798401,,0.35046061681630397,42
optdigits,0.15915945264849943,0.16642257654756493,0.513693628485277,0.5438610194482009,0.6999951448700239,0.7446634452091407,0.8732161560150178,304.03163270056604,115.26360442491952,524.1854886001822,286.20523782890183,0.29240806642941874,0.4487544483985765,0.12277580071174377,0.28944246737841045,,0.564391016960144,,0.26156717087816866,42
credit-approval,0.21874507498335719,0.21420012446384676,0.6294010840927251,0.7019603385035454,0.6294766419008436,0.5704005549899117,0.9274799896064994,222.7499668655764,66.08645879331701,250.4646373509209,58.81953256547256,0.28502415458937197,0.391304347826087,0.4057971014492754,0.46859903381642515,,0.4364166259765625,,0.387418982290829,42
credit-g,0.214497648796893,0.2365562121470904,0.5282300361565015,0.5534080750969439,0.6496484296288778,0.6523977730212263,0.9088774596033053,504.4742900085449,107.56646508608158,500.20333216349286,121.68342384923073,0.38333333333333336,0.4573333333333333,0.54,0.5660000000000001,,0.43579012155532837,,0.3926434534275157,42
pendigits,0.2832061359278916,0.2893975285329851,0.7498018458531545,0.7818348547765829,0.6124976022170621,0.6240149268566013,0.9647449392117404,668.0984669934626,226.85890283914563,1201.7167512837,724.9000992023432,0.41328077622801696,0.6630685263796241,0.4645239539114615,0.6969072164948454,,0.5398350954055786,,0.24767128596555346,42
diabetes,0.2213941281964252,0.23965264566666733,0.6828182878954321,0.7381585922731093,0.5868838413928248,0.504666941962417,0.9608230550966126,312.707596485749,110.26935684887562,334.31455333098705,99.87588175955736,0.36796536796536794,0.3956709956709957,0.4329004329004329,0.4865800865800866,,0.4422188401222229,,0.37909954859020534,42
spambase,0.1889824198660376,0.230305581966636,0.4985594658163607,0.5524620153425992,0.7885233760993693,0.7970919304381905,0.726943178746514,490.16217702579706,351.2073759536836,987.4081315269167,378.78480437543897,0.05286024619840695,0.07342505430847213,0.24185372918175235,0.38305575669804487,,0.501305341720581,,0.3040909360052924,42
splice,0.04969615662919632,0.05816775375611136,0.2140188538930214,0.24522584329258001,0.7890054876116339,0.8161129814041322,0.5923301630065864,433.0131685581825,231.3183064002589,669.5633238629986,266.5933702671531,0.04806687565308255,0.17617554858934173,0.05747126436781609,0.15005224660397076,,0.4622042179107666,,0.3289323618544071,42
