dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
PhishingWebsites,0.1397579511298712,0.1656041237953062,0.4770999121287907,0.5498713152405839,0.7152924746978767,0.7625659247152179,0.8844652705888422,1189.4665247357739,582.5717983786817,2996.7828694330196,850.5938678408144,0.034373586612392586,0.04133876074174582,0.09859791949344188,0.09968340117593849,,0.4330734312534332,,0.38352068567025926,42
adult,0.1998388513592969,0.1989824178860916,0.5806612090358347,0.638457184673281,0.5946117449050226,0.5820910732248177,0.946520410067277,9959.505989854906,5920.78955481645,12762.854711449223,4956.7795936118155,0.173303306377316,0.17164499948817688,0.20646944416009827,0.20945849114546014,,0.47401753067970276,,0.32966565608675147,42
bank-marketing,0.18605094597015656,0.19129965242291225,0.5912264044237273,0.5834242827336209,0.6032597594930101,0.6441965183822448,0.9414070386904021,7858.4835554024,4995.691922625833,14153.071227210661,5646.686205282818,0.1006303217958642,0.10469976777618048,0.11699657193409267,0.11701868848833352,,0.37945157289505005,,0.4382368769400489,42
electricity,0.3285667835821082,0.3683475978097948,0.7607254146301422,0.788088456208914,0.48464656973305653,0.5246630309830471,0.9731293946052756,11746.283317847927,6048.81091226815,14796.264381587998,6048.35369498119,0.1860311155246607,0.18812755158336092,0.3096105042480415,0.3163853028798411,,0.4707086980342865,,0.3369885192584215,42
nomao,0.3947077229690059,0.3115664159062148,0.7519699614451149,0.7070606194256398,0.41639271528791516,0.5841843838867188,0.8970745556282949,3248.376597017227,2370.3356059139046,10787.48530863512,4211.551341904787,0.04207166690845786,0.04926737269693893,0.056434063542724504,0.07036123603655883,,0.41286730766296387,,0.4234518817156179,42
madelon,0.0908429241309814,0.07357013155314067,0.281479356753534,0.318890940697323,0.9098745677723966,0.9044206272555139,0.24337947183547784,1966.607614839994,73.62357534656772,1910.2653113731972,53.787409321864814,0.5576923076923077,0.5192307692307693,0.5057692307692307,0.5011538461538462,,0.36791887879371643,,0.5160699096312615,42
haberman,0.3018419035517961,0.32012229632360684,0.8236088469180735,0.8787087826404361,0.37298190488845867,0.3893029921532479,0.9289524484811934,157.6373780773532,29.982600845604164,146.82452244912423,26.912455699706605,0.3064516129032258,0.3967741935483871,0.6774193548387096,0.6483870967741936,,0.41998040676116943,,0.3639542473271037,42
churn,0.11435672325262641,0.12178556231981245,0.5107394204850125,0.5264300967422247,0.6949533200408785,0.7021061589418409,0.9424420571597341,776.2324733581543,412.5373907085222,1384.9635427246094,645.0459054197236,0.067,0.10480000000000002,0.119,0.1302,,0.38815537095069885,,0.4271413745333446,42
sick,0.25712369687571673,0.28350469915896037,0.7462573884968153,0.7668316178322719,0.6399500034705015,0.6994820959015349,0.9375348047239461,1651.8044581331164,570.3588386476642,2107.480049850767,576.2960388598397,0.02384105960264901,0.17377483443708608,0.06490066225165562,0.1109933774834437,,0.3516175150871277,,0.5048094534767051,42
ozone-level-8hr,0.46601641975007313,0.4016593002649711,0.7837388779945111,0.7564294515654038,0.5506535365546662,0.49994894132562534,0.9577738365614055,856.621636264658,223.0567015823827,1273.5050971428084,358.1977575592419,0.0631163708086785,0.09546351084812622,0.07297830374753451,0.1641025641025641,,0.367890328168869,,0.47872532950496954,42
kr-vs-kp,0.14977313067263823,0.154508468820297,0.52369847200895,0.5510467174314834,0.8393418061258898,0.8291295051067638,0.9065946604073909,685.1924324989319,128.6841407625504,826.6031871318817,188.5613095367134,0.1671875,0.30718750000000006,0.2703125,0.4328125,,0.4517872929573059,,0.37286092399296916,42
car,0.19091483818953595,0.17432075617858434,0.7322482860409124,0.6893248703135058,0.5118198620835138,0.6066711035624655,0.9711999531168931,515.7392366993633,296.53235754793286,683.6946498672397,307.5838604272682,0.17341040462427745,0.48728323699421966,0.08092485549132948,0.23179190751445086,,0.35345935821533203,,0.43804860284813113,42
optdigits,0.1606213464653455,0.1660988489933647,0.5117332198258485,0.5417220241745856,0.7010334416770584,0.7442374033639405,0.8728049815204837,333.9280583595466,128.05490341797986,587.8854475734073,330.33460869172114,0.2713523131672598,0.4238434163701068,0.09786476868327403,0.2656583629893239,,0.5622329115867615,,0.2632286577876988,42
pendigits,0.2806663608624106,0.2868819714579529,0.7499286727077201,0.7822762291240819,0.6044985835164626,0.618366390910374,0.9642425740522562,760.2999546541957,261.1099327361484,1362.444208052333,846.7912155021879,0.3760800363801728,0.6090040927694408,0.3619827194179172,0.6555707139608913,,0.5386441946029663,,0.2484076762624558,42
satimage,0.5156894081147532,0.5441973086513872,0.9068901821523827,0.9154744624058353,0.52904553349861,0.5513290968512718,0.9705558489056779,417.9250762073286,205.2082857835163,756.1534648616429,340.98845687875695,0.016329704510108865,0.060808709175738725,0.10964230171073094,0.15381026438569206,,0.5199888944625854,,0.2969282262218812,42
PhishingWebsites,0.1374202358020969,0.16402661678202354,0.49392408111453534,0.4883126962900505,0.7199026246091027,0.7475522834308926,0.9382842857299897,1198.1624432326118,650.5606582917518,2826.66605761255,1085.0892316750576,0.030303030303030304,0.03410221619176843,0.1044776119402985,0.1299864314789688,,0.462112694978714,,0.3561451235846624,43
adult,0.15092361283993325,0.20075192958760432,0.557886397593801,0.6307491256305341,0.6289746687474854,0.592329460820948,0.89462257296086,10774.708116337493,6018.27008716889,12172.759278243439,4989.982312188439,0.15293274644282936,0.15352646125499028,0.21496570785136657,0.2164807042686048,,0.4936368465423584,,0.3399479669523194,43
bank-marketing,0.18649955270131832,0.1840004559699322,0.5989806266353681,0.5899791205517239,0.6084764915276056,0.6121878135917362,0.9364299007966046,5808.450788729726,3693.8755628598733,16421.841803934913,5114.849384840916,0.11566957867964171,0.111666482362048,0.1723985403074201,0.17571602344354748,,0.4793073236942291,,0.3728499892898569,43
electricity,0.3643580609504669,0.35637734117958525,0.7818248233499079,0.7841976623701321,0.47561242971892864,0.5360859569415491,0.9817059826065059,10877.659320399025,5669.619597558358,14649.241978069205,6750.81223196557,0.17477656405163852,0.17543859649122806,0.29471477435727683,0.31243517599029025,,0.5133531093597412,,0.31384264933523254,43
nomao,0.2759317022952871,0.30829082300970984,0.7506947295974191,0.6692849256426356,0.4582017585480547,0.5910034694265436,0.8982391888929269,3098.0437269964846,2317.946557025919,8272.114638244018,3043.0004112424663,0.05164659799796895,0.05167561294066444,0.099376178732047,0.10767445234295663,,0.4369361996650696,,0.3771232480735135,43
madelon,0.09305890355350527,0.1517826614054954,0.31630876637219785,0.40691182092430495,0.9039425049557545,0.9080940575170138,0.40455239904205936,1759.9492080688476,253.6615570449477,1740.2658517690804,214.40459450959088,0.45576923076923076,0.4603846153846154,0.5,0.4996153846153845,,0.3944612145423889,,0.4424785443734105,43
haberman,0.2731301919128164,0.3001913803783912,0.8223044318315255,0.8678379670374853,0.4137890793692582,0.43710544654060257,0.9478982993326286,163.6331921239053,23.50953397158258,147.749544512841,27.430574674113878,0.532258064516129,0.4516129032258065,0.7741935483870968,0.7645161290322581,,0.4238550066947937,,0.37958692647994186,43
churn,0.14111213661179783,0.12700841178823769,0.5265808461756426,0.5430695178548224,0.6986770098045688,0.7028980011206056,0.9269289988339391,909.0042020874023,435.0905611779913,1506.126388031006,672.071965866321,0.088,0.107,0.134,0.1326,,0.38464871048927307,,0.4503701536004371,43
sick,0.2943866496490321,0.2844169774298825,0.780938966593076,0.7948608900951551,0.6786442237218916,0.7053496859660265,0.9584579423382952,1634.012853276335,534.9420868542937,2158.0758668204808,531.7723492746768,0.03576158940397351,0.11496688741721856,0.03443708609271523,0.05350993377483444,,0.32993489503860474,,0.5418604726786139,43
ozone-level-8hr,0.4799916635895377,0.40368327132615184,0.8172689450978181,0.7753914835896604,0.5394074031597169,0.5216114091259976,0.9660265039307548,800.6255954990726,221.53397223238,1292.3960765108789,295.2408816991663,0.0650887573964497,0.11282051282051282,0.0650887573964497,0.12781065088757396,,0.34926560521125793,,0.514874768855665,43
kr-vs-kp,0.16062543849283498,0.16263987017724088,0.5408225326231054,0.5487234269820375,0.8056152217010472,0.8234685939910993,0.9089414220070524,637.9366830587387,176.2494528508889,931.7799184799194,92.061689331014,0.1875,0.2453125,0.078125,0.383125,,0.4314188063144684,,0.3834381400458814,43
car,0.18257482613017217,0.177993670890508,0.7052321149122407,0.6700500201690577,0.5087064560089599,0.6019512309721331,0.967602446469638,641.248818543605,331.0855545537215,692.2105091624177,351.67742702015437,0.6213872832369942,0.6369942196531792,0.20520231213872833,0.3398843930635838,,0.40592437982559204,,0.4884633614971247,43
optdigits,0.14570871781013187,0.1533527546087802,0.5110655375956958,0.5310054810646879,0.7014486042714001,0.7558526207398496,0.8612187201043592,383.07072939821836,140.60450968374846,577.2433058307688,289.63408506849913,0.49377224199288255,0.6532028469750889,0.37544483985765126,0.5637010676156585,,0.5923758745193481,,0.2363623415718679,43
pendigits,0.2715398363112292,0.283133931696408,0.7470668412386275,0.7689597877033985,0.5891083037489087,0.618275423644564,0.9749730302545586,665.7014953245516,279.7693258190168,1299.9909870725373,962.0267143913898,0.35743519781718963,0.5609822646657571,0.2842201000454752,0.5834470213733515,,0.5395330190658569,,0.25932065137537447,43
satimage,0.5189929586603133,0.5469775968776384,0.9144392406596032,0.9158117114935959,0.5106549173731527,0.5633764906943379,0.9759812524203731,525.410987094624,247.59116077616062,888.3916989529671,252.84803512642313,0.08087091757387248,0.1458786936236392,0.11275272161741835,0.1651632970451011,,0.5198462009429932,,0.3071268574059814,43
PhishingWebsites,0.1545933705031096,0.14821742197351084,0.5158746873195028,0.5199214161145963,0.7160949564883198,0.7626767705849758,0.9454933585919637,1478.5537458029014,597.1861085485644,2911.886067929175,732.4916500577784,0.0370872908186341,0.0444142921754862,0.11533242876526459,0.10845771144278607,,0.436880886554718,,0.3778472559039353,44
adult,0.21117086069378013,0.1789668420418507,0.6317943367464268,0.6300097914530015,0.5891129002182948,0.5971812801707161,0.895507157338321,9843.32512774835,5513.050650120504,12004.823658318684,5225.540873589851,0.16808271061521138,0.16838980448357047,0.2031937762309346,0.20732930699150373,,0.4713028073310852,,0.33214658026552935,44
