dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
PhishingWebsites,0.1397579511298712,0.1597816776312098,0.4770999121287907,0.5478540456564461,0.7152924746978767,0.7615439357764474,0.9088226972027327,1189.4665247357739,582.5717983786817,2544.306207609414,593.5934957400248,0.034373586612392586,0.04133876074174582,0.18317503392130258,0.21601085481682497,,0.4918772578239441,,0.3431980006618736,42
adult,0.1998388513592969,0.17149065267038682,0.5806612090358347,0.6052135748553085,0.5946117449050226,0.6163430073583112,0.8891453146226865,9959.505989854906,5920.78955481645,12345.920476770729,4831.813781919039,0.173303306377316,0.17164499948817688,0.21967448049953936,0.2259596683386222,,0.49672630429267883,,0.32027733351316573,42
bank-marketing,0.18605094597015656,0.18658152264436173,0.5912264044237273,0.5851703234882776,0.6032597594930101,0.6876355564696842,0.8852499982447168,7858.4835554024,4995.691922625833,14857.500441885622,5041.687681371707,0.1006303217958642,0.10469976777618048,0.12473736591838991,0.12980205683954443,,0.41271042823791504,,0.39588124547596726,42
electricity,0.3285667835821082,0.3479548934131732,0.7607254146301422,0.7913051777960937,0.48464656973305653,0.572822240730149,0.9717916951863922,11746.283317847927,6048.81091226815,14099.274715594895,5711.647831312344,0.1860311155246607,0.18812755158336092,0.2633785722167053,0.274456581705837,,0.5136423707008362,,0.31788085253140447,42
nomao,0.3947077229690059,0.23380794274977026,0.7519699614451149,0.7029030237500369,0.41639271528791516,0.7302098049156818,0.702599800179915,3248.376597017227,2370.3356059139046,8969.700011950246,3693.067181567481,0.04207166690845786,0.04926737269693893,0.06789496590744233,0.06632815900188598,,0.4348371624946594,,0.3650573919823252,42
madelon,0.0908429241309814,0.09210406778570336,0.281479356753534,0.37567771281701795,0.9098745677723966,0.8895281588576242,0.33017971205122804,1966.607614839994,73.62357534656772,1957.4987764798677,42.42779740280605,0.5576923076923077,0.5192307692307693,0.5,0.49615384615384617,,0.38297486305236816,,0.5164595878885373,42
haberman,0.3018419035517961,0.29272752551045345,0.8236088469180735,0.7909877533580415,0.37298190488845867,0.44578875572026955,0.9330518097862335,157.6373780773532,29.982600845604164,144.42952586758523,44.747593217685235,0.3064516129032258,0.3967741935483871,0.5645161290322581,0.6258064516129033,,0.41324368119239807,,0.42778557894591845,42
churn,0.11435672325262641,0.10818981982342027,0.5107394204850125,0.4774673024767054,0.6949533200408785,0.723006138994044,0.9611836125112612,776.2324733581543,412.5373907085222,1648.4251934509277,588.4954340046613,0.067,0.10480000000000002,0.163,0.16319999999999998,,0.39213791489601135,,0.41152739044373504,42
sick,0.25712369687571673,0.2805972769756707,0.7462573884968153,0.7421281763136375,0.6399500034705015,0.6178377937078676,0.9428880666211994,1651.8044581331164,570.3588386476642,1678.4315852083118,481.3875411256588,0.02384105960264901,0.17377483443708608,0.03708609271523179,0.05192052980132451,,0.37324923276901245,,0.48750663317621307,42
ozone-level-8hr,0.46601641975007313,0.400937827809345,0.7837388779945111,0.7672068012523852,0.5506535365546662,0.513948278450203,0.9437739826034603,856.621636264658,223.0567015823827,1248.0018251859224,383.5900483761635,0.0631163708086785,0.09546351084812622,0.27416173570019725,0.5270216962524655,,0.3731219470500946,,0.4746847717173347,42
kr-vs-kp,0.14977313067263823,0.15829674721318376,0.52369847200895,0.5191060186497897,0.8393418061258898,0.7724404603749733,0.9141539096859881,685.1924324989319,128.6841407625504,921.0567893028259,193.88666498380147,0.1671875,0.30718750000000006,0.078125,0.2209375,,0.4260786175727844,,0.363265245027113,42
car,0.19091483818953595,0.16593444071419888,0.7322482860409124,0.6726907515046946,0.5118198620835138,0.6366336127127274,0.9368885791183899,515.7392366993633,296.53235754793286,738.6586639977604,331.0375697373782,0.17341040462427745,0.48728323699421966,0.049132947976878616,0.46994219653179187,,0.35937395691871643,,0.4502683108280745,42
optdigits,0.1606213464653455,0.2144885205415347,0.5117332198258485,0.6132402548418151,0.7010334416770584,0.6167950547535345,0.7428346926076433,333.9280583595466,128.05490341797986,731.006449288745,359.7866341922549,0.2713523131672598,0.4238434163701068,0.23487544483985764,0.4711743772241993,,0.5616456270217896,,0.2532965079567222,42
pendigits,0.2806663608624106,0.24830932049448165,0.7499286727077201,0.7589750490939614,0.6044985835164626,0.6322921251849192,0.8819283106383288,760.2999546541957,261.1099327361484,1695.334646373296,873.0073891997558,0.3760800363801728,0.6090040927694408,0.32014552069122326,0.5595270577535244,,0.5201859474182129,,0.2667236967061414,42
satimage,0.5156894081147532,0.5413787416831466,0.9068901821523827,0.9131397840876033,0.52904553349861,0.5131740523135782,0.984863909419714,417.9250762073286,205.2082857835163,930.4877717298446,273.5408660510258,0.016329704510108865,0.060808709175738725,0.08786936236391912,0.25443234836702955,,0.5030181407928467,,0.29693580965309213,42
PhishingWebsites,0.1374202358020969,0.1492288531538906,0.49392408111453534,0.5116793737386447,0.7199026246091027,0.7551872851607919,0.9293003118748986,1198.1624432326118,650.5606582917518,2449.4416938136465,798.3668159765344,0.030303030303030304,0.03410221619176843,0.06648575305291723,0.10999547715965625,,0.47077828645706177,,0.3545686889753795,43
adult,0.15092361283993325,0.17182037916613718,0.557886397593801,0.5702222705754403,0.6289746687474854,0.6424699485981282,0.9002424894826324,10774.708116337493,6018.27008716889,11819.499517860377,4717.064711995745,0.15293274644282936,0.15352646125499028,0.19265022008393898,0.192875422254069,,0.49513983726501465,,0.3148738820965472,43
bank-marketing,0.18649955270131832,0.20878341180429122,0.5989806266353681,0.6228690923045535,0.6084764915276056,0.6538514147807877,0.8707101550646408,5808.450788729726,3693.8755628598733,15225.017900856066,4754.639587261081,0.11566957867964171,0.111666482362048,0.14674333738803494,0.14371336945703858,,0.4363250434398651,,0.3800180101428633,43
electricity,0.3643580609504669,0.3500250917297851,0.7818248233499079,0.7932842571475938,0.47561242971892864,0.5667618252889044,0.9769443363840686,10877.659320399025,5669.619597558358,13830.385646085582,6373.036353563192,0.17477656405163852,0.17543859649122806,0.2950457905770716,0.2949575195851264,,0.4974745512008667,,0.3078540295639784,43
nomao,0.2759317022952871,0.2819336594191876,0.7506947295974191,0.7151404526622108,0.4582017585480547,0.7057744132165618,0.7678016910916757,3098.0437269964846,2317.946557025919,7240.6931691769505,2446.9864651991984,0.05164659799796895,0.05167561294066444,0.07674452342956622,0.07767300159582184,,0.4419792890548706,,0.39145421514940565,43
madelon,0.09305890355350527,0.12220958197782733,0.31630876637219785,0.39396741931772605,0.9039425049557545,0.8844147984974153,0.32897097788551066,1759.9492080688476,253.6615570449477,1852.3726757343,137.7960768577751,0.45576923076923076,0.4603846153846154,0.5153846153846153,0.5284615384615384,,0.4017108082771301,,0.4258007795430849,43
haberman,0.2731301919128164,0.23975034232742753,0.8223044318315255,0.7841271639450585,0.4137890793692582,0.4740869997424749,0.9380820047587115,163.6331921239053,23.50953397158258,163.8497314453125,27.164391906363402,0.532258064516129,0.4516129032258065,0.532258064516129,0.5516129032258065,,0.39244332909584045,,0.4282305427471442,43
churn,0.14111213661179783,0.12952055372996374,0.5265808461756426,0.5509832232619666,0.6986770098045688,0.7300570852214824,0.9451304153641148,909.0042020874023,435.0905611779913,1389.1410166625976,469.9772010233179,0.088,0.107,0.125,0.133,,0.4486374258995056,,0.3910217796547231,43
sick,0.2943866496490321,0.2716931425506837,0.780938966593076,0.773330960593626,0.6786442237218916,0.686113230775138,0.9636835558343942,1634.012853276335,534.9420868542937,1729.9671415215296,476.19243504696516,0.03576158940397351,0.11496688741721856,0.04105960264900662,0.041324503311258275,,0.3914579153060913,,0.47672447238508464,43
ozone-level-8hr,0.4799916635895377,0.4108359462620113,0.8172689450978181,0.7937741980924382,0.5394074031597169,0.5215526147618462,0.9201792484804375,800.6255954990726,221.53397223238,761.2683605668108,199.3406188875369,0.0650887573964497,0.11282051282051282,0.0611439842209073,0.06548323471400395,,0.36039862036705017,,0.4855806319224614,43
kr-vs-kp,0.16062543849283498,0.17280252886989797,0.5408225326231054,0.5360517798058264,0.8056152217010472,0.7703537687129706,0.9159304596885273,637.9366830587387,176.2494528508889,912.1158096790314,206.58188696305197,0.1875,0.2453125,0.04375,0.10125000000000002,,0.48755162954330444,,0.36300394058064545,43
car,0.18257482613017217,0.15966906818989757,0.7052321149122407,0.6471775671810029,0.5087064560089599,0.6237734778713279,0.9385830448302378,641.248818543605,331.0855545537215,679.7137511589624,340.9854404493307,0.6213872832369942,0.6369942196531792,0.023121387283236993,0.2300578034682081,,0.38802284002304077,,0.4353448640026495,43
optdigits,0.14570871781013187,0.19907666936341312,0.5110655375956958,0.6284071810114188,0.7014486042714001,0.638385743768291,0.810223552841171,383.07072939821836,140.60450968374846,665.3656546840464,327.00100345513835,0.49377224199288255,0.6532028469750889,0.2802491103202847,0.4809608540925267,,0.5869288444519043,,0.24499219663346275,43
pendigits,0.2715398363112292,0.27105420435131883,0.7470668412386275,0.7736047409493365,0.5891083037489087,0.6264357414251652,0.8790542062561126,665.7014953245516,279.7693258190168,1650.949097651143,1066.9570384102988,0.35743519781718963,0.5609822646657571,0.42155525238744884,0.6140973169622556,,0.5110042095184326,,0.2814452735888979,43
satimage,0.5189929586603133,0.5468894366983492,0.9144392406596032,0.9182493787263708,0.5106549173731527,0.5193748901769556,0.984582474722656,525.410987094624,247.59116077616062,813.3198689984312,271.47455169580013,0.08087091757387248,0.1458786936236392,0.07231726283048212,0.13063763608087092,,0.5582066774368286,,0.2812244198013188,43
PhishingWebsites,0.1545933705031096,0.15363097397110861,0.5158746873195028,0.5210656369551094,0.7160949564883198,0.7722070121998005,0.9285201248702761,1478.5537458029014,597.1861085485644,2757.8489296238977,628.6478157838426,0.0370872908186341,0.0444142921754862,0.12392582541836274,0.1640886476707372,,0.47703829407691956,,0.35894668555120096,44
adult,0.21117086069378013,0.18095922482948612,0.6317943367464268,0.5941367804014088,0.5891129002182948,0.6165628511399963,0.8436773483675116,9843.32512774835,5513.050650120504,10933.584563243692,5095.947005578125,0.16808271061521138,0.16838980448357047,0.219572115876753,0.22469034701607124,,0.5180820226669312,,0.32481416189233886,44
bank-marketing,0.22842250360136826,0.15360717510702177,0.62042883076174,0.5945543697863823,0.6144224418303667,0.6632552621057716,0.8477647540144303,7404.681596206957,4450.598600099754,16530.76973902466,5158.480060000866,0.10770761915293597,0.1117107154705297,0.17770651332522394,0.17974123631538205,,0.39235982298851013,,0.41022053926003527,44
electricity,0.35013820712726956,0.36020050800203124,0.7906837811634221,0.7921767421972333,0.4726855844537819,0.5788949101494263,0.9744853348957998,10498.567206892787,5905.226231839521,13327.538918730992,5328.569694512931,0.171687079333554,0.16950237228290854,0.244620986428335,0.24629813527529518,,0.5318069458007812,,0.31926713471056595,44
nomao,0.34905054100615945,0.31433545556806997,0.7181937540967743,0.7329520827876806,0.4570303284584153,0.6976390879281903,0.7307763399400898,3253.8949407070863,2391.839126181839,8859.92087955937,3615.048153159019,0.04323226461627738,0.04471202669374728,0.05527346583490498,0.06139561874365298,,0.44859579205513,,0.3649697320230552,44
madelon,0.10811716174914987,0.1026261388318603,0.3061845161905796,0.3891478338513453,0.9119303007303274,0.8897387350832191,0.1907121867547402,1951.1972447321966,90.49981146717835,1927.2177321213942,71.93077489385614,0.5288461538461539,0.5296153846153846,0.5673076923076923,0.5442307692307692,,0.3964393734931946,,0.4796200250513107,44
haberman,0.2506574829227581,0.25689953131792914,0.8276880841347846,0.8209751006454492,0.36413489824118295,0.41711296707156276,0.9544024179820519,118.05708959025722,39.907256379562604,134.39786086543913,31.77201821696847,0.5806451612903226,0.6032258064516128,0.27419354838709675,0.38064516129032255,,0.3930932283401489,,0.40966681627472895,44
churn,0.14676003695600856,0.11652834017063517,0.5293789545291728,0.5016419590296944,0.7000575343432957,0.725855069484163,0.9621562190629117,1363.5619474792481,724.6678210148875,2136.1006007843016,722.5355320239171,0.067,0.0824,0.095,0.13340000000000002,,0.4072127938270569,,0.3975426956817411,44
sick,0.3124264222734528,0.3296459809652552,0.7741027802505992,0.7971185634856452,0.6204486232780189,0.6386085855417885,0.8606052413382467,1368.21328125,538.7860050382554,1885.5515113476886,544.9403455257197,0.026490066225165563,0.22278145695364238,0.046357615894039736,0.07072847682119206,,0.3810390830039978,,0.47989890931559454,44
ozone-level-8hr,0.4328883897019252,0.4382696354731184,0.7662487173641379,0.7953138712476366,0.5640765652176868,0.5222124370059024,0.9335897262847818,724.4481578879572,202.24004255317644,867.6571673331176,217.5402192802597,0.0631163708086785,0.10256410256410256,0.0631163708086785,0.06942800788954635,,0.35359254479408264,,0.4896915167030115,44
kr-vs-kp,0.14403507462620485,0.14454860222527996,0.530222927625517,0.5296493253416287,0.8125779935439432,0.7991174884653849,0.9146894790108974,740.7892737388611,188.3273274381944,731.5287405490875,211.6750056281055,0.2,0.5740624999999999,0.0640625,0.09875,,0.4638800024986267,,0.3728876476608441,44
car,0.18145431626914077,0.16549931177742416,0.7244805488527413,0.6568610373777959,0.5102225181593646,0.6292116413001289,0.9198117567962044,558.5809877208203,313.93656188337127,730.98171084189,316.5767382551757,0.37283236994219654,0.4184971098265896,0.6416184971098265,0.6427745664739883,,0.36245787143707275,,0.4364046476306497,44
optdigits,0.1484883396354686,0.20442759590351126,0.5528553806623678,0.6642822593219119,0.6815389847926427,0.5988844019364039,0.7344269786611554,365.1713200905145,130.27215398104798,694.1448418559553,458.1442662742794,0.47153024911032027,0.5980427046263346,0.2775800711743772,0.4756227758007119,,0.5805490016937256,,0.2453799005666943,44
pendigits,0.27804492049720564,0.27144531039404934,0.7465384411766419,0.7578632267443858,0.594388647840858,0.627170959136576,0.8883730709111254,627.8515790364264,333.7614291343702,1690.8677664111017,1112.7712692954217,0.3278763074124602,0.6170986812187358,0.24465666211914508,0.5966348340154616,,0.5211265683174133,,0.27996204529470425,44
satimage,0.5351273162749641,0.5327791652292804,0.9150953716162796,0.9165501236811036,0.49536786432029434,0.5152166629073907,0.9875819578354166,443.55216972861285,156.5184398884834,825.8026212867275,295.33841042152505,0.06842923794712286,0.14307931570762053,0.1625194401244168,0.25396578538102643,,0.5401625633239746,,0.2860545920164406,44
PhishingWebsites,0.14454359990614427,0.1674288375094554,0.4947541042306708,0.5515021895974068,0.7043893632616237,0.7590226463536268,0.9248344839610909,1207.5760300048387,618.3112422352958,2411.450362986647,874.3390558878203,0.045228403437358664,0.04748982360922659,0.07146087743102668,0.09470827679782903,,0.4811912178993225,,0.36065859379770887,45
adult,0.19692291043561055,0.16418034068775086,0.5876862474091805,0.5927754637301438,0.6188507322897392,0.6033734200622185,0.8833807225597154,10165.403457971175,5930.037338027467,12440.867594721763,4934.7084694405985,0.17750025591155696,0.17127648684614596,0.17811444364827517,0.1851366567714198,,0.4929637610912323,,0.33064984902170164,45
bank-marketing,0.2054231957422195,0.17042620824872864,0.6511588773770763,0.5936878144773086,0.5988373992858247,0.6732850220091463,0.9062726014610054,7757.527682173507,4522.917515655803,13136.390170006973,5078.385485467513,0.12772310074090457,0.12444985071325886,0.12020347229901582,0.11923034391241845,,0.4235784709453583,,0.41244436845732424,45
electricity,0.33509046100222206,0.3186104776202775,0.7850106768156636,0.7717016246116707,0.4844392305184346,0.5608330992965681,0.9658567162601047,11315.589824543085,5885.979880401437,15531.64191711621,6602.3255168693995,0.19044466512192432,0.1856559638088933,0.3157894736842105,0.308816065320534,,0.4922424852848053,,0.31462263811097435,45
nomao,0.3801837231155236,0.29719480661002085,0.7578124438782886,0.7726554228199133,0.48745353170760897,0.7221996192726062,0.6945109534183166,3533.540650821953,2800.295744808051,8115.641997224029,3342.3206815952854,0.051501523284491514,0.05405483824169448,0.07674452342956622,0.07683156825765268,,0.4709544777870178,,0.3624182650840589,45
madelon,0.06659669532898294,0.08711363718203523,0.2387285244146112,0.35016754701585656,0.9209563072635313,0.8914163540130835,0.20509295056398516,1941.5022883488582,98.33883644028909,1950.653806950496,56.91159481488567,0.5115384615384615,0.515,0.4980769230769231,0.49269230769230776,,0.3892301321029663,,0.4897117591227709,45
haberman,0.2555580508360819,0.27741383533263836,0.8116729168292952,0.7827399737392411,0.3962102451824663,0.46163575733565015,0.9228100238486859,160.82764631702054,26.40440090604831,160.2621963254867,37.21643130743859,0.5645161290322581,0.4580645161290323,0.5645161290322581,0.5903225806451613,,0.38760727643966675,,0.42641444195276285,45
churn,0.120539805091976,0.13326380490178052,0.5263245795878921,0.5416986533687121,0.7162058756233814,0.7285235208345505,0.9643487917482575,748.6139449615479,438.5872381427456,1501.4780033721925,582.9919431273883,0.11,0.1148,0.134,0.14139999999999997,,0.4494074881076813,,0.3688063148570192,45
sick,0.2794638528138046,0.27145461190913456,0.7776908338034884,0.7734828736650486,0.6348511519033354,0.6714778626039494,0.9192547771502254,1511.033861471012,509.7073000862437,1482.8352600097655,442.9842951533479,0.026490066225165563,0.06039735099337749,0.05695364238410596,0.06225165562913907,,0.3219170570373535,,0.5923927191757183,45
ozone-level-8hr,0.4893207970165882,0.35215432647110234,0.8032583635910122,0.7417476385996046,0.5358244333594876,0.5155294530217802,0.9147921464483257,821.2314367200261,225.63531572469873,1344.4489326853254,369.59607339443613,0.05719921104536489,0.22051282051282053,0.34516765285996054,0.6224852071005917,,0.37814992666244507,,0.4736240135441198,45
kr-vs-kp,0.12401652881502882,0.13853809396645136,0.500309110322178,0.5315934950621594,0.8293825604960446,0.7591579259540077,0.9031260214100459,602.8872681140899,191.55609716464187,841.9746478557587,206.83600200126577,0.165625,0.22374999999999998,0.1453125,0.18,,0.4507284164428711,,0.3879885831307406,45
car,0.17708791366387555,0.16693447387689453,0.7049661124405432,0.6354194518218457,0.5054884405992758,0.629894856407697,0.9346671444923678,577.5227324094386,303.9045206465607,620.154573539778,299.9457864843773,0.3959537572254335,0.5554913294797688,0.017341040462427744,0.10924855491329478,,0.40800487995147705,,0.44303014556507303,45
optdigits,0.15628154200212743,0.2324403413346923,0.5425639004044296,0.6867973540955644,0.7263719976648576,0.6361797363708575,0.780879630431714,346.0281392229834,132.6631054834744,674.4895987867036,356.4717830127203,0.2197508896797153,0.352846975088968,0.2001779359430605,0.3090747330960854,,0.5824539661407471,,0.2218052353080591,45
pendigits,0.2839176117613133,0.25629441678497766,0.7517265162058014,0.7529346882021095,0.5781353278880507,0.6257237432292301,0.8804846938314823,522.9626484073364,318.5320562530975,1074.7712444307156,447.1242740270563,0.3042291950886767,0.5457025920873124,0.24010914051841747,0.5083219645293315,,0.5357832908630371,,0.2565145247187881,45
satimage,0.5240603215355307,0.5446692118001508,0.9158883463011078,0.9198225554330351,0.5142182512676381,0.5061109088598468,0.9898333521622736,550.3408743352578,183.83374320949162,1000.0240731246735,262.9111841630251,0.09331259720062209,0.11430793157076205,0.020995334370139968,0.11213063763608086,,0.50799161195755,,0.30494107784107943,45
PhishingWebsites,0.15767628715016296,0.145122129814779,0.5046284971355631,0.5290627444072362,0.7199242746564446,0.7703420083208175,0.8968521335355337,1595.0840568111148,599.5356513406266,2512.8046105918384,621.7097155956502,0.032564450474898234,0.04857530529172321,0.2125734961555857,0.26720940750791494,,0.4833317995071411,,0.34115066145334016,46
adult,0.1733194684593477,0.1600075502984193,0.6171905425437829,0.6007886950853427,0.6238339013161319,0.6134502310097593,0.8450647147719799,9291.189028915356,5550.921817414021,14170.414760271351,5982.350548167934,0.18343740403316613,0.184624833657488,0.17350803562288872,0.17103081175145868,,0.48870226740837097,,0.32841345234123387,46
bank-marketing,0.2290426921190466,0.16837925719769603,0.6289502033437853,0.5813119456886922,0.562592990964855,0.6332672846014508,0.9029992393568009,7331.439207890966,4414.531009647469,12016.43724871847,4195.285437204904,0.11522724759482472,0.11372332190644699,0.13181466327546168,0.1309742342143094,,0.44199031591415405,,0.389369770909518,46
electricity,0.39551473884984495,0.31347756227000767,0.8044984671959874,0.7807483136098424,0.4590772906528866,0.5737585985993358,0.9453910847722303,12615.078311843139,6422.615458161702,13550.18374160014,6045.77233313076,0.17378351539225423,0.17632130641068078,0.2442899702085402,0.24857111331788592,,0.521198570728302,,0.3078079153858742,46
