dataset,condition,param_type,param_value,rotation_seed,rotation_cols_hash,p_cell,n_test,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed,n_estimators,use_hierarchical,sa_checkpoint,ea_checkpoint
PhishingWebsites,clean,none,0.0,,,,2211,0.973767526006332,0.9692446856625961,0.973367420686676,0.9687685397067548,0.07080210477355323,0.08359524616779686,0.01305853735532551,0.01524773802168494,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,cell_outliers_tabpfn_test,outlier_factor,5.0,,,0.02,2211,0.973767526006332,0.9692446856625961,0.973367420686676,0.9687685397067548,0.07080210477355323,0.08359524616779686,0.01305853735532551,0.01524773802168494,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,cell_outliers_tabpfn_test,outlier_factor,10.0,,,0.02,2211,0.973767526006332,0.9692446856625961,0.973367420686676,0.9687685397067548,0.07080210477355323,0.08359524616779686,0.01305853735532551,0.01524773802168494,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,cell_outliers_tabpfn_test,outlier_factor,50.0,,,0.02,2211,0.973767526006332,0.9692446856625961,0.973367420686676,0.9687685397067548,0.07080210477355323,0.08359524616779686,0.01305853735532551,0.01524773802168494,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,uninformative_features_shuffled,n_add,50.0,,,,2211,0.9393939393939394,0.9357756671189507,0.9382494914462934,0.934595501292416,0.15823070252175217,0.17764088523430677,0.030375084716343106,0.04435410754597601,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,label_poison,frac,0.1,,,,2211,0.9624604251469923,0.9520578923563998,0.9619006551585039,0.9513156648370001,0.1627702038609449,0.17407121923085986,0.08582474065549446,0.08139434700797228,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,context_poison,frac,0.05,,,,2211,0.9751243781094527,0.9742198100407056,0.9747590428341772,0.9738526522564788,0.06837993190729183,0.07076538135834552,0.013331537007314986,0.011218492098385106,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
PhishingWebsites,context_poison,frac,0.1,,,,2211,0.9755766621438263,0.9742198100407056,0.9752152273338714,0.9738526522564788,0.0685479699989388,0.07139507444294536,0.01293020933691269,0.012074978359141307,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,clean,none,0.0,,,,9769,0.8504452861091207,0.8513665677141979,0.7754342800909024,0.7812417992208682,0.3151750306368654,0.3181696356331986,0.010395516806461993,0.010802483440287506,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,cell_outliers_tabpfn_test,outlier_factor,5.0,,,0.02,9769,0.8467601596888116,0.8463507011976661,0.7722358548207762,0.7760262177253141,0.32392045959190313,0.32695736852295193,0.010547453817294722,0.00973245664730886,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
