dataset,model,n_train,n_test,n_classes,acc,f1_macro,nll,collapse_top1_global,collapse_top5_global,d_eff_global,mean_cos_global,collapse_top1_within,collapse_top5_within,d_eff_within,d_eff_between,mean_cos_between_means,neff_mean,neff_std,seed,n_estimators,use_hierarchical,sa_checkpoint,ea_checkpoint
cmc,SA,1031,442,3,0.5746606334841629,0.5338389380361549,0.8816100082784478,0.29581429284887395,0.7471458722169211,6.256647666047159,0.6255430635798529,0.29033313111683373,0.764623647701174,6.187616766000397,1.5350253703787893,0.9563627228811673,575.5089078186863,225.2879208056048,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
cmc,EA,1031,442,3,0.5542986425339367,0.5150112753848909,0.8810968107963619,0.2681430494778624,0.708124666070576,6.796000866250355,0.6770791885662202,0.2800221300362264,0.7280021370388878,6.6942163856604315,1.652873975154721,0.9696475058647734,592.1392664844634,215.75644669393864,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,SA,105,46,3,0.5869565217391305,0.5863799283154122,1.3763773712304535,0.29865378648180363,0.8151647366733725,5.423630187945209,0.5588162785143578,0.42307958513286836,0.9087003882864497,3.9282691162654193,1.9415591155101755,0.9359036144754116,49.65772989521856,21.403116457572448,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,EA,105,46,3,0.5434782608695652,0.5435040055729711,1.5761368293834181,0.41990622538266403,0.8371724271714431,4.279678949218918,0.6199464543470684,0.4801137894065106,0.9244330944549005,3.323629735251323,1.8295921659347036,0.9568900162777627,40.08954230598781,13.683203005693832,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pm10,SA,350,150,2,0.6533333333333333,0.6527777777777777,0.6336041443042336,0.2873981288923754,0.7843763920320338,6.117698790534338,0.4819448034481234,0.2938954522740006,0.8005017087840653,5.864854846922498,1.0000000000000062,0.992505995729899,304.74007415771484,25.567245398226714,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pm10,EA,350,150,2,0.6333333333333333,0.6331866079765239,0.7175810017151991,0.29088268349003116,0.8117460207720304,5.753713217938824,0.5457909772408923,0.2982726423754722,0.8248644257842029,5.530383552128785,1.0000000000000067,0.9930317400171933,256.0283539835612,36.53560197433869,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
chscase_census5,SA,280,120,2,0.5,0.49776785714285715,0.7385505063297935,0.29759307919500533,0.7385483001801697,6.6831133681887795,0.5760806385263438,0.3032777866310944,0.7485275689545356,6.479389915781992,1.0000000000000064,0.9891209056747248,258.4904281616211,9.939068031079845,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
chscase_census5,EA,280,120,2,0.49166666666666664,0.4899310152602606,0.9322425051823161,0.17837466065569874,0.710956617220559,8.382987904276986,0.676080386307663,0.19121406844897226,0.724562673645873,8.07686202245412,1.0000000000000069,0.9947971129175623,232.66634152730305,22.451528396227786,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
mushroom,SA,5686,2438,2,1.0,1.0,1.8672056181250797e-05,0.21452859283666773,0.6356407258477542,9.305332959786602,0.629255491856915,0.32905776196178504,0.7127698824619062,6.285256537542525,1.0000000000000067,0.8926161891443598,2534.8632950066935,202.5166418206133,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
mushroom,EA,5686,2438,2,1.0,1.0,3.316274592579694e-05,0.1925952697326084,0.6220196587698634,9.981272245759351,0.7429719878690427,0.3192774137413094,0.7056596963940845,6.666798171464179,1.0000000000000056,0.9376024247483383,1581.9995018299533,800.451260066348,42,32,True,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
