bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
0,0.9555555555555555,0.045165590393080844,60,60
1,0.9777777777777776,0.0308226958627391,60,60
2,0.9777777777777779,0.045906927447328896,60,60
3,0.9555555555555555,0.04622100358970478,60,60
4,0.9791666666666666,0.028632677955678233,60,60
5,0.9625,0.02760362071437752,60,60
6,0.9722222222222221,0.05126674673692159,60,60
7,0.9722222222222223,0.029050695365766543,60,60
8,0.9805555555555555,0.03621779114001473,60,60
9,0.9569444444444443,0.040907434652842085,60,60
10,0.9625,0.03242393758313544,60,60
11,0.9791666666666666,0.0314423095074216,60,60
12,0.976388888888889,0.036615073129066866,60,60
13,0.9666666666666666,0.04263911509169096,60,60
14,0.9541666666666668,0.03726779962499654,60,60
15,0.9708333333333332,0.047201792966573376,60,60
16,0.9791666666666666,0.03330438557856058,60,60
17,0.9680555555555556,0.04949591578112634,60,60
18,0.9583333333333333,0.03771798781666744,60,60
19,0.9777777777777776,0.031595314350214815,60,60
20,0.9694444444444444,0.05414885747116096,60,60
21,0.975,0.028036985053036582,60,60
22,0.9763888888888888,0.03423265984407288,60,60
23,0.9638888888888888,0.04206980897461382,60,60
24,0.9708333333333334,0.04001350080802208,60,60
25,0.9763888888888888,0.03758991278534548,60,60
26,0.9708333333333334,0.03554578858908257,60,60
27,0.9597222222222221,0.03159531435021484,60,60
28,0.9722222222222221,0.05126674673692149,60,60
29,0.9736111111111111,0.047709900103660205,60,60
30,0.9708333333333332,0.034860834438919845,60,60
31,0.9694444444444444,0.0345830544388576,60,60
32,0.9541666666666666,0.0403734495937462,60,60
33,0.9708333333333332,0.054326686710022075,60,60
34,0.975,0.039467422884396745,60,60
35,0.9722222222222221,0.04684283876122237,60,60
36,0.9527777777777777,0.0489571020333738,60,60
37,0.975,0.03050817032845667,60,60
38,0.9736111111111111,0.04430316085482386,60,60
39,0.9666666666666666,0.04430316085482384,60,60
40,0.975,0.031288556461302276,60,60
41,0.9722222222222221,0.03437324630767941,60,60
