bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
0,0.9,0.15687375497513917,19,19
1,0.9166666666666667,0.11785113019775792,19,19
2,0.8791666666666668,0.1733052861923785,19,19
3,0.9208333333333332,0.10248644896874036,19,19
4,0.9083333333333332,0.14553540997144152,19,19
5,0.7958333333333334,0.1978618345097294,19,19
6,0.925,0.11180339887498948,19,19
7,0.925,0.10269797953221865,19,19
8,0.9375,0.10825317547305482,19,19
9,0.8958333333333334,0.11219093348196883,19,19
10,0.925,0.11180339887498948,19,19
11,0.9375,0.10825317547305482,19,19
12,0.95,0.11180339887498948,19,19
13,0.925,0.11180339887498948,19,19
14,0.9333333333333332,0.10865337342004415,19,19
15,0.8666666666666666,0.1513825177048746,19,19
16,0.875,0.125,19,19
17,0.9208333333333334,0.10248644896874036,19,19
18,0.9333333333333332,0.10865337342004415,19,19
19,0.9,0.10458250331675945,19,19
