bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
0,0.9,0.19059938352471134,19,19
1,0.9,0.13693063937629152,19,19
2,0.8666666666666668,0.1759152652715379,19,19
3,0.9,0.10865337342004415,19,19
4,0.9083333333333332,0.14553540997144152,19,19
5,0.8291666666666666,0.18423075807861788,19,19
6,0.925,0.11180339887498948,19,19
7,0.9375,0.10825317547305482,19,19
8,0.9208333333333334,0.10248644896874036,19,19
9,0.9,0.13693063937629152,19,19
10,0.925,0.10269797953221865,19,19
11,0.95,0.11180339887498948,19,19
12,0.9375,0.10825317547305482,19,19
13,0.9083333333333334,0.10374916331657277,19,19
14,0.9166666666666667,0.11785113019775792,19,19
15,0.8791666666666667,0.14160537889972025,19,19
16,0.8791666666666667,0.09592387027684447,19,19
17,0.9,0.10865337342004415,19,19
18,0.9333333333333332,0.10865337342004415,19,19
19,0.925,0.11180339887498948,19,19
