anchor_index,anchor_label,weight
450,L,3.8783164e-05
279,L,3.7536374e-05
339,R,0.00025443765
228,L,3.848689e-05
465,L,3.890415e-05
38,R,0.0002794615
185,L,3.8399343e-05
293,R,0.00022480045
377,L,3.8153274e-05
74,R,0.0013076181
242,R,0.00018133748
416,B,0.009663517
460,L,3.890066e-05
27,R,0.00022735306
175,L,3.846084e-05
466,L,3.910811e-05
488,L,3.826693e-05
286,B,0.0062696864
99,R,0.00036617258
48,R,0.0010190083
541,L,3.8448812e-05
259,R,0.00020061656
177,L,3.838023e-05
308,L,3.7658392e-05
610,L,3.854158e-05
571,L,3.84428e-05
394,R,0.00037238034
115,L,3.8056358e-05
565,L,3.8620947e-05
368,R,0.00019079696
598,B,0.16067857
176,L,3.8651197e-05
319,R,0.00024858
148,R,0.0007138266
110,L,3.8370606e-05
72,R,0.000558988
315,L,3.8649538e-05
47,R,0.0007742568
81,B,0.011342166
505,L,3.857648e-05
64,R,0.0003045246
18,R,0.000542554
262,R,0.00022711924
218,R,0.0001970246
297,R,0.00025512077
576,L,3.9027746e-05
439,R,0.00025142482
45,R,0.00024868932
77,L,3.806899e-05
263,R,0.00020258078
414,R,0.00027180347
153,B,0.03284149
613,L,3.8632697e-05
140,R,0.0001786523
206,L,3.8947397e-05
272,R,0.0002736595
236,L,3.8478596e-05
222,R,0.00022408798
434,L,3.7522415e-05
211,L,3.8838498e-05
65,R,0.00020310616
320,L,3.8385537e-05
150,L,3.8432423e-05
305,L,3.837079e-05
596,L,3.904271e-05
365,L,3.867144e-05
354,L,3.8703758e-05
52,B,0.023341166
306,L,3.888868e-05
413,R,0.00018177164
448,R,0.00025271103
139,R,0.000488235
357,L,3.8826387e-05
335,L,3.8792852e-05
243,R,0.00018290637
477,L,3.897359e-05
167,R,0.00023883818
620,L,3.8940932e-05
389,R,0.0004091768
57,R,0.00030503023
502,L,3.8484322e-05
82,R,0.00022219225
545,L,3.8502898e-05
98,R,0.00027044897
88,R,0.00020468091
481,L,3.9149156e-05
121,R,0.00026760472
493,L,3.783417e-05
516,R,0.0002655859
399,R,0.0009933485
29,R,0.00021365433
376,L,3.879363e-05
17,R,0.00042743725
