anchor_index,anchor_label,weight
1036,6,5.693726e-08
2721,4,9.1584735e-07
3072,1,8.1225744e-07
4320,5,3.9222264e-06
2053,6,5.6669812e-08
2643,3,3.636321e-07
732,3,7.1557366e-07
514,6,5.7124957e-08
4916,6,5.7131658e-08
2561,5,5.464158e-06
5663,6,5.656792e-08
2255,5,3.3944168e-06
5322,1,1.8918531e-07
763,2,1.1062467e-05
1153,6,5.697273e-08
454,6,5.6814784e-08
3793,3,3.4093097e-07
2150,2,3.4707286e-05
3381,1,3.0987076e-07
2437,1,2.703586e-07
4008,3,7.270503e-07
4137,6,5.7090208e-08
3012,6,5.6810286e-08
4613,2,3.7836937e-05
1097,4,4.5988604e-06
5150,3,4.3655666e-07
2455,6,5.7242207e-08
2705,4,9.567866e-07
4239,1,2.3605364e-06
771,3,5.5355343e-07
5856,6,5.7233525e-08
6026,6,5.7099736e-08
1066,5,3.6856554e-06
2725,4,9.216573e-07
905,4,1.8452802e-06
4424,4,2.2360152e-06
4942,5,3.1308225e-06
4286,6,5.7070775e-08
282,6,5.6860475e-08
3860,6,5.7183005e-08
749,1,5.5358903e-08
3133,4,1.3442327e-06
4534,1,1.4527977e-05
2860,4,1.279597e-06
805,3,3.390006e-07
29,1,3.1306953e-07
654,1,1.4151661e-07
745,1,5.519559e-08
1323,1,1.9000727e-07
2850,1,2.0386235e-06
1470,6,5.691326e-08
4226,6,5.6646034e-08
199,6,5.6366517e-08
3385,6,5.672935e-08
2763,1,1.3753525e-07
4046,4,2.5214124e-06
156,3,3.7606307e-07
2181,6,5.7023662e-08
2276,3,4.5012632e-07
5870,1,6.8960776e-07
2599,6,5.6881902e-08
74,4,1.7619394e-06
1025,6,5.668727e-08
1987,6,5.6897747e-08
2546,6,5.7171224e-08
480,1,2.6426432e-07
3287,1,4.5657907e-07
3224,6,5.6740276e-08
585,5,2.249784e-06
2676,1,2.908363e-07
4978,4,1.7422194e-06
1788,1,4.7622066e-06
5959,6,5.7092443e-08
5195,3,3.3699305e-07
5108,3,3.3444806e-07
3242,6,5.7051892e-08
5399,6,5.705184e-08
113,5,4.8968063e-06
4260,1,1.2298987e-07
901,1,1.8682188e-07
232,1,1.0763767e-07
161,1,1.8993155e-07
4225,6,5.704444e-08
3209,5,8.4117255e-06
3229,1,2.3531472e-07
802,2,0.00010422662
2927,6,5.6976475e-08
2997,6,5.6733406e-08
5841,6,5.7174713e-08
1218,4,2.6341575e-06
1868,6,5.7138145e-08
755,3,7.163616e-07
2919,3,2.5778198e-07
1035,3,4.2456622e-07
3474,6,5.7128986e-08
3009,1,6.5598165e-08
1766,6,5.70864e-08
5259,1,1.2722212e-07
3222,5,3.5994467e-06
1657,1,2.7545076e-07
4407,6,5.698957e-08
1880,6,5.6920648e-08
4040,5,5.098574e-06
2126,6,5.666273e-08
4003,3,7.5311556e-07
5713,6,5.6660895e-08
5827,3,4.67308e-07
2586,6,5.7061524e-08
1793,2,8.0901445e-05
3560,1,1.5905572e-07
2269,3,6.2846954e-07
96,5,5.5206174e-06
1784,6,5.6769398e-08
5963,1,3.35706e-06
4324,4,1.3934459e-06
508,6,5.704509e-08
3010,6,5.674823e-08
3271,6,5.6750398e-08
3227,1,1.10583215e-07
961,6,5.6740543e-08
1421,6,5.7124463e-08
1500,1,1.6124125e-07
1529,6,5.7236253e-08
5187,6,5.6938777e-08
5668,1,8.649137e-08
3298,6,5.7165284e-08
1488,6,5.7134216e-08
658,3,4.577287e-07
4904,6,5.634212e-08
1206,1,1.7569099e-07
543,6,5.6868448e-08
89,6,5.7038125e-08
817,3,3.0770718e-07
5720,2,2.4701376e-05
2334,1,3.5564787e-07
1320,1,1.893445e-07
3225,1,8.200838e-07
3143,4,2.9098933e-06
3159,6,5.6794576e-08
5929,2,2.899811e-05
2923,2,9.645507e-06
2879,4,1.1723141e-06
1658,2,2.8643659e-05
1077,5,2.0858877e-06
1433,6,5.712376e-08
4975,5,7.2111134e-06
5944,6,5.71419e-08
5787,6,5.7167515e-08
387,6,5.706011e-08
5998,6,5.7135797e-08
4447,3,3.987191e-07
3379,4,1.3274663e-06
2467,6,5.7054724e-08
3058,6,5.6741033e-08
3182,6,5.6952846e-08
929,6,5.6694514e-08
4738,6,5.6906043e-08
2356,5,1.6974627e-05
5506,4,1.577443e-06
4160,6,5.714452e-08
1684,2,3.461252e-05
5007,2,9.855358e-05
3070,1,1.4211155e-07
3915,6,5.715869e-08
2839,6,5.6645227e-08
6023,2,1.3888974e-05
4195,3,5.884717e-07
3769,6,5.6800697e-08
5563,5,6.3041116e-06
890,1,4.7003041e-07
1142,6,5.6747854e-08
2662,1,1.8653186e-07
284,5,6.109837e-05
4582,5,1.0538117e-05
4862,1,1.2762479e-06
6110,6,5.6938777e-08
4998,4,1.0743478e-06
4924,6,5.7143428e-08
413,6,5.6930908e-08
4147,1,1.46354e-07
1927,6,5.6819225e-08
1449,6,5.717046e-08
4064,4,2.21475e-06
1830,6,5.7139772e-08
2158,6,5.6773946e-08
4079,3,2.6840846e-07
3562,6,5.717139e-08
5462,6,5.6669325e-08
1568,4,1.7414204e-06
3480,6,5.7169263e-08
698,3,1.2747529e-06
1790,1,4.4990384e-06
5825,4,1.1660923e-06
3885,1,3.4164995e-07
562,6,5.6751315e-08
2478,1,4.7764087e-07
3747,4,1.1419774e-06
3781,6,5.725842e-08
1835,4,9.3328043e-07
768,3,7.2319915e-07
5618,6,5.7205696e-08
1882,6,5.7042154e-08
2895,4,1.4382903e-06
3914,6,5.6766364e-08
425,6,5.6787478e-08
3314,6,5.6745957e-08
4106,2,7.245553e-06
4074,6,5.679122e-08
2211,1,4.7118112e-07
1229,6,5.690257e-08
1598,3,2.92103e-07
4806,2,3.7208647e-05
4214,2,2.015733e-05
86,4,2.5228726e-06
2419,4,1.373644e-06
4779,3,4.4251175e-07
3440,4,2.4184953e-06
4528,3,3.0753642e-07
3912,6,5.7065602e-08
4126,1,8.003897e-08
1059,6,5.6846055e-08
3484,6,5.6696788e-08
3608,6,5.704966e-08
5854,5,1.4677354e-06
5739,6,5.675673e-08
1352,2,1.0546864e-05
2513,5,5.1008938e-06
2739,2,5.9707454e-05
242,2,4.0674135e-05
5524,6,5.708362e-08
3705,6,5.681841e-08
4312,1,1.765033e-07
2121,4,1.2667291e-06
1870,6,5.7037802e-08
1626,6,5.6828224e-08
4934,4,1.2954548e-06
4733,3,3.6657815e-07
2153,6,5.68685e-08
2815,6,5.696474e-08
4104,6,5.6812507e-08
5672,3,3.6450496e-07
2713,4,1.2373476e-06
2627,6,5.669165e-08
1311,6,5.676804e-08
2442,5,3.8708013e-06
5924,2,2.0178217e-05
2837,1,4.6030883e-07
2169,2,2.1423179e-05
2532,4,1.9073432e-06
5121,1,2.1115271e-07
3910,1,8.647668e-08
2373,5,5.4804195e-06
2049,6,5.6867687e-08
4835,3,3.2725126e-07
4908,6,5.6614766e-08
109,1,9.586905e-08
2378,4,9.318477e-07
1444,6,5.7157816e-08
3997,5,9.627888e-06
733,2,4.4448356e-05
2088,2,5.115318e-06
5842,1,1.422751e-07
5315,6,5.7052056e-08
4303,6,5.6878974e-08
1695,1,2.1759628e-07
4824,6,5.7137434e-08
2465,6,5.704814e-08
2601,6,5.6774915e-08
524,6,5.7084602e-08
4062,6,5.713656e-08
3345,6,5.6839443e-08
2102,4,1.2359147e-06
5501,6,5.713645e-08
1130,4,1.1334622e-06
5840,5,6.2682197e-06
3062,4,1.7609517e-06
4269,2,2.162933e-05
5675,1,1.8803341e-07
5546,6,5.679214e-08
2498,4,2.7698268e-06
422,6,5.698957e-08
2734,6,5.639464e-08
4140,3,5.422165e-07
4568,4,9.2167846e-07
1843,6,5.7136123e-08
2518,1,3.0437994e-07
1128,4,1.133607e-06
5494,5,0.0018155045
2310,6,5.7159834e-08
4838,3,8.7885377e-07
5814,5,3.6112056e-06
323,1,3.1270727e-07
5378,1,3.0533238e-07
1774,3,3.874038e-07
6089,2,4.3655127e-05
4879,6,5.6850606e-08
4174,6,5.705271e-08
3839,6,5.7162776e-08
2871,4,1.2536332e-06
2700,4,1.1387409e-06
4565,5,8.29881e-06
2293,6,5.716005e-08
1649,6,5.6554867e-08
5657,3,3.1588297e-07
2009,6,5.6951595e-08
5680,6,5.653594e-08
501,6,5.688315e-08
4143,6,5.7128332e-08
2330,3,4.6405046e-07
5758,3,3.961172e-07
5547,6,5.6833965e-08
2271,3,6.221163e-07
5792,6,5.7201987e-08
5176,1,5.66391e-07
1062,2,2.8700151e-05
731,5,1.239509e-06
1908,6,5.6885696e-08
5914,3,5.6943315e-07
4100,3,2.8916668e-07
3801,5,2.270727e-06
1792,1,4.3202544e-06
938,6,5.6616603e-08
5665,4,8.782823e-07
4891,5,2.0330165e-06
4578,6,5.6882985e-08
2370,2,1.8869214e-05
3486,3,4.937192e-07
2213,3,4.793311e-07
3147,4,2.8192173e-06
4032,3,5.023778e-07
1026,4,9.621799e-07
144,6,5.6621033e-08
1287,3,3.7441154e-07
4684,2,3.392011e-05
1048,5,4.3219397e-06
5726,6,5.7035134e-08
4317,2,2.3453396e-05
4056,1,1.2570422e-07
2005,1,1.39306e-07
6060,5,2.3565485e-06
5270,4,1.4115678e-06
2666,6,5.685804e-08
332,1,5.9948167e-07
3405,6,5.67003e-08
4496,6,5.699854e-08
619,6,5.6884936e-08
4224,1,9.9768506e-08
854,3,3.8590375e-07
4603,2,1.2748424e-05
4492,1,4.771683e-07
7,6,5.6689327e-08
4362,2,1.45291415e-05
1997,2,7.030297e-06
4051,1,3.1058227e-07
3857,4,2.0030957e-06
4929,1,2.398774e-07
2092,1,6.3846875e-07
4494,6,5.6900294e-08
1828,6,5.709663e-08
2184,1,1.9272025e-07
150,3,3.8550172e-07
5287,5,4.0715836e-06
3177,6,5.6993102e-08
5141,5,4.497974e-06
4939,5,7.374774e-06
3961,4,1.0081001e-06
2324,3,4.4891567e-07
5610,6,5.7160975e-08
4487,6,5.706816e-08
268,4,1.3775441e-06
3250,5,2.5924705e-06
5769,6,5.688223e-08
3779,1,9.453074e-08
941,6,5.6966318e-08
2538,1,4.2900427e-07
3109,1,1.3721298e-07
6077,6,5.6609856e-08
1579,1,8.4799545e-08
5362,6,5.7052656e-08
3144,6,5.71733e-08
1814,1,1.238527e-06
5690,6,5.6744824e-08
1051,5,1.8092011e-06
541,6,5.678234e-08
485,6,5.674266e-08
3173,6,5.7144792e-08
3924,2,4.226304e-05
5122,5,7.813554e-06
2344,5,1.8318378e-05
5439,4,1.1694622e-06
1129,4,1.2746556e-06
5487,4,9.598245e-07
2227,5,4.8531515e-06
1301,1,1.3367165e-07
2604,4,1.0437025e-06
3641,1,1.7379769e-07
2482,6,5.696496e-08
4201,6,5.6975498e-08
850,2,3.211274e-05
4660,6,5.6778763e-08
4845,5,3.3631804e-06
148,5,0.00040078638
2436,4,1.6593409e-06
3105,4,1.217514e-06
738,4,0.0007931069
995,3,3.8383916e-07
1522,6,5.7244446e-08
3191,6,5.6961103e-08
3063,6,5.686411e-08
119,6,5.697599e-08
3339,4,2.0263483e-06
1556,6,5.6952732e-08
1480,6,5.6856194e-08
1063,5,3.4789784e-06
6079,6,5.705744e-08
3662,6,5.659717e-08
2195,6,5.6904145e-08
1302,5,3.2291457e-06
317,1,2.5366119e-06
5833,3,3.7901475e-07
4516,3,4.7354072e-07
146,4,9.133807e-07
349,6,5.6786774e-08
3980,5,9.148239e-06
3544,6,5.708727e-08
1031,1,8.871132e-08
2162,6,5.69855e-08
5943,1,2.923639e-07
1259,6,5.6944696e-08
448,2,1.7650818e-05
4693,6,5.6692677e-08
1378,6,5.7134056e-08
651,6,5.6676672e-08
2421,1,2.3665015e-07
4011,2,1.428709e-05
2753,4,1.9249654e-05
414,6,5.690252e-08
2921,3,3.98751e-07
1343,3,3.8919202e-07
1054,6,5.680449e-08
3403,4,9.193898e-07
1704,6,5.6952356e-08
4569,2,7.160963e-06
1992,6,5.6832288e-08
1773,6,5.7034537e-08
2517,3,5.621189e-07
1804,6,5.7138305e-08
2440,1,2.7053605e-07
1300,1,7.617521e-08
4086,3,2.3010405e-07
5325,6,5.6914406e-08
3291,3,7.630496e-07
2100,6,5.7092766e-08
3081,5,2.1327987e-06
1184,1,2.2961257e-07
1659,6,5.6953713e-08
5295,3,8.804809e-06
5579,6,5.6630586e-08
599,2,4.4220465e-05
1250,4,1.2877305e-06
1754,2,1.3087649e-05
3974,6,5.7127952e-08
5349,6,5.7252745e-08
1347,6,5.6926076e-08
3146,5,2.337329e-06
4453,1,1.7317429e-07
2735,1,5.950227e-08
5635,6,5.6791432e-08
3743,1,8.036044e-08
71,6,5.6894592e-08
3550,6,5.713874e-08
4470,1,0.00012190511
6058,2,1.2621029e-05
5127,3,5.157737e-07
1401,6,5.7164577e-08
3282,6,5.6871812e-08
5621,3,5.7091705e-07
4234,3,2.814206e-07
598,3,4.0858257e-07
6073,1,7.352421e-08
438,2,1.5694892e-05
3391,3,3.3187385e-07
231,2,3.191204e-05
4382,3,3.771675e-07
5415,6,5.7129423e-08
5942,6,5.7137267e-08
5904,2,3.3943248e-05
410,6,5.6882556e-08
4149,3,4.5704735e-07
4618,6,5.669538e-08
1672,5,4.617763e-06
419,6,5.6784177e-08
3525,6,5.6895736e-08
252,1,2.0215815e-07
5038,3,3.7603152e-07
116,1,1.3799615e-07
1469,6,5.6927867e-08
529,6,5.7158196e-08
4102,1,1.5167855e-07
3050,6,5.6742007e-08
3024,1,2.195527e-06
3636,6,5.7034484e-08
5369,6,5.7177658e-08
1623,6,5.677454e-08
6104,6,5.7159454e-08
3780,6,5.7148767e-08
5492,4,9.1472214e-07
665,1,2.1354273e-07
2136,6,5.6855598e-08
703,2,3.525758e-05
930,6,5.6403728e-08
1149,1,2.0074569e-07
6047,4,2.0272198e-06
5666,4,9.350042e-07
4090,6,5.6648144e-08
725,2,1.2568648e-05
1857,6,5.709255e-08
168,3,3.7603007e-07
127,6,5.6708682e-08
3686,3,4.1681085e-07
4229,6,5.6843017e-08
5138,3,4.0432343e-07
3194,3,5.439137e-07
3189,6,5.7194132e-08
5192,6,5.6773345e-08
1182,6,5.7184423e-08
2710,4,9.17329e-07
2219,1,4.9355634e-07
1971,6,5.7135253e-08
4448,6,5.7089775e-08
1650,6,5.6599816e-08
5268,6,5.6942362e-08
373,4,1.0009314e-06
5533,1,1.7295822e-07
2906,5,3.499533e-06
365,1,3.281723e-07
4237,1,8.639343e-08
4344,6,5.690252e-08
2401,6,5.7208858e-08
2534,1,2.9013324e-07
2317,3,4.403135e-07
5152,6,5.7136177e-08
2526,6,5.7216226e-08
4636,2,9.53246e-06
4669,3,3.8513133e-07
2761,1,1.3276656e-07
1010,5,1.5176502e-06
5652,2,3.8420687e-05
4744,5,7.2858597e-06
5696,4,2.7770582e-06
842,5,1.9138224e-06
1850,3,2.594183e-07
306,6,5.6917063e-08
5389,6,5.6861726e-08
523,6,5.7133178e-08
4629,2,2.206565e-05
3814,6,5.6938998e-08
4099,6,5.6789215e-08
1912,6,5.713558e-08
304,3,2.4812908e-07
566,2,3.1671763e-05
4897,1,5.307837e-07
1717,1,2.9047155e-07
3249,6,5.6440374e-08
727,3,8.908788e-07
1205,1,7.428799e-07
2841,6,5.710611e-08
3453,6,5.6568947e-08
2820,6,5.6697218e-08
2304,5,3.3731415e-06
3957,1,5.4287364e-07
4804,3,7.734584e-07
4444,6,5.6984682e-08
2000,6,5.68344e-08
4429,5,3.3439944e-06
4155,1,1.4373818e-07
4602,6,5.6854404e-08
5392,6,5.6925963e-08
2283,5,4.231666e-06
5831,2,2.923681e-05
5012,6,5.6860536e-08
