anchor_index,anchor_label,weight
3498,P,6.184453e-08
4807,R,2.570479e-07
2765,P,6.3016934e-08
5419,P,5.976825e-08
8076,D,1.0710345e-07
8759,D,1.07612706e-07
4718,D,1.08426946e-07
1256,R,4.576963e-07
4850,D,1.07359924e-07
4382,S,7.783408e-08
7200,S,7.986214e-08
1235,S,7.886716e-08
1179,P,6.570333e-08
4803,R,8.375825e-07
7321,D,1.0880274e-07
2003,D,1.0543532e-07
7793,S,7.9765165e-08
6870,R,3.9731873e-07
6022,D,1.07647814e-07
8206,R,2.9824366e-07
4198,S,7.708356e-08
1801,D,1.0694688e-07
2675,S,7.8816186e-08
1426,S,7.9083925e-08
1462,R,2.8206753e-07
8783,P,6.06605e-08
3703,R,6.347731e-07
1438,S,7.858801e-08
9743,P,5.9003575e-08
6104,D,1.0542708e-07
8439,D,1.07707784e-07
6503,S,8.069418e-08
3230,D,1.0789427e-07
8926,R,2.501312e-07
7390,S,7.9222815e-08
5629,P,6.0057936e-08
9372,P,6.147971e-08
1647,S,7.8265344e-08
6663,P,5.917669e-08
7611,H,2.414622e-05
9690,R,3.3499447e-07
54,D,1.0655717e-07
552,S,8.184823e-08
2286,S,7.9044106e-08
2949,S,8.063141e-08
5829,P,6.206693e-08
9819,R,2.812909e-07
9750,P,6.383593e-08
3463,S,7.687595e-08
8746,D,1.0718745e-07
4637,D,1.0729299e-07
6835,S,7.985422e-08
7813,S,7.935317e-08
9051,D,1.0789922e-07
1594,D,1.07692784e-07
4035,D,1.0784407e-07
6533,S,7.976303e-08
4049,D,1.07454575e-07
8458,P,6.1486624e-08
4068,D,1.06948306e-07
2504,S,7.8419404e-08
7621,P,6.370834e-08
6963,P,6.259586e-08
8584,H,8.714851e-06
5271,S,7.893322e-08
7132,D,1.0688753e-07
7151,S,8.116529e-08
533,S,8.173481e-08
9832,R,5.4023184e-07
7950,D,1.1028493e-07
9643,H,1.6257622e-05
524,S,8.065925e-08
6850,S,7.7756184e-08
2102,S,7.92272e-08
9816,H,6.821161e-06
8577,S,8.0043e-08
6389,P,5.8557358e-08
1760,D,1.07890784e-07
5852,S,8.0266666e-08
7694,P,6.584962e-08
8517,S,8.174541e-08
3482,P,6.115924e-08
6760,P,6.3257296e-08
1130,S,8.2605894e-08
6816,P,6.0993585e-08
7388,S,7.95479e-08
4031,D,1.0787617e-07
2311,P,6.233173e-08
8047,P,6.2126034e-08
4115,D,1.0813614e-07
4398,S,7.7531666e-08
8296,R,2.9464871e-07
6631,H,1.6573375e-05
407,R,2.2243627e-07
2617,D,1.0734396e-07
1269,R,2.2027209e-07
3220,R,2.8272441e-07
6291,S,8.10199e-08
3197,R,1.4383598e-06
9761,P,5.858976e-08
106,D,1.053302e-07
5435,S,7.7410654e-08
4510,S,7.917236e-08
5120,H,4.057485e-06
3765,P,6.669881e-08
2435,D,1.06665546e-07
1551,D,1.0767615e-07
7477,H,7.0314486e-06
1894,D,1.09549056e-07
451,D,1.0777807e-07
9228,D,1.08005054e-07
8302,D,1.0682945e-07
8374,P,6.149389e-08
1021,S,8.0547636e-08
9537,P,6.134629e-08
8084,D,1.0779348e-07
3176,H,1.2330942e-05
52,D,1.06148214e-07
6050,H,9.600207e-06
7801,S,7.971209e-08
445,D,1.0694565e-07
1056,H,1.9400755e-05
9527,D,1.07208706e-07
6093,R,2.3872806e-07
4822,D,1.0835623e-07
8696,S,7.824774e-08
9679,H,2.087303e-05
8343,P,5.8286027e-08
9553,S,7.818731e-08
3904,H,1.183583e-05
729,D,1.0870546e-07
5705,H,1.3293695e-05
923,D,1.0715372e-07
4783,H,0.00019425167
657,R,0.00017017778
465,D,1.0772669e-07
4019,D,1.07684365e-07
2781,S,7.927708e-08
9107,R,2.6665586e-07
682,D,1.075532e-07
744,D,1.07208095e-07
7251,R,2.9526586e-07
6943,P,5.8814923e-08
5004,D,1.06548825e-07
8739,D,1.079165e-07
3358,R,8.2264347e-07
6832,S,7.9324124e-08
4381,S,7.701097e-08
239,S,8.109596e-08
8134,H,9.788209e-06
6726,P,5.8822774e-08
6026,P,6.217368e-08
9399,S,7.905285e-08
9604,P,5.91266e-08
8760,D,1.063168e-07
7874,P,6.340648e-08
2967,S,7.67542e-08
8290,R,2.6206348e-07
7177,S,8.064986e-08
1051,S,8.21435e-08
6382,P,6.024621e-08
2382,D,1.0856539e-07
9715,D,1.0778814e-07
7886,S,7.834391e-08
1780,P,6.509784e-08
9023,D,1.0756264e-07
8423,D,1.075005e-07
5023,P,6.1842414e-08
9589,D,1.0587787e-07
9847,R,2.5787682e-07
708,D,1.07184576e-07
7286,D,1.06423514e-07
9141,P,6.036215e-08
1307,S,7.872213e-08
8460,P,6.338653e-08
2126,D,1.0723734e-07
9241,D,1.0680072e-07
5368,S,7.482747e-08
377,H,1.16189985e-05
5653,S,7.900718e-08
4613,R,5.188679e-07
4646,D,1.0753515e-07
5609,P,6.3397536e-08
7316,D,1.06139304e-07
5499,P,6.058996e-08
1122,S,7.892148e-08
7070,R,2.1035514e-07
3795,S,8.040442e-08
499,D,1.08005054e-07
6800,P,5.86025e-08
6078,H,8.787526e-06
4178,P,6.471567e-08
5708,H,1.648469e-05
8450,D,1.0582456e-07
3226,D,1.0805368e-07
5863,S,7.784254e-08
4428,R,3.015271e-07
8528,H,1.2928448e-05
1563,D,1.06060384e-07
9149,S,8.119285e-08
739,D,1.0793379e-07
3371,D,1.07597934e-07
4910,P,6.288786e-08
4412,S,7.522112e-08
2091,S,7.8532565e-08
8265,S,8.05945e-08
8408,R,2.5379626e-07
5343,P,6.421523e-08
2330,S,8.1097205e-08
6830,S,7.9081964e-08
1291,S,7.856613e-08
4564,S,7.8990304e-08
380,H,1.0989071e-05
6084,H,1.038114e-05
3889,S,8.1090704e-08
7638,H,1.0750593e-05
1284,P,6.305288e-08
5733,P,6.4677174e-08
1834,D,1.1003573e-07
8533,P,6.0926844e-08
824,S,7.936226e-08
3030,D,1.08116346e-07
633,R,1.9212337e-06
1061,P,6.516132e-08
971,D,1.07835234e-07
7008,P,5.78768e-08
822,S,7.941662e-08
2371,S,8.1388826e-08
7875,P,6.0945446e-08
726,D,1.0634965e-07
9388,P,6.263958e-08
2905,S,7.9193356e-08
2677,S,8.0226876e-08
5027,H,1.14312825e-05
8977,R,2.4350712e-07
4250,S,7.567111e-08
7032,P,6.0982885e-08
4956,S,7.994962e-08
9649,H,1.11168565e-05
3382,D,1.0732574e-07
7487,P,6.346589e-08
5423,S,7.922826e-08
646,R,4.525219e-07
768,P,6.3922315e-08
850,S,7.921798e-08
6340,H,5.298174e-06
3888,S,8.11803e-08
2637,D,1.05860096e-07
1184,P,6.0070995e-08
8703,S,7.85483e-08
364,S,8.0194745e-08
4379,S,7.792425e-08
2477,S,8.05567e-08
694,D,1.0796159e-07
474,D,1.0845321e-07
2749,D,1.0753556e-07
7789,S,7.8296104e-08
4930,P,6.23567e-08
3924,H,0.0001615405
5861,S,7.804011e-08
1516,D,1.0505311e-07
4928,P,6.166644e-08
9859,D,1.07892426e-07
6001,R,2.1936165e-07
5744,S,7.9312926e-08
2010,D,1.06532774e-07
1671,R,2.0810043e-07
9723,D,1.08596865e-07
326,P,6.515485e-08
8182,H,2.6199405e-05
6155,H,1.1052246e-05
2324,S,7.949224e-08
543,S,8.2624965e-08
1983,D,1.0606847e-07
2438,D,1.0714288e-07
