anchor_index,anchor_label,weight
100,L,2.0607185e-05
406,L,6.535891e-05
471,L,0.0011848409
221,R,7.5790513e-06
7,R,2.6684596e-05
612,L,2.9408704e-05
611,L,1.155275e-05
330,L,1.4595828e-05
275,L,7.54321e-05
273,R,5.3059597e-05
98,R,8.548359e-05
300,L,1.27822295e-05
459,L,1.4875987e-05
407,L,5.724952e-06
401,L,2.5317555e-05
186,B,3.9257325e-06
373,R,1.0626077e-05
298,R,4.042355e-05
423,R,3.1465115e-05
466,L,2.3185261e-05
30,B,3.7140878e-06
194,R,8.856901e-05
452,L,1.178054e-05
61,R,3.2558397e-05
123,R,2.3557248e-05
140,R,3.2441643e-05
49,R,6.97567e-05
66,R,0.00035558006
348,R,3.2028143e-05
293,R,7.54734e-05
386,R,1.9371531e-05
164,R,2.2416702e-05
24,R,0.00040053378
424,R,3.5041034e-05
301,L,1.0447745e-05
94,R,0.000112178466
11,R,4.2801657e-05
263,R,1.8267106e-05
364,B,4.9115947e-06
449,R,4.872492e-05
624,B,4.829512e-06
414,R,1.8533532e-05
381,B,3.5647897e-06
556,L,3.6030444e-05
86,R,1.8648172e-05
3,R,2.9088736e-05
605,L,7.681961e-06
581,L,1.9415196e-05
192,R,3.5201e-05
9,R,2.6357793e-05
454,L,1.7902432e-05
12,R,5.240294e-05
168,R,8.805526e-05
232,L,0.00033895177
557,L,2.67424e-05
97,R,7.1145616e-05
236,L,3.7317994e-05
224,R,7.5804855e-05
76,L,9.127653e-06
37,R,3.7827842e-05
56,R,8.5641195e-06
393,R,1.734341e-05
470,L,0.009548351
480,L,1.6181722e-05
532,L,0.00059446064
335,L,1.2823731e-05
206,L,4.699654e-05
36,R,4.607981e-05
531,L,0.00066024327
607,L,1.5884774e-05
15,R,0.000112944384
266,R,0.0006517184
436,L,1.2266318e-05
559,L,4.5159445e-06
487,L,8.4654625e-05
491,L,9.798751e-05
533,L,3.5072844e-06
419,R,5.3766616e-05
412,R,6.373716e-06
259,R,1.8365186e-05
521,R,1.4652368e-05
343,R,1.6600618e-05
502,L,4.3248077e-05
58,R,2.1838858e-05
399,R,4.1337757e-05
204,L,6.8146405e-06
379,R,8.9848145e-06
430,L,2.0035455e-05
371,L,8.707691e-06
201,L,2.4522544e-05
219,R,0.00017926222
539,R,8.886815e-06
431,L,2.1272645e-05
551,L,9.8067485e-06
464,L,3.402075e-06
247,R,7.3038086e-06
155,L,1.3373949e-05
16,R,0.90486336
572,B,4.6064497e-06
448,R,2.3834526e-05
60,B,3.7964471e-06
303,L,1.1001058e-05
80,L,5.6171452e-06
269,R,0.0010339634
576,L,8.775819e-06
262,R,4.108563e-05
64,R,2.5261072e-05
560,L,1.6836379e-05
54,R,5.713068e-06
541,L,5.5271175e-06
537,L,3.8204985e-06
146,R,0.0001182653
126,B,3.5955522e-06
