anchor_index,anchor_label,weight
3743,1,1.3082971e-06
5002,4,1.2927028e-07
3649,2,9.036888e-06
5015,4,1.292227e-07
3723,2,3.0657511e-06
5155,1,2.1663043e-06
4036,1,1.8846251e-06
1617,1,2.0318876e-06
1839,1,1.4726984e-06
851,2,4.2475463e-06
1174,2,8.336978e-06
401,1,2.0904513e-06
1528,2,1.953143e-05
1919,2,6.5873164e-06
1406,1,1.5939497e-06
141,1,2.3367286e-06
4115,1,2.7784586e-06
2638,1,6.194553e-06
1551,2,4.6349105e-06
2646,1,9.925156e-06
1667,4,1.291659e-07
4334,1,1.8665985e-06
1981,1,2.1555713e-06
910,2,5.5548644e-06
4380,4,1.2914668e-07
3244,2,8.348196e-06
5092,2,1.7843759e-05
4348,1,1.974848e-06
3984,2,2.42142e-05
4782,1,1.6397643e-06
66,1,2.4392511e-06
3598,3,1.2751629e-07
3442,2,5.061443e-06
1677,3,1.2333821e-07
1295,2,7.5424846e-06
5229,1,2.7101255e-06
1872,2,8.15268e-06
2794,1,2.6012885e-06
1577,2,1.9264156e-05
3415,2,5.8288197e-06
4153,2,1.276824e-05
1327,2,1.1713745e-05
1862,2,6.093365e-06
1029,1,1.440783e-06
5004,4,1.2929469e-07
3581,1,5.2888245e-06
3781,1,1.939834e-06
1909,1,1.4044026e-06
3929,1,5.107064e-06
3207,1,1.5388802e-06
1229,2,3.782298e-06
5195,2,3.1181069e-06
2340,1,3.0408346e-06
1908,1,1.4349578e-06
3097,1,2.6594562e-06
1755,2,3.9316645e-05
4018,1,1.3665484e-06
4708,1,2.1761066e-06
3653,2,1.0217465e-05
3067,1,1.5578548e-06
3910,2,5.4284787e-06
4097,4,1.2924316e-07
29,4,1.2924477e-07
2550,1,1.6468229e-06
3824,2,4.912788e-06
3291,1,3.1765205e-06
2582,1,8.1434555e-06
2393,1,1.7767047e-06
5390,2,5.6309977e-06
2741,2,5.3841053e-05
3976,1,2.1322367e-06
1537,2,1.1495509e-05
1077,2,3.9237552e-06
1120,4,1.2919892e-07
923,1,2.1058968e-06
4610,2,6.0119537e-06
4575,2,4.8529488e-05
4078,4,1.2925807e-07
4768,4,1.2923773e-07
2539,1,1.7060953e-06
3345,2,7.631743e-06
2776,1,1.7397549e-06
4645,1,1.586378e-06
424,1,3.627569e-06
3692,2,5.802295e-05
3927,1,3.0676931e-06
735,1,4.259793e-06
1224,2,1.4769904e-05
2892,1,2.308961e-06
3330,2,9.985119e-06
691,1,2.192283e-06
1168,2,2.4460523e-05
4388,4,1.2911775e-07
351,2,1.8858791e-05
5217,4,1.291866e-07
1800,1,2.0040143e-06
1255,1,1.874065e-06
2887,1,1.5499119e-06
2100,2,4.878314e-06
3142,2,6.524321e-06
4578,2,3.1697436e-05
4026,1,1.5143648e-06
4830,1,1.9688227e-06
5137,1,1.8417422e-06
2896,1,1.8993684e-06
4837,1,2.184409e-06
3667,1,2.0539496e-06
2107,1,1.4884787e-06
3020,1,1.7604758e-06
1494,2,7.630498e-06
4339,2,7.5641233e-06
2518,1,1.8904826e-06
2568,4,1.2908389e-07
2403,1,2.0279986e-06
2042,1,1.7247729e-06
3493,1,1.953341e-06
357,4,1.2928348e-07
4599,2,8.5857555e-06
1903,1,1.476815e-06
3619,2,9.204155e-06
5278,1,3.4029843e-05
3573,3,1.2674083e-07
2574,4,1.2914325e-07
1245,1,1.7803344e-06
792,1,1.9127297e-05
3426,2,5.778762e-06
2578,1,8.963335e-05
3659,1,1.9806212e-06
3085,2,9.441189e-06
3079,2,6.5159015e-06
921,1,3.210806e-06
5150,1,1.4732913e-06
4510,2,4.6548134e-06
3512,1,1.455162e-06
862,2,8.543226e-06
4539,1,1.5306107e-06
30,4,1.2925216e-07
2412,1,1.7605968e-06
5197,2,7.993392e-06
5260,1,1.6860289e-06
4048,2,2.1803933e-05
2285,4,1.2920951e-07
3153,4,1.292926e-07
2181,4,1.2925956e-07
1268,1,2.2712613e-06
1461,1,1.7964159e-06
4384,4,1.2915112e-07
5453,2,1.5761154e-05
4392,4,1.2910864e-07
913,2,7.883723e-06
2519,1,1.3908287e-06
4698,1,1.3993863e-06
4183,2,5.3175913e-06
1590,1,2.1131373e-06
225,4,1.2919449e-07
5052,1,1.4496673e-06
5010,4,1.2930629e-07
1017,1,1.7749807e-06
2228,1,2.2493455e-06
1450,2,6.969414e-06
2560,1,3.5513717e-06
3181,4,1.2922393e-07
3001,4,1.2939287e-07
1262,1,3.2986643e-06
3032,1,1.7531191e-06
1937,1,1.4048351e-06
3209,1,1.968774e-06
4010,1,1.9954816e-06
1079,2,7.046337e-06
3041,1,1.7332103e-06
4374,1,2.3135237e-06
3695,2,6.932937e-05
2073,2,2.8717895e-06
4120,1,1.9769263e-06
4389,4,1.2914509e-07
4344,1,2.2211732e-06
5403,2,3.980949e-06
605,2,8.049626e-06
2666,3,1.2539299e-07
5020,4,1.292852e-07
55,4,1.2925192e-07
3975,1,1.9924714e-06
3433,2,8.88743e-06
3144,2,7.297025e-06
2205,1,2.2108306e-06
5299,3,1.2502866e-07
2967,1,2.0401496e-06
1646,4,1.291542e-07
752,4,1.2902038e-07
4766,4,1.2925007e-07
2419,1,1.7809186e-06
1687,3,1.2401132e-07
5428,1,1.6243262e-06
5107,1,1.5052045e-06
3171,1,2.1111814e-06
4894,1,1.7971629e-06
3799,1,1.6642628e-06
4064,4,1.2931221e-07
4651,1,1.7479705e-06
2947,2,5.183577e-06
3089,2,9.642542e-06
2232,1,2.527563e-06
4739,2,7.0622814e-06
