anchor_index,anchor_label,weight
4774,4,2.0354484e-05
4483,6,1.5395304e-07
3610,4,8.61591e-06
4459,6,1.537661e-07
1242,6,1.5416886e-07
189,6,1.5447085e-07
3016,4,2.0607245e-05
1138,1,5.8166574e-07
2953,5,4.332422e-06
1018,5,5.5960577e-06
974,6,1.542468e-07
3024,1,6.109371e-07
5576,1,3.950266e-07
1108,6,1.5518594e-07
4010,1,6.6608914e-07
4734,5,2.6252847e-06
1328,6,1.542312e-07
2935,6,1.5475057e-07
2006,1,8.629952e-07
575,6,1.5442255e-07
2308,3,4.4281765e-06
3571,5,5.867494e-06
1098,6,1.5485331e-07
4131,1,5.802939e-07
5343,1,6.1485207e-07
2320,5,4.2506476e-06
4128,6,1.5497314e-07
3853,6,1.5331145e-07
2725,4,7.184987e-06
3550,6,1.5365951e-07
4008,3,3.275053e-06
4499,5,2.7180831e-06
1974,2,2.0056143e-05
3649,6,1.5387275e-07
4713,1,4.0917607e-07
1254,3,3.074621e-06
3012,6,1.537806e-07
4723,6,1.5501482e-07
2119,4,9.468956e-06
1746,2,1.6200222e-05
5663,6,1.5521229e-07
5593,1,5.74569e-07
5061,2,1.7526474e-05
4839,5,3.24472e-06
643,6,1.5404247e-07
2099,4,7.486804e-06
5411,6,1.534845e-07
3732,4,2.828855e-05
5232,5,9.063708e-06
5106,6,1.5484726e-07
2909,2,2.9162207e-05
29,1,9.606367e-07
3970,6,1.5338354e-07
3639,6,1.5388845e-07
2566,5,6.215106e-06
3722,6,1.5442268e-07
1483,6,1.5359477e-07
753,3,3.9542824e-06
3477,3,4.9293426e-06
1838,5,2.1054248e-05
5597,6,1.5390987e-07
2617,4,1.773527e-05
920,6,1.5420238e-07
5833,3,3.9179085e-06
553,3,3.721839e-06
1615,1,5.473382e-07
2603,6,1.5394365e-07
6007,1,3.415024e-07
2213,3,4.0578457e-06
1358,6,1.5327576e-07
3788,4,3.2286054e-05
667,6,1.5511404e-07
3523,6,1.5422651e-07
5169,2,2.813447e-05
1510,6,1.5302952e-07
2103,4,9.277993e-06
3616,6,1.5474465e-07
4433,6,1.5465054e-07
930,6,1.5464626e-07
2438,4,1.2807183e-05
5841,6,1.5403644e-07
2821,6,1.5426151e-07
3482,6,1.5416444e-07
4428,2,3.4341236e-05
747,3,2.6333712e-06
2639,4,1.1012227e-05
5990,1,4.3558063e-07
931,6,1.5474333e-07
3140,4,2.087029e-05
4529,2,2.1394535e-05
4650,1,5.768283e-07
1236,6,1.541815e-07
4298,1,1.9239037e-06
2913,4,2.2021168e-05
2070,6,1.5415166e-07
4186,2,2.1157948e-05
5325,6,1.5465969e-07
5330,4,7.0124725e-06
1601,5,2.008128e-06
251,6,1.5435629e-07
811,4,0.00016013294
4216,6,1.5319539e-07
1740,6,1.5470866e-07
5524,6,1.5457401e-07
330,1,5.2053434e-07
219,1,6.335691e-07
4636,2,3.1422358e-05
3901,6,1.5455338e-07
3557,6,1.5335574e-07
2235,5,9.9532635e-06
6117,4,2.2647075e-05
2854,2,1.0679343e-05
4464,6,1.5413121e-07
1988,6,1.5319685e-07
1420,6,1.5395509e-07
1911,6,1.538478e-07
5921,4,1.2697354e-05
275,4,9.624979e-06
4708,4,3.6350244e-05
1938,6,1.5338573e-07
2049,6,1.5416047e-07
3670,2,1.909093e-05
1076,6,1.5500194e-07
1730,1,6.726034e-07
3709,3,2.9673486e-06
4472,3,3.1282052e-06
2503,4,3.1506435e-05
4989,6,1.5475868e-07
1942,6,1.5341324e-07
4415,6,1.5441637e-07
1337,6,1.5494224e-07
3032,1,7.918541e-07
2171,1,5.993863e-07
5788,3,2.7644542e-06
4939,5,9.474954e-06
218,1,6.515236e-07
896,3,5.35145e-06
3082,3,3.7460643e-06
193,6,1.5431935e-07
2332,5,6.8992654e-06
5710,3,3.4482857e-06
5220,6,1.5417048e-07
5398,6,1.5388359e-07
387,6,1.5491875e-07
4443,1,8.283221e-07
3694,6,1.5526929e-07
4588,3,2.6225919e-06
4555,1,3.7421916e-07
3533,3,3.6900694e-06
2990,6,1.5368224e-07
426,6,1.5414989e-07
5872,1,6.5146645e-07
2557,5,9.371973e-06
3258,1,5.1377026e-07
5237,3,3.7355294e-06
4791,2,2.789373e-05
377,3,3.1701516e-06
4539,6,1.5389006e-07
5142,6,1.541971e-07
5417,6,1.538142e-07
344,6,1.5477934e-07
1264,6,1.5456546e-07
3249,6,1.5438367e-07
3195,5,8.515317e-07
4282,5,4.105933e-06
1260,6,1.5468048e-07
448,2,2.4822592e-05
1574,1,1.0582445e-06
1811,1,7.655914e-07
3760,4,1.3618116e-05
339,6,1.544305e-07
4363,2,1.3406948e-05
1802,6,1.5443271e-07
4718,5,1.3636823e-06
979,6,1.5506242e-07
5594,3,3.4664138e-06
1482,6,1.5344807e-07
1070,4,3.6196863e-05
160,2,2.746036e-05
