anchor_index,anchor_label,weight
40,Pastry,2.9137324e-05
90,Pastry,2.1044005e-05
226,Z_Scratch,2.8009267e-06
1577,Other_Faults,4.502091e-07
924,Bumps,4.3434025e-07
1748,Other_Faults,4.5263715e-07
651,K_Scratch,1.321441e-06
57,Pastry,0.00017839005
1079,Bumps,4.622717e-07
223,Z_Scratch,2.387858e-06
1140,Bumps,4.7081184e-07
1267,Bumps,5.4737774e-07
413,K_Scratch,1.235859e-06
1260,Bumps,5.0861087e-07
1699,Other_Faults,4.5083127e-07
958,Bumps,5.173959e-07
528,K_Scratch,1.3116328e-06
745,Stains,3.3962006e-06
41,Pastry,2.6159707e-05
630,K_Scratch,1.306771e-06
515,K_Scratch,1.3272306e-06
146,Pastry,2.5732706e-05
1659,Other_Faults,4.4906977e-07
1610,Other_Faults,4.5025806e-07
334,Z_Scratch,2.5253876e-06
1304,Other_Faults,4.5054884e-07
1690,Other_Faults,4.525923e-07
694,K_Scratch,1.3147964e-06
1859,Other_Faults,4.5221435e-07
1733,Other_Faults,4.5173115e-07
1605,Other_Faults,4.5111292e-07
1653,Other_Faults,4.5085102e-07
154,Pastry,9.436703e-05
1328,Other_Faults,4.5074523e-07
438,K_Scratch,1.2848916e-06
1380,Other_Faults,4.48409e-07
1939,Other_Faults,4.5084414e-07
1501,Other_Faults,4.5027866e-07
337,Z_Scratch,2.5903717e-06
506,K_Scratch,1.2651642e-06
781,Stains,3.2128955e-06
1333,Other_Faults,4.502855e-07
412,K_Scratch,1.2659367e-06
1286,Other_Faults,4.4804182e-07
1667,Other_Faults,4.4897982e-07
1253,Bumps,3.9299707e-07
1435,Other_Faults,4.4909288e-07
222,Z_Scratch,2.6539942e-06
895,Bumps,4.817043e-07
1307,Other_Faults,4.511818e-07
486,K_Scratch,1.2586153e-06
1924,Other_Faults,4.5103292e-07
1743,Other_Faults,4.5110133e-07
1088,Bumps,4.507577e-07
1012,Bumps,4.6101826e-07
535,K_Scratch,1.3102439e-06
1556,Other_Faults,4.5103423e-07
1820,Other_Faults,4.4967743e-07
1205,Bumps,4.6538574e-07
598,K_Scratch,1.314864e-06
185,Z_Scratch,2.8311767e-06
78,Pastry,8.0209255e-05
1837,Other_Faults,4.5013354e-07
662,K_Scratch,1.3253144e-06
991,Bumps,4.7490423e-07
1379,Other_Faults,4.4519746e-07
692,K_Scratch,1.2954026e-06
301,Z_Scratch,2.7808182e-06
1931,Other_Faults,4.5038217e-07
1454,Other_Faults,4.4946694e-07
1497,Other_Faults,4.5118222e-07
1682,Other_Faults,4.5137975e-07
279,Z_Scratch,2.4895046e-06
497,K_Scratch,1.2732036e-06
22,Pastry,8.425216e-05
766,Stains,3.3526728e-06
543,K_Scratch,1.3086516e-06
830,Dirtiness,8.037833e-05
446,K_Scratch,1.2712806e-06
130,Pastry,2.7353974e-05
646,K_Scratch,1.3125225e-06
1869,Other_Faults,4.5169796e-07
1674,Other_Faults,4.5074827e-07
592,K_Scratch,1.319108e-06
1749,Other_Faults,4.5115726e-07
1324,Other_Faults,4.5177683e-07
541,K_Scratch,1.2028669e-06
539,K_Scratch,1.2201849e-06
488,K_Scratch,1.2820592e-06
395,K_Scratch,1.2302652e-06
1264,Bumps,5.10092e-07
770,Stains,3.352983e-06
1620,Other_Faults,4.499653e-07
1676,Other_Faults,4.5268294e-07
1831,Other_Faults,4.508979e-07
1640,Other_Faults,4.4830253e-07
565,K_Scratch,1.3004232e-06
1464,Other_Faults,4.4818708e-07
365,K_Scratch,1.2999842e-06
853,Dirtiness,5.253859e-05
134,Pastry,7.466605e-05
1892,Other_Faults,4.491224e-07
401,K_Scratch,1.2834122e-06
404,K_Scratch,1.2599013e-06
1738,Other_Faults,4.4952264e-07
537,K_Scratch,1.3018489e-06
504,K_Scratch,1.3297279e-06
597,K_Scratch,1.320553e-06
1039,Bumps,4.443631e-07
382,K_Scratch,1.218687e-06
974,Bumps,4.3319068e-07
615,K_Scratch,1.3051407e-06
1665,Other_Faults,4.5020394e-07
1074,Bumps,6.2564266e-07
1799,Other_Faults,4.5108152e-07
534,K_Scratch,1.1991525e-06
1573,Other_Faults,4.520048e-07
1451,Other_Faults,4.5054026e-07
1149,Bumps,4.6264083e-07
431,K_Scratch,1.271437e-06
