anchor_index,anchor_label,weight
100,L,1.3082786e-05
406,L,4.530747e-06
471,L,4.117749e-06
221,R,2.8898816e-05
7,R,7.7716686e-05
612,L,4.48495e-06
611,L,4.3716154e-06
330,L,1.2015038e-05
275,L,0.0029022873
273,R,0.00010462522
98,R,6.175873e-05
300,L,1.4176994e-05
459,L,5.146053e-06
407,L,4.248793e-06
401,L,8.630247e-06
186,B,1.0118569e-06
373,R,3.8076436e-05
298,R,6.218093e-05
423,R,3.456052e-05
466,L,3.889371e-06
30,B,1.0127953e-06
194,R,0.0001064873
452,L,1.075862e-05
61,R,2.6650374e-05
123,R,0.000120857774
140,R,0.00010386608
49,R,0.000102851394
66,R,4.9222766e-05
348,R,3.909033e-05
293,R,6.252792e-05
386,R,1.75646e-05
164,R,0.0029232805
24,R,0.00012385547
424,R,9.8280856e-05
301,L,6.0102207e-06
94,R,7.107173e-05
11,R,0.00010491657
263,R,0.00014263116
364,B,1.0112433e-06
449,R,9.419319e-05
624,B,1.0119138e-06
414,R,0.000185162
381,B,1.0117257e-06
556,L,4.1215094e-06
86,R,2.4080948e-05
3,R,2.8565568e-05
605,L,8.571681e-06
581,L,5.3732574e-06
192,R,3.299587e-05
9,R,0.00020418892
454,L,1.0528829e-05
12,R,0.0045090094
168,R,4.423997e-05
232,L,9.510997e-06
557,L,3.906918e-06
97,R,0.00010486076
236,L,8.026412e-06
224,R,0.00016862826
76,L,9.9514355e-06
37,R,0.00077912264
56,R,1.3136446e-05
393,R,4.9852028e-05
470,L,9.442969e-06
480,L,1.3617133e-05
532,L,4.4365133e-06
335,L,6.407867e-06
206,L,7.848605e-06
36,R,8.9535846e-05
531,L,4.429035e-06
607,L,5.844955e-06
15,R,6.408201e-05
266,R,7.3864365e-05
436,L,3.326146e-06
559,L,3.1748148e-06
487,L,5.304492e-06
491,L,4.7254957e-06
533,L,3.2928235e-06
419,R,0.00026058592
412,R,4.63649e-05
259,R,0.00024367374
521,R,2.5325267e-05
343,R,1.904008e-05
502,L,4.3968653e-06
58,R,3.685975e-05
399,R,0.00017238435
204,L,7.24358e-06
379,R,1.7268372e-05
430,L,6.8886757e-06
371,L,5.654486e-06
201,L,1.0527443e-05
219,R,8.991569e-05
539,R,0.79656035
431,L,3.965681e-06
551,L,5.5576447e-06
464,L,4.90228e-06
247,R,5.9021593e-05
155,L,7.10282e-06
16,R,0.00012418689
572,B,1.0115125e-06
448,R,3.111451e-05
60,B,1.0122043e-06
303,L,4.417127e-06
80,L,7.1275254e-06
269,R,0.00029086156
576,L,1.036679e-05
262,R,9.911547e-05
64,R,0.0001630674
560,L,4.71992e-06
54,R,1.1082091e-05
541,L,2.85743e-06
537,L,3.0863616e-06
146,R,6.729995e-05
126,B,1.0121695e-06
289,R,0.0048888065
568,R,2.3321232e-05
341,L,4.916865e-06
357,L,1.0553498e-05
429,L,4.4074995e-06
244,R,0.0004946811
159,R,0.038148083
405,L,7.1702175e-06
250,L,9.3306935e-06
378,B,1.0119186e-06
593,L,3.649975e-06
563,L,2.9550083e-06
38,R,0.00013279366
344,R,9.9538505e-05
354,L,1.0460661e-05
196,R,3.035339e-05
327,L,1.4073001e-05
152,L,7.1296945e-06
432,L,3.887517e-06
130,B,1.0127026e-06
264,R,0.004432934
95,R,2.0372667e-05
28,R,1.0143936e-05
220,L,7.938624e-06
392,R,6.667237e-05
549,R,6.030589e-05
416,B,1.0112009e-06
181,L,5.02941e-06
326,L,1.4371179e-05
284,R,0.00020168
237,L,7.83598e-06
425,L,1.3645849e-05
50,L,4.30203e-06
527,L,1.2188185e-05
447,R,3.9624243e-05
618,L,3.6406511e-06
276,L,1.1400817e-05
118,R,5.1549265e-05
587,L,3.557194e-06
440,L,4.841361e-06
518,R,5.570037e-05
226,L,2.0168163e-05
499,R,5.9728773e-05
202,L,9.812207e-06
482,L,8.16772e-06
116,R,2.63312e-05
582,L,5.5393202e-06
90,B,1.0124361e-06
338,B,1.0118896e-06
528,L,5.1540637e-06
391,R,3.2586056e-05
148,R,6.348655e-05
209,R,4.0446666e-05
313,R,1.7537131e-05
272,R,9.936684e-05
500,L,7.39482e-06
197,R,4.8663594e-05
458,L,4.7096637e-06
71,R,0.00012816151
540,L,4.357775e-06
352,L,2.2329039e-05
113,R,1.8504541e-05
13,R,0.00016915819
346,L,5.343343e-06
239,R,7.1497845e-05
617,L,3.9713505e-06
446,L,3.2461971e-06
602,L,8.348608e-06
77,L,8.000871e-06
579,L,6.79767e-06
125,L,4.6120476e-06
599,R,1.9172658e-05
267,R,0.00013944875
513,R,0.00016148145
496,L,4.248894e-06
17,R,0.00015055775
474,R,6.3965505e-05
213,R,3.3383767e-05
127,R,1.7673767e-05
421,R,5.2011324e-05
488,L,4.701066e-06
160,L,5.4873985e-06
438,B,1.0108403e-06
613,L,3.6748609e-06
578,L,6.0355683e-06
254,R,3.955236e-05
179,L,3.880383e-06
200,L,0.000106982494
362,L,7.02983e-06
394,R,0.0004328414
235,L,2.2097393e-05
508,R,8.323459e-05
342,B,1.0116977e-06
119,R,0.00019657717
92,R,5.9965576e-05
323,R,5.2973515e-05
48,R,5.7819332e-05
283,R,0.0002433231
260,B,1.0117063e-06
520,B,1.0111411e-06
409,R,6.80449e-05
553,L,4.0286886e-06
347,R,2.6884974e-05
99,R,0.00023965104
376,L,4.849609e-06
619,L,3.5585822e-06
614,L,3.6739814e-06
229,L,7.664051e-06
89,R,8.417791e-05
555,L,6.245726e-06
277,L,1.14819095e-05
288,R,0.00014680384
372,B,1.0111064e-06
574,R,4.5395464e-05
535,L,4.9235464e-06
180,L,4.9407386e-06
20,R,0.0010139565
297,R,8.24441e-05
133,R,0.00013646443
280,L,7.3760148e-06
45,R,6.747836e-05
435,L,4.781399e-06
325,L,0.00032311017
328,L,7.237082e-06
225,L,0.13179275
390,B,1.0120413e-06
253,R,2.3689527e-05
122,R,0.00013563159
525,L,7.9169135e-05
374,R,0.00087953
22,R,0.0002421947
278,L,4.4129333e-06
538,R,0.00020661831
589,L,3.773211e-06
478,L,6.802281e-06
