anchor_index,anchor_label,weight
1438,unacc,6.356806e-05
1669,good,0.03539334
17,unacc,6.3644016e-05
1215,unacc,6.391865e-05
1398,unacc,6.3600266e-05
1032,unacc,6.378967e-05
553,unacc,6.341312e-05
382,unacc,6.3923035e-05
555,unacc,6.330602e-05
1380,unacc,6.371327e-05
1448,vgood,0.007755294
693,unacc,6.338763e-05
642,unacc,6.3415784e-05
949,unacc,6.359838e-05
1718,vgood,0.008776488
1471,acc,2.5682719e-05
499,unacc,6.358092e-05
89,unacc,6.384983e-05
80,unacc,6.370863e-05
176,unacc,6.3734056e-05
633,unacc,6.3520405e-05
1365,unacc,6.3714644e-05
803,acc,2.5332334e-05
967,acc,2.5263382e-05
1706,unacc,6.360894e-05
997,acc,2.542828e-05
112,unacc,6.3673244e-05
1574,unacc,6.3628446e-05
1466,unacc,6.3549705e-05
295,acc,2.526666e-05
299,unacc,6.408386e-05
486,unacc,6.40535e-05
759,unacc,6.372758e-05
657,unacc,6.353961e-05
1022,acc,2.5504929e-05
25,unacc,6.361355e-05
1063,unacc,6.335179e-05
745,acc,2.5373001e-05
1300,unacc,6.353588e-05
1116,unacc,6.345474e-05
353,unacc,6.3993604e-05
989,acc,2.5743533e-05
1147,acc,2.5522668e-05
1437,unacc,6.369065e-05
895,unacc,6.357364e-05
552,unacc,6.337884e-05
792,unacc,6.359845e-05
55,unacc,6.392035e-05
1195,unacc,6.3484644e-05
1189,unacc,6.343789e-05
688,unacc,6.343399e-05
368,acc,2.5398736e-05
328,unacc,6.3740285e-05
219,unacc,6.3818785e-05
1508,vgood,0.008311879
703,unacc,6.381936e-05
659,acc,2.5236557e-05
409,unacc,6.3809166e-05
1727,vgood,0.008924029
1640,unacc,6.3132684e-05
1422,unacc,6.343526e-05
865,unacc,6.3504805e-05
84,unacc,6.377443e-05
336,unacc,6.3625375e-05
1269,unacc,6.3815525e-05
708,unacc,6.37733e-05
531,unacc,6.345931e-05
651,unacc,6.3689855e-05
85,unacc,6.380384e-05
1220,unacc,6.365937e-05
838,unacc,6.365846e-05
122,unacc,6.3631574e-05
223,unacc,6.37178e-05
570,unacc,6.3723026e-05
1507,acc,2.5500722e-05
1617,unacc,6.3532854e-05
343,unacc,6.334884e-05
73,unacc,6.346618e-05
1418,acc,2.5686759e-05
1020,unacc,6.3418986e-05
441,unacc,6.3500906e-05
625,unacc,6.35537e-05
813,unacc,6.393748e-05
970,acc,2.5371792e-05
1371,unacc,6.368184e-05
1645,good,0.036570847
182,unacc,6.3697815e-05
1165,unacc,6.347432e-05
1298,unacc,6.35577e-05
1495,acc,2.5369081e-05
1041,unacc,6.3503474e-05
1209,unacc,6.355522e-05
1321,acc,2.5306183e-05
152,unacc,6.335207e-05
136,unacc,6.369824e-05
357,unacc,6.3875596e-05
1473,unacc,6.357734e-05
1313,acc,2.5560814e-05
1001,unacc,6.3637395e-05
1033,unacc,6.362641e-05
1550,good,0.015423875
1468,acc,2.547073e-05
1404,unacc,6.3739135e-05
590,acc,2.517641e-05
705,unacc,6.3888445e-05
495,unacc,6.372472e-05
320,acc,2.5134164e-05
878,acc,2.5465702e-05
1467,unacc,6.3604995e-05
270,unacc,6.4120664e-05
1541,unacc,6.381339e-05
1069,acc,2.556886e-05
601,unacc,6.3710024e-05
743,acc,2.5379753e-05
1603,acc,2.5585883e-05
641,acc,2.5414802e-05
1497,unacc,6.3665015e-05
824,acc,2.5485577e-05
754,acc,2.5319558e-05
934,acc,2.5463298e-05
1512,unacc,6.38688e-05
453,unacc,6.3456675e-05
389,acc,2.5407579e-05
537,unacc,6.3503954e-05
1578,unacc,6.3905536e-05
96,unacc,6.366914e-05
418,acc,2.5430996e-05
327,unacc,6.388312e-05
1535,good,0.027317189
1083,unacc,6.3569736e-05
1148,vgood,0.008146669
1025,acc,2.5610883e-05
394,acc,2.5486184e-05
1577,good,0.016435793
300,unacc,6.3730135e-05
899,unacc,6.351328e-05
668,unacc,6.3364765e-05
113,unacc,6.372928e-05
976,unacc,6.334923e-05
1472,vgood,0.008118203
171,unacc,6.3705345e-05
1428,unacc,6.351044e-05
1435,unacc,6.347719e-05
645,unacc,6.337938e-05
436,unacc,6.358814e-05
35,unacc,6.3806154e-05
217,unacc,6.3696294e-05
1268,vgood,0.008898244
275,unacc,6.400233e-05
1264,good,0.028324258
700,acc,2.5331634e-05
1070,acc,2.565557e-05
952,unacc,6.364835e-05
1455,unacc,6.3439125e-05
1013,acc,2.563136e-05
751,acc,2.533272e-05
184,unacc,6.3641644e-05
716,acc,2.5392657e-05
1291,good,0.03253535
1224,unacc,6.357143e-05
304,unacc,6.384815e-05
1565,vgood,0.008762452
1453,acc,2.5590107e-05
885,unacc,6.346031e-05
868,unacc,6.348289e-05
1636,good,0.025085406
1309,unacc,6.339365e-05
1463,unacc,6.366128e-05
963,unacc,6.345607e-05
1583,vgood,0.008957518
540,unacc,6.373998e-05
752,acc,2.523942e-05
793,unacc,6.341342e-05
567,unacc,6.383859e-05
483,unacc,6.3433414e-05
369,unacc,6.34775e-05
582,unacc,6.327089e-05
768,unacc,6.351856e-05
254,acc,2.538934e-05
699,unacc,6.328378e-05
462,unacc,6.379368e-05
1487,unacc,6.369392e-05
1104,unacc,6.3399486e-05
1700,vgood,0.009438956
1214,vgood,0.00847336
853,acc,2.547984e-05
474,unacc,6.3427484e-05
427,acc,2.519231e-05
1623,unacc,6.378635e-05
1183,acc,2.532487e-05
900,unacc,6.353543e-05
1322,acc,2.5543291e-05
396,unacc,6.359402e-05
