anchor_index,anchor_label,weight
514,1,1.588815e-06
6,2,4.9221235e-06
498,2,3.996178e-06
158,2,1.0183526e-06
433,2,7.544928e-06
14,2,2.002128e-06
215,2,2.69688e-06
515,2,1.4308264e-06
193,2,7.211346e-07
53,2,1.5014363e-06
392,2,8.7286253e-07
398,2,2.4025512e-06
379,2,3.4404784e-06
188,2,4.4004096e-06
340,2,6.9805634e-07
260,2,1.5002527e-06
516,2,8.782499e-07
352,2,8.9575974e-07
56,2,8.4883846e-05
462,2,6.5679124e-06
364,2,1.530432e-06
174,2,3.9750257e-06
165,2,2.0334203e-06
519,2,7.247355e-07
186,2,8.066102e-07
57,1,1.588862e-06
292,2,2.1538168e-05
382,2,4.0879164e-05
495,2,1.6251739e-05
197,2,1.202357e-06
488,2,4.6190326e-06
447,1,1.5897471e-06
369,2,1.9586716e-06
272,2,1.2914406e-05
185,2,2.614393e-05
261,2,7.870791e-06
520,2,1.6564888e-06
362,2,2.6958014e-05
41,2,2.6213324e-06
467,2,4.589766e-06
339,1,1.589356e-06
459,2,5.944866e-07
509,2,1.3885367e-06
450,2,5.1309444e-06
10,2,8.241123e-07
295,1,1.5899109e-06
481,2,6.8697057e-07
154,1,1.5890589e-06
249,2,3.0307815e-06
275,2,4.4960757e-06
126,2,5.792963e-06
510,2,5.5368244e-05
76,2,4.159122e-06
271,1,1.589003e-06
194,2,3.2976313e-06
423,2,8.275907e-06
98,2,1.2261129e-05
20,2,2.2080505e-06
511,2,0.00026203875
182,2,2.3761327e-06
273,2,3.3565998e-06
313,2,8.270684e-06
221,2,0.0014420802
32,2,1.0533412e-06
236,2,6.7844604e-07
61,2,2.0571738e-06
7,2,8.571202e-07
387,2,2.1969079e-06
290,2,0.99324304
60,2,7.124735e-07
5,2,9.060015e-07
385,2,8.7461734e-07
203,2,1.7069914e-06
70,2,1.2393768e-06
388,2,8.6555876e-05
100,2,8.207264e-07
288,2,1.4488202e-05
141,2,3.4824782e-06
264,2,2.8672855e-05
370,2,1.4893557e-06
531,2,5.4297427e-05
517,2,6.7856445e-07
108,1,1.5891166e-06
440,2,1.1192828e-05
380,2,2.7197873e-06
270,2,2.2582024e-06
178,2,6.2137354e-07
94,1,1.5898214e-06
343,2,6.7173687e-07
85,1,1.5891014e-06
408,2,1.842657e-06
179,2,7.999638e-07
474,2,1.1009232e-06
328,2,7.3944983e-07
256,2,1.483584e-05
245,2,1.0499734e-06
528,2,2.7749913e-06
55,2,1.222438e-06
235,2,4.5896913e-06
523,2,3.182496e-06
476,2,4.9361224e-06
276,2,0.0007004
461,2,9.1436224e-05
437,2,0.00016003512
8,2,1.0221861e-06
173,2,6.6019965e-07
117,2,0.00013232754
457,2,8.682742e-06
223,2,1.5924815e-06
19,2,3.6417605e-05
231,2,1.5748234e-06
333,2,5.8368214e-06
494,2,8.7269774e-07
120,2,2.723203e-06
81,2,8.388811e-07
180,2,8.67258e-06
389,2,4.8929383e-06
71,2,0.0011655851
410,2,3.9872757e-05
489,2,4.2856705e-06
268,2,8.642081e-06
130,2,1.3235668e-06
384,2,2.2182744e-06
518,2,2.2459346e-06
112,2,4.140423e-06
127,2,0.00071989605
258,2,9.2073526e-05
451,2,5.2600953e-06
16,2,9.130112e-06
304,1,1.5890043e-06
365,1,1.5888817e-06
536,1,1.5876986e-06
122,2,5.624073e-06
354,2,1.7302214e-05
172,2,1.1111854e-06
347,2,7.3254982e-06
238,2,6.2821925e-07
2,2,3.7311402e-06
307,2,1.466871e-06
205,1,1.5897381e-06
218,2,8.2393075e-07
115,2,9.596828e-07
279,2,1.3204565e-06
329,2,3.1139277e-06
468,2,6.3593466e-06
320,2,0.00011202712
87,2,7.8269466e-07
43,1,1.589162e-06
441,2,6.0662674e-06
493,2,7.245037e-06
486,2,6.960381e-07
484,2,6.6407557e-07
314,2,2.1262245e-05
397,2,2.985584e-06
169,2,4.4942963e-06
334,2,9.46795e-07
311,2,1.6727082e-06
191,2,7.2237975e-07
442,2,6.8430796e-07
480,2,1.8333318e-06
147,2,2.17539e-06
315,1,1.5883044e-06
83,2,5.954325e-07
438,2,6.3935124e-07
65,2,6.030858e-07
348,2,8.084712e-06
341,2,8.899933e-07
316,2,1.1249497e-06
162,2,7.9854533e-07
109,2,1.2818746e-05
512,2,8.437224e-07
214,2,1.780456e-06
159,2,1.0725606e-06
96,2,4.1590188e-06
230,2,7.344248e-07
208,2,1.6895638e-05
36,2,1.3809802e-06
137,2,1.0412164e-06
149,2,7.748769e-07
255,2,3.0480574e-06
135,2,6.3744046e-06
411,2,2.7206446e-05
244,2,8.7641965e-06
101,2,7.0747393e-07
17,2,4.8552614e-05
366,2,7.437598e-07
50,2,5.0494173e-06
263,2,2.239203e-05
452,2,6.072887e-05
116,1,1.5897501e-06
220,2,9.210974e-06
507,1,1.5894788e-06
132,2,2.014614e-06
346,2,1.4866991e-06
59,2,1.0981422e-06
342,2,5.1224665e-06
161,2,9.529131e-07
250,2,1.4101904e-06
39,2,8.984085e-07
485,2,1.4661543e-05
79,2,3.8823462e-05
233,2,1.3390697e-05
521,2,6.763923e-07
104,2,1.9398582e-05
448,2,0.0005228166
192,2,6.2249132e-06
82,2,1.7029865e-06
381,2,4.515102e-06
69,2,9.4866414e-07
121,2,3.973388e-06
22,2,1.2093951e-06
201,2,2.9802616e-06
357,2,1.4390124e-06
399,2,1.1258855e-06
297,2,4.6918926e-06
306,2,9.491769e-06
