anchor_index,anchor_label,weight
2772,2,1.1916882e-06
4954,3,7.488678e-06
5385,3,1.1398481e-05
2126,6,5.6635905e-08
5602,4,8.8278546e-07
1095,2,8.9448196e-07
715,1,1.0141165e-06
5798,1,4.752008e-07
2969,3,5.610317e-06
5219,2,7.7345953e-07
4771,6,5.7035543e-08
5752,6,5.7208013e-08
4816,1,4.223542e-07
224,2,7.0044376e-07
476,6,5.711632e-08
3251,3,1.958474e-06
2735,1,6.3149423e-07
4333,1,8.4691084e-07
970,6,5.7124275e-08
3206,6,5.6944994e-08
4080,3,4.4448143e-06
6103,6,5.731816e-08
5195,3,3.365306e-06
451,6,5.7101886e-08
2712,5,1.7968198e-06
2557,5,2.9918695e-06
1884,6,5.7127487e-08
50,3,7.356703e-06
4955,6,5.6625538e-08
4071,1,8.742781e-07
28,5,9.943543e-06
5861,6,5.7084357e-08
4740,6,5.7292418e-08
1380,6,5.716531e-08
2898,6,5.731379e-08
3567,3,0.00015733887
5681,5,1.1243616e-05
4332,1,4.0679274e-07
1463,6,5.6814102e-08
2222,1,5.6596247e-07
779,3,2.6593189e-06
3427,6,5.732352e-08
2294,6,5.7129558e-08
4794,6,5.7137456e-08
95,3,7.016991e-06
739,3,2.6808996e-06
5729,2,8.397754e-07
54,3,8.236344e-06
2354,5,4.4760627e-06
991,6,5.7483923e-08
2007,1,8.1056237e-07
1514,6,5.6889412e-08
501,6,5.712825e-08
1792,1,2.7943713e-07
5637,6,5.701667e-08
5017,6,5.7418173e-08
791,1,6.1204474e-07
4156,2,1.5193394e-06
1443,6,5.7088275e-08
3397,4,5.388391e-06
5532,6,5.7094752e-08
2623,4,9.2617705e-07
1510,6,5.6834317e-08
5386,6,5.7054965e-08
1640,6,5.7430004e-08
5620,6,5.707216e-08
2253,5,1.0789384e-05
1059,6,5.7100635e-08
2567,1,5.674379e-07
3568,3,2.6786838e-06
2214,2,1.1065126e-06
2093,1,3.8254825e-07
1368,6,5.714029e-08
4619,6,5.7003515e-08
4788,4,4.839683e-07
6058,2,8.665558e-07
2910,3,5.3950084e-06
462,1,5.836392e-07
2974,4,3.6896804e-06
5177,1,4.4750146e-07
207,5,3.424144e-05
846,3,7.953689e-06
5741,5,5.804043e-05
3277,6,5.7059264e-08
5428,6,5.716651e-08
1973,1,2.9880013e-07
1136,6,5.7156967e-08
154,4,1.3752326e-05
4,6,5.693419e-08
1995,6,5.7050666e-08
4973,6,5.7535583e-08
3827,6,5.7131356e-08
5116,1,4.537309e-07
27,6,5.7133864e-08
4339,6,5.683491e-08
6003,1,8.8914004e-07
4358,1,6.280846e-07
364,6,5.7167437e-08
2892,4,2.789737e-06
975,6,5.705295e-08
2108,1,6.6202e-07
4617,5,1.3024775e-05
4400,5,6.2496056e-06
468,6,5.7021133e-08
5714,6,5.7056596e-08
3718,1,1.1594007e-06
644,2,2.0731347e-06
5090,6,5.6804513e-08
1835,4,2.3754355e-06
1453,6,5.716182e-08
4975,5,2.0250152e-05
1721,5,2.2620502e-06
1437,6,5.7128958e-08
3477,3,4.1709714e-06
4194,6,5.7140344e-08
5955,3,3.9011007e-05
3056,6,5.7124108e-08
6051,2,8.092455e-07
410,6,5.698884e-08
6029,6,5.7256972e-08
5438,6,5.7126016e-08
3199,1,5.256027e-07
3572,1,6.3043996e-07
4186,2,1.5462767e-06
4320,5,2.173664e-05
94,3,5.7084085e-06
2389,5,8.902808e-06
4429,5,8.817577e-06
4303,6,5.7104444e-08
3513,6,5.753668e-08
4742,1,6.2915524e-07
3121,3,5.752064e-05
3255,5,4.7829435e-05
4447,3,1.3094484e-05
3506,6,5.7098294e-08
2757,1,6.2447407e-07
2493,5,4.6235286e-06
4719,6,5.712291e-08
4820,6,5.6973732e-08
1859,6,5.6959227e-08
3551,6,5.7075265e-08
1814,1,3.044564e-07
5746,6,5.703103e-08
5197,6,5.7296027e-08
2654,4,1.866924e-06
2523,6,5.744654e-08
5033,2,1.1017321e-06
2295,3,3.8448346e-05
1849,2,5.221539e-07
2041,6,5.7198573e-08
2917,3,4.524025e-06
3586,6,5.712155e-08
78,4,0.48214823
2673,1,7.2379356e-07
5004,1,7.258361e-07
1056,5,1.7210536e-05
4242,6,5.6974763e-08
4855,4,2.0074665e-06
1968,6,5.708909e-08
310,3,1.0383919e-05
1655,6,5.7408208e-08
2017,6,5.6987535e-08
1476,6,5.681427e-08
3372,2,1.1097485e-06
1744,1,2.9971227e-07
1967,6,5.7105265e-08
4791,2,7.6724206e-07
4315,1,3.7464642e-07
1960,5,2.0243267e-06
4821,6,5.712389e-08
1457,6,5.701629e-08
4082,6,5.714754e-08
3012,6,5.7061655e-08
347,6,5.7176432e-08
5685,1,4.920292e-07
5806,1,1.635148e-06
3913,6,5.6856653e-08
4438,6,5.7281166e-08
1917,6,5.7137296e-08
1232,3,7.723064e-06
3223,6,5.7110437e-08
3036,1,8.6603285e-07
238,1,7.812376e-07
2397,5,1.0658072e-05
2065,6,5.722891e-08
4583,3,2.3460643e-06
1296,5,0.00046134338
4609,6,5.6898692e-08
3345,6,5.7093175e-08
1412,4,4.7263907e-07
3370,2,8.8546756e-07
3252,1,6.312937e-07
5648,6,5.658084e-08
5964,6,5.7131302e-08
1115,3,5.3111135e-06
912,3,2.9165042e-06
372,4,5.6549343e-06
253,1,5.0544736e-07
1619,1,6.296342e-07
2788,1,6.3879673e-07
3766,1,5.008902e-07
1097,4,3.5676449e-06
2043,6,5.7153862e-08
5604,6,5.71688e-08
2800,2,1.1931688e-06
2588,5,3.097162e-06
137,4,6.073791e-07
2071,6,5.7169725e-08
4319,6,5.7112235e-08
966,6,5.706302e-08
4837,4,7.895673e-07
736,2,6.8405166e-07
549,6,5.706291e-08
5906,2,6.769842e-07
4936,6,5.741883e-08
1574,1,8.9678815e-07
2572,5,2.978208e-06
1288,1,1.0088391e-06
4940,2,8.0731223e-07
4237,1,6.3128766e-07
5933,6,5.7131246e-08
19,6,5.690189e-08
