anchor_index,anchor_label,weight
1347,negative,4.722292e-08
3349,negative,4.7545388e-08
35,negative,2.3156475e-05
3227,negative,1.1632918e-07
2832,negative,1.615348e-07
1373,negative,1.2725431e-07
2418,sick,1.1105153e-07
232,negative,4.9048776e-07
2661,negative,6.384778e-08
818,negative,3.6844018e-08
616,negative,4.820088e-07
2160,negative,1.069349e-07
1236,negative,4.577644e-06
909,negative,7.0481626e-08
759,negative,3.5421786e-07
935,negative,4.684964e-07
847,negative,6.992846e-08
820,negative,4.9140517e-06
1768,negative,7.6246033e-06
1134,negative,4.781624e-07
2394,negative,3.671494e-08
2822,negative,1.7493414e-07
2770,negative,7.155946e-08
1505,negative,1.1664896e-06
2687,negative,4.6351985e-07
449,negative,1.954519e-07
2360,negative,1.1199855e-05
1500,sick,1.1499244e-07
1925,negative,0.00050913944
3683,negative,6.811228e-07
915,negative,7.212099e-08
3555,negative,5.0922143e-08
1586,negative,3.7358706e-07
1885,negative,6.6783755e-08
2344,negative,6.12216e-08
1883,negative,2.9183414e-07
990,negative,1.2372577e-07
1711,negative,5.8415526e-07
971,negative,1.08522485e-07
2377,negative,4.314103e-05
3447,negative,6.4939506e-08
2146,negative,4.3056378e-08
1564,sick,1.3453815e-07
2250,negative,4.8121347e-08
2169,negative,9.942864e-07
1915,negative,3.4980576e-07
327,negative,4.770765e-07
390,negative,1.4710627e-06
260,negative,1.759162e-07
495,negative,2.565822e-07
3487,negative,5.284562e-08
944,negative,5.9430753e-05
2713,negative,2.5293042e-07
3246,negative,3.7273935e-07
705,negative,5.8308217e-07
1829,negative,5.1495775e-08
436,negative,7.090501e-08
2208,negative,1.0286924e-06
906,negative,6.176429e-08
2431,negative,3.2299246e-05
2694,negative,5.0887263e-07
593,negative,5.645476e-08
2409,negative,4.4201947e-08
2440,sick,1.2027532e-07
2271,negative,5.7281703e-08
2336,negative,7.590949e-07
3103,negative,5.1369204e-07
3269,negative,5.0591247e-08
155,negative,5.930056e-08
2930,sick,1.1979306e-07
902,negative,5.1497835e-08
2611,negative,1.5345366e-07
1582,negative,5.258009e-08
1411,negative,5.2807835e-08
638,negative,2.3945876e-07
3140,negative,1.9681153e-07
