anchor_index,anchor_label,weight
3743,1,1.8197072e-06
5002,4,1.3451779e-07
3649,2,8.475918e-06
5015,4,1.3453011e-07
3723,2,1.1721063e-05
5155,1,6.807983e-05
4036,1,5.3727717e-06
1617,1,3.3460474e-06
1839,1,2.5324052e-06
851,2,2.186324e-06
1174,2,1.7561126e-06
401,1,2.1460332e-06
1528,2,1.1868419e-06
1919,2,1.5343475e-06
1406,1,8.505992e-06
141,1,3.4566701e-06
4115,1,1.9593056e-06
2638,1,2.772569e-06
1551,2,3.0345711e-06
2646,1,5.8247733e-06
1667,4,1.344511e-07
4334,1,4.902617e-06
1981,1,2.2432507e-06
910,2,1.1831128e-06
4380,4,1.3453203e-07
3244,2,2.9621954e-06
5092,2,2.4296893e-05
4348,1,7.716652e-06
3984,2,0.126437
4782,1,2.0651275e-06
66,1,0.0014357818
3598,3,1.2364193e-07
3442,2,1.9019947e-06
1677,3,1.2379414e-07
1295,2,3.6608628e-06
5229,1,4.0386294e-06
1872,2,2.0526727e-06
2794,1,2.7439887e-06
1577,2,4.133346e-06
3415,2,1.6783075e-06
4153,2,1.0693783e-06
1327,2,1.7262192e-06
1862,2,2.8498296e-06
1029,1,3.1200966e-06
5004,4,1.3447367e-07
3581,1,6.2462636e-06
3781,1,3.17031e-06
1909,1,3.4256614e-06
3929,1,2.0539105e-06
3207,1,6.5300096e-06
1229,2,6.80713e-06
5195,2,7.052959e-06
2340,1,2.5097618e-06
1908,1,3.2313287e-06
3097,1,2.6726086e-06
1755,2,1.940102e-06
4018,1,1.0219472e-05
4708,1,3.3529632e-06
3653,2,2.7516278e-06
3067,1,2.7158899e-06
3910,2,2.644026e-05
4097,4,1.3453717e-07
29,4,1.3452292e-07
2550,1,9.279582e-06
3824,2,1.4487439e-06
3291,1,1.5212352e-05
2582,1,3.0946499e-06
2393,1,2.50913e-06
5390,2,4.413305e-06
2741,2,2.7435833e-06
3976,1,6.6293804e-05
1537,2,2.4641026e-06
1077,2,3.3507863e-06
1120,4,1.3448457e-07
923,1,1.9627955e-06
4610,2,4.980136e-06
4575,2,2.4051928e-06
4078,4,1.3450034e-07
4768,4,1.344711e-07
2539,1,3.5606804e-06
3345,2,5.6788112e-06
2776,1,1.8304165e-06
4645,1,2.5833401e-06
424,1,2.148216e-06
3692,2,1.5621088e-05
3927,1,2.8145819e-06
735,1,7.63796e-06
1224,2,1.4922166e-06
2892,1,3.4198379e-06
3330,2,1.2197436e-06
691,1,5.6482836e-06
1168,2,1.6861767e-06
4388,4,1.3451728e-07
351,2,3.553184e-06
5217,4,1.3440494e-07
1800,1,2.4115689e-06
1255,1,1.7735127e-05
2887,1,2.7242738e-06
2100,2,2.453478e-06
3142,2,3.6342015e-05
4578,2,2.2628917e-06
4026,1,2.7868455e-05
4830,1,2.3057746e-06
5137,1,3.3754889e-06
