anchor_index,anchor_label,weight
1841,1,3.8085732e-06
4327,1,2.8209406e-06
2270,1,2.9311163e-06
342,1,3.3045906e-06
1222,1,3.1070147e-06
1335,1,2.9830896e-06
1384,1,3.056652e-06
3156,1,9.638369e-06
4187,1,3.714787e-05
166,1,3.667776e-06
4217,1,4.6824057e-06
3043,1,3.9368333e-06
3270,1,2.7868264e-06
3727,1,3.5071837e-06
2651,1,3.6577544e-06
826,1,7.6155234e-06
3221,1,2.607352e-06
4518,2,4.8115297e-05
4483,1,5.3667304e-06
1629,1,3.4300328e-06
2972,1,2.0798438e-05
3426,1,3.593653e-06
1828,1,3.823735e-06
1194,1,4.354483e-06
1720,1,3.5813327e-06
28,2,5.7460897e-05
3930,1,3.788013e-06
2411,1,3.0128265e-06
4201,1,3.0057868e-06
2099,1,4.2552665e-06
592,1,3.045444e-06
2328,1,3.3183599e-06
3570,1,3.1606328e-06
4240,1,5.100013e-06
2104,1,2.9754806e-06
801,1,3.3409813e-06
2374,1,4.130085e-06
2930,1,3.380496e-06
1593,1,3.8925714e-06
2858,1,3.3475324e-06
338,1,3.361641e-06
2639,1,4.91932e-06
1234,1,4.405459e-06
276,1,3.3704528e-06
2781,1,3.5053781e-06
3924,1,3.5226133e-06
3871,1,7.872522e-06
2087,1,2.5452673e-06
376,1,3.5329147e-06
2917,1,5.1445045e-06
1831,1,4.01825e-06
1111,1,3.3502215e-06
3781,1,4.2836095e-06
2947,1,2.9905127e-06
1055,1,4.5319853e-06
423,1,4.1435296e-06
42,2,6.4876935e-05
1600,1,3.1517413e-06
2358,1,3.8759244e-06
2263,1,4.240302e-06
2763,1,5.0148524e-06
113,1,2.9663574e-06
2351,1,3.6941851e-06
2248,1,4.012012e-06
1182,1,5.2135774e-06
590,1,3.975058e-06
3731,1,3.4872426e-06
4095,1,2.8250113e-06
3680,1,3.7627055e-06
3886,1,2.9724602e-06
3272,1,5.174362e-06
1012,1,1.7540888e-05
3674,1,7.040817e-06
1242,1,3.1908187e-06
917,1,3.7913833e-05
653,1,4.4347603e-06
908,1,3.8827575e-06
230,1,4.1754784e-06
2064,1,5.4153616e-06
4834,1,9.841319e-06
962,1,1.2015628e-05
4290,1,2.9116059e-06
857,1,1.10101355e-05
3623,1,3.6908539e-06
1470,1,3.5177118e-06
2401,1,4.216466e-06
3709,1,4.5434053e-06
3753,1,3.8535927e-06
4208,1,5.239621e-06
4590,2,6.5367814e-05
2649,1,3.575136e-06
1201,1,7.704338e-06
218,1,3.2036187e-06
2886,1,3.1583365e-06
67,2,5.0432573e-05
3388,1,2.6937198e-06
3878,1,3.593814e-06
4742,1,3.3041622e-06
4738,1,3.676696e-06
3662,1,3.2265502e-06
