checkpoint_name,checkpoint_path,checkpoint_sha256,dataset_key,dataset_name,resolved_dataset_id,resolved_task_id,dataset_version,input_spec,seed,test_size,stratified,n_train,n_test,case_id,condition,param_type,param_value,applies_to,p_cell,rotation_seed,rotation_cols_hash,acc,f1_macro,nll,ece,n_estimators,batch_size,use_hierarchical,device
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,clean_none_0_0_none,clean,none,0.0,none,,,,0.8504452861091207,0.7754342800909024,0.3151750306368654,0.010395516806461993,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_10_0_both,uninformative_features_shuffled,n_add,10.0,both,,,,0.8449175964786569,0.7646114886021733,0.33075493455385474,0.012729744838465062,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_50_0_both,uninformative_features_shuffled,n_add,50.0,both,,,,0.8221926502200839,0.7034276651224023,0.37494964698649064,0.016865974183287086,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,cell_outliers_tabpfn_outlier_factor_10_0_both,cell_outliers_tabpfn,outlier_factor,10.0,both,0.02,,,0.8501381922407616,0.7748531221230512,0.31974439045882724,0.010734317142602959,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,cell_outliers_tabpfn_outlier_factor_50_0_both,cell_outliers_tabpfn,outlier_factor,50.0,both,0.02,,,0.8487050875217524,0.7736641676569571,0.3207298950998811,0.011553648160270031,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,icl_noisy_demo_labels_frac_0_1_train,icl_noisy_demo_labels,frac,0.1,train,,,,0.8495240045040434,0.7746506876400545,0.347408348420966,0.05576096137869089,32,8,True,cuda
SA,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,feature_rotation_kdim_both_k_subspace_6_0_both,feature_rotation_kdim_both,k_subspace,6.0,both,,279830.0,3d847a3d28e8,0.8555635172484389,0.7836570827509843,0.309371770261796,0.014972432570760563,32,8,True,cuda
EA-ICL,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,clean_none_0_0_none,clean,none,0.0,none,,,,0.8475790766711024,0.7747818292212862,0.3201469869679747,0.009549131039795069,32,8,True,cuda
EA-ICL,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_10_0_both,uninformative_features_shuffled,n_add,10.0,both,,,,0.8436892210052206,0.7615321366028929,0.3342225970922332,0.011235269477343225,32,8,True,cuda
EA-ICL,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_50_0_both,uninformative_features_shuffled,n_add,50.0,both,,,,0.8165625959668339,0.68616553491043,0.3842799477466582,0.010775809309257785,32,8,True,cuda
