checkpoint_name,checkpoint_path,checkpoint_sha256,variant,checkpoint,dataset,dataset_key,dataset_name,resolved_dataset_id,resolved_task_id,dataset_version,input_spec,seed,test_size,stratified,n_train,n_test,case_id,case,severity,scope,condition,param_type,param_value,applies_to,p_cell,rotation_seed,rotation_cols_hash,acc,f1_macro,nll,ece,brier,collapse_top1,d_eff,cos_mean,cos_p95,neff_mean,neff_std,purity_top1,purity_top5,n_estimators,batch_size,use_hierarchical,device
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,clean_none_0_0_none,clean,0.0,none,clean,none,0.0,none,,,,0.8503429214863343,0.7753204884974259,0.3151733250865154,0.010634881585656392,0.20219267532078983,0.19778989425894294,10.509941396766282,0.593263816804976,0.8225165045348277,10079.955355912447,5923.310503274323,0.18896484375,0.1876953125,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_10_0_both,uninformative_both_n10,10.0,train_and_test,uninformative_features_shuffled,n_add,10.0,both,,,,0.8448152318558706,0.7644988571126166,0.3307543634991395,0.012804369548653513,0.21228993614562464,0.12474988258742727,15.18514115528684,0.6383673515163489,0.798065816001513,8687.156470239162,5108.555447034063,0.18603515625,0.18515625,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_50_0_both,uninformative_both_n50,50.0,train_and_test,uninformative_features_shuffled,n_add,50.0,both,,,,0.8220902855972976,0.7031927838730917,0.37494987056913975,0.017008828291911037,0.24172775369199856,0.0739799857982003,26.024021249649714,0.6351950472421288,0.7666871277855343,12264.483819067478,6358.189573326622,0.2451171875,0.23378906249999998,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,cell_outliers_tabpfn_outlier_factor_10_0_both,outliers_both_fac10,10.0,train_and_test,cell_outliers_tabpfn,outlier_factor,10.0,both,0.02,,,0.8501381922407616,0.7748531221230512,0.3197418626669555,0.01061044569476283,0.20460971924885454,0.15078197609594027,11.537082520493342,0.6330964357903496,0.840820978366507,10961.460469603539,6287.766484269154,0.17724609375,0.1806640625,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,cell_outliers_tabpfn_outlier_factor_50_0_both,outliers_both_fac50,50.0,train_and_test,cell_outliers_tabpfn,outlier_factor,50.0,both,0.02,,,0.8487050875217524,0.7736641676569571,0.32072904299504623,0.011703687084405716,0.20589994345177087,0.20317715058974747,9.920224480142432,0.5714879644053137,0.8268221471920216,10338.431368529797,6206.296136723653,0.23876953125,0.2314453125,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,icl_noisy_demo_labels_frac_0_1_train,label_noise_train_frac0.1,0.1,train_only,icl_noisy_demo_labels,frac,0.1,train,,,,0.8494216398812571,0.7744575256744847,0.34740983322519936,0.055881420126565585,0.21181069152088092,0.19778989425894294,10.509941396766282,0.593263816804976,0.8225165045348277,18082.935781419277,7541.129878277474,0.19775390625,0.20478515625000002,32,8,True,cuda
SA,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_sa/step-1000.ckpt,251f8c768531710493e0ba289c70adbc191c3734ef67ab8e4136a7fb90bc54bf,SA,SA,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,feature_rotation_kdim_both_k_subspace_6_0_both,rotation_both_k6,6.0,train_and_test,feature_rotation_kdim_both,k_subspace,6.0,both,,279830.0,3d847a3d28e8,0.8555635172484389,0.7836570827509843,0.30937247697216014,0.014877184830420642,0.19782821641729484,0.15013483040810904,12.0484549712905,0.6130774753678971,0.8316365175689312,10403.209134340286,6208.751268310908,0.17431640625,0.17451171875,32,8,True,cuda
EA-ICL,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,EA,EA-ICL,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,clean_none_0_0_none,clean,0.0,none,clean,none,0.0,none,,,,0.8476814412938888,0.7749717822124281,0.32014656441296807,0.009392349572835284,0.20587624336676955,0.1978190447866364,9.6952976317408,0.577215695784286,0.8198400859036352,22627.00086927414,5741.600811702271,0.22119140625,0.22353515624999998,32,8,True,cuda
EA-ICL,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,EA,EA-ICL,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_10_0_both,uninformative_both_n10,10.0,train_and_test,uninformative_features_shuffled,n_add,10.0,both,,,,0.8436892210052206,0.7615321366028929,0.33422367589491203,0.011235598129630164,0.21569408468298282,0.12162297283927595,15.398972390985334,0.5893835804490308,0.776203704485843,21408.617222070694,5542.527840275712,0.208984375,0.21083984375,32,8,True,cuda
EA-ICL,/workspace/tabicl-lfs/checkpoints/mini_tabicl_stage2_ea_icl_only/step-1000.ckpt,de5d8a3deb6c6faaae22069487ca4a9d38e6e7663e22b80fe8123010b6370a2e,EA,EA-ICL,openml_1590_v2__adult,openml_1590_v2__adult,adult,1590,7592,2,7592,42,0.2,True,39073,9769,uninformative_features_shuffled_n_add_50_0_both,uninformative_both_n50,50.0,train_and_test,uninformative_features_shuffled,n_add,50.0,both,,,,0.8165625959668339,0.68616553491043,0.38428261276876746,0.010776588965345741,0.24905753415232518,0.11146271775588448,17.15455341444436,0.5904695953612046,0.7626283797161816,24050.29837679863,6516.442802135364,0.24951171875,0.24833984375,32,8,True,cuda
