episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,1.444785,0.684589,0.600000,0.681732,0.513901,0.533482,2,9,138,98,0,3,4000,0.5,False,False,0.0,4,1,0.663265
2,1.434599,0.674211,0.694656,0.618993,0.505868,0.512455,2,14,212,81,0,3,4000,0.5,False,False,0.0,4,1,0.654321
3,1.421156,0.689009,0.558140,0.696960,0.511633,0.529006,2,14,132,89,0,3,4000,0.5,False,False,0.0,4,1,0.629213
4,1.415131,0.675854,0.682353,0.625817,0.500562,0.587412,2,12,335,250,0,3,4000,0.5,False,False,0.0,4,1,0.7
5,1.413400,0.680249,0.632558,0.664766,0.512477,0.598781,2,15,305,90,0,3,4000,0.5,False,False,0.0,4,1,0.688889
6,1.412621,0.691656,0.613636,0.681624,0.500512,0.488867,2,12,243,155,0,3,4000,0.5,False,False,0.0,4,1,0.529032
7,1.407451,0.692610,0.639344,0.690610,0.504906,0.506789,2,10,277,216,0,3,4000,0.5,False,False,0.0,4,1,0.50463
8,1.405213,0.689874,0.618321,0.670061,0.501776,0.509697,2,12,307,176,0,3,4000,0.5,False,False,0.0,4,1,0.568182
9,1.337332,0.688867,0.589286,0.677120,0.510128,0.519300,2,11,180,68,0,3,4000,0.5,False,False,0.0,4,1,0.588235
10,1.330608,0.687002,0.562500,0.708717,0.518895,0.451387,2,15,130,18,0,3,4000,0.5,False,False,0.0,4,1,0.666667
11,1.480427,0.679936,0.590909,0.678878,0.484849,0.692283,2,11,247,181,0,3,4000,0.5,False,False,0.0,4,1,0.624309
12,1.315545,0.696684,0.457014,0.703581,0.501501,0.495502,2,10,282,61,0,3,4000,0.5,False,False,0.0,4,1,0.540984
13,1.575676,0.670594,0.669811,0.647780,0.481093,0.478448,2,9,328,222,0,3,4000,0.5,False,False,0.0,4,1,0.59009
14,1.344019,0.993805,0.556818,0.983487,0.482165,0.605603,3,10,135,47,0,3,4000,0.5,False,False,0.0,4,1,0.531915
15,1.764589,1.088742,0.405263,1.087827,0.505248,0.561422,3,15,308,118,0,3,4000,0.5,False,False,0.0,4,1,0.389831
16,1.760876,0.683693,0.572193,0.683935,0.493640,0.491662,2,16,311,124,0,3,4000,0.5,False,False,0.0,4,1,0.596774
17,1.828479,0.695363,0.520468,0.706950,0.504263,0.496723,2,14,333,162,0,3,4000,0.5,False,False,0.0,4,1,0.604938
18,1.669442,0.686568,0.559322,0.688702,0.508627,0.506917,2,16,217,158,0,3,4000,0.5,False,False,0.0,4,1,0.594937
19,1.647220,0.830832,0.759124,0.761588,0.507707,0.548481,3,14,372,98,0,3,4000,0.5,False,False,0.0,4,1,0.632653
20,1.620899,0.704433,0.472222,0.738137,0.501103,0.506714,2,15,364,220,0,3,4000,0.5,False,False,0.0,4,1,0.622727
21,1.604375,0.675066,0.609756,0.669872,0.495429,0.527128,2,15,212,171,0,3,4000,0.5,False,False,0.0,4,1,0.631579
22,1.629486,0.662346,0.715596,0.630260,0.503738,0.487493,2,16,278,169,0,3,4000,0.5,False,False,0.0,4,1,0.591716
23,1.345497,0.631940,0.708075,0.605203,0.505088,0.527542,2,10,199,38,0,3,4000,0.5,False,False,0.0,4,1,0.684211
24,1.675392,0.943108,0.616541,0.940024,0.497852,0.579293,3,12,261,128,0,3,4000,0.5,False,False,0.0,4,1,0.65625
25,1.372831,0.661950,0.651163,0.649733,0.482186,0.506731,2,16,130,44,0,3,4000,0.5,False,False,0.0,4,1,0.613636
26,1.891855,0.683062,0.605634,0.677665,0.504651,0.570515,2,13,259,117,0,3,4000,0.5,False,False,0.0,4,1,0.547009
27,1.814809,0.691584,0.550000,0.690292,0.508812,0.533123,2,13,156,116,0,3,4000,0.5,False,False,0.0,4,1,0.517241
28,1.812838,0.952439,0.519231,0.976595,0.510735,0.528046,3,11,274,222,0,3,4000,0.5,False,False,0.0,4,1,0.644144
29,1.722140,1.059027,0.420139,1.063847,0.512695,0.516763,3,14,371,83,0,3,4000,0.5,False,False,0.0,4,1,0.481928
30,1.670172,0.690802,0.536585,0.696730,0.495701,0.498289,2,12,313,272,0,3,4000,0.5,False,False,0.0,4,1,0.591912
31,1.643028,0.681870,0.603865,0.672645,0.492847,0.510542,2,13,314,107,0,3,4000,0.5,False,False,0.0,4,1,0.579439
32,1.741569,0.681217,0.578231,0.694813,0.475492,0.504049,2,10,273,126,0,3,4000,0.5,False,False,0.0,4,1,0.65873
33,1.600808,1.030485,0.409639,1.027369,0.542276,0.597217,3,11,208,125,0,3,4000,0.5,False,False,0.0,4,1,0.456
34,1.594136,1.000276,0.538462,1.048115,0.518342,0.538101,3,13,218,127,0,3,4000,0.5,False,False,0.0,4,1,0.685039
35,1.326793,0.686511,0.574163,0.683388,0.500926,0.526732,2,12,260,51,0,3,4000,0.5,False,False,0.0,4,1,0.54902
36,1.420274,1.085162,0.397849,1.089102,0.506663,0.510388,3,10,164,71,0,3,4000,0.5,False,False,0.0,4,1,0.450704
37,1.483180,0.646675,0.655172,0.646732,0.497137,0.508504,2,11,148,61,0,3,4000,0.5,False,False,0.0,4,1,0.688525
38,2.081151,0.775040,0.577236,0.774933,0.625162,0.618766,3,11,344,221,0,3,4000,0.5,False,False,0.0,4,1,0.59276
39,2.024616,0.594876,0.775701,0.553709,0.509710,0.726739,2,16,192,85,0,3,4000,0.5,False,False,0.0,4,1,0.682353
40,1.442520,0.675304,0.608333,0.671271,0.505894,0.521542,2,16,139,19,0,3,4000,0.5,False,False,0.0,4,1,0.578947
