episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,1.378022,0.690351,0.587209,0.681396,0.496905,0.486295,2,8,388,44,0,3,4000,0.5,False,False,0.0,4,1,0.545455
2,1.459154,0.685739,0.589552,0.677606,0.497036,0.569664,2,15,261,127,0,3,4000,0.5,False,False,0.0,4,1,0.606299
3,1.462209,1.087063,0.372093,1.128942,0.590770,0.885721,3,15,151,108,0,3,4000,0.5,False,False,0.0,4,1,0.527778
4,1.465956,0.671836,0.683616,0.631281,0.499859,0.566989,2,11,359,182,0,3,4000,0.5,False,False,0.0,4,1,0.626374
5,1.456469,1.090836,0.388889,1.102047,0.521061,0.519877,3,9,183,147,0,3,4000,0.5,False,False,0.0,4,1,0.462585
6,1.311815,0.683908,0.583333,0.682533,0.484263,0.525879,2,15,129,69,0,3,4000,0.5,False,False,0.0,4,1,0.623188
7,1.503302,0.693609,0.473077,0.694268,0.503599,0.637436,2,12,372,112,0,3,4000,0.5,False,False,0.0,4,1,0.508929
8,1.306490,0.690042,0.558704,0.686873,0.492852,0.505479,2,10,308,61,0,3,4000,0.5,False,False,0.0,4,1,0.540984
9,1.572833,0.685243,0.594203,0.678734,0.513626,0.529481,2,8,295,226,0,3,4000,0.5,False,False,0.0,4,1,0.553097
10,1.660715,0.652048,0.708333,0.619405,0.497899,0.509758,2,14,181,109,0,3,4000,0.5,False,False,0.0,4,1,0.623853
11,1.597192,0.677585,0.632000,0.661135,0.486691,0.552650,2,16,260,135,0,3,4000,0.5,False,False,0.0,4,1,0.592593
12,1.591971,0.618127,0.810811,0.531445,0.501190,0.731410,2,8,160,123,0,3,4000,0.5,False,False,0.0,4,1,0.674797
13,1.326296,1.013649,0.533679,1.042409,0.480655,0.526411,3,11,242,49,0,3,4000,0.5,False,False,0.0,4,1,0.653061
14,1.681541,0.960001,0.581006,0.960209,0.523522,0.513348,3,14,328,149,0,3,4000,0.5,False,False,0.0,4,1,0.61745
15,1.354856,0.691828,0.532468,0.691068,0.493495,0.651170,2,14,147,70,0,3,4000,0.5,False,False,0.0,4,1,0.528571
16,1.709522,0.649117,0.686275,0.626479,0.490453,0.497721,2,16,277,226,0,3,4000,0.5,False,False,0.0,4,1,0.641593
17,1.870435,0.691145,0.531792,0.691233,0.512208,0.486135,2,14,288,115,0,3,4000,0.5,False,False,0.0,4,1,0.53913
18,1.419560,0.686521,0.595745,0.683120,0.500595,0.496912,2,12,158,64,0,3,4000,0.5,False,False,0.0,4,1,0.53125
19,1.861309,0.684370,0.568627,0.683824,0.489387,0.511628,2,8,306,255,0,3,4000,0.5,False,False,0.0,4,1,0.576471
20,1.818706,0.667033,0.630769,0.658723,0.501616,0.510727,2,12,176,111,0,3,4000,0.5,False,False,0.0,4,1,0.621622
21,1.775404,0.681067,0.586207,0.685144,0.504114,0.529048,2,13,228,199,0,3,4000,0.5,False,False,0.0,4,1,0.643216
