episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,1.715914,0.680939,0.725000,0.604240,0.500971,0.499577,2,5,390,270,0,3,2730,0.0,False,True,0.2,2,1,0.640741
2,1.671736,0.690851,0.626374,0.661517,0.501957,0.523037,2,26,251,69,0,3,2730,0.0,False,True,0.2,2,1,0.608696
3,1.664389,0.692889,0.648649,0.657924,0.510168,0.507611,2,8,201,127,0,3,2730,0.0,False,True,0.2,2,1,0.606299
4,1.663479,1.244703,0.481013,1.233438,0.520155,0.506455,4,5,354,275,0,3,2730,0.0,False,True,0.2,3,1,0.465455
5,1.667649,0.693975,0.476190,0.697695,0.494055,0.557219,2,20,294,189,0,3,2730,0.0,False,True,0.2,2,1,0.57672
6,1.674429,0.701613,0.275000,0.590484,0.482942,0.496549,2,27,361,281,0,3,2730,0.0,False,True,0.2,2,1,0.69395
7,1.675471,0.969511,0.542683,0.934823,0.572077,0.618176,3,20,195,31,0,3,2730,0.0,False,True,0.2,2,1,0.451613
8,1.672493,1.327908,0.493671,1.300128,0.576986,0.500847,5,16,289,210,0,3,2730,0.0,False,True,0.2,3,1,0.414286
9,1.675291,1.300931,0.615385,1.238923,0.599960,0.519596,5,26,251,225,0,3,2730,0.0,False,True,0.2,3,1,0.622222
10,1.688031,0.693325,0.500000,0.712821,0.504236,0.508216,2,19,268,224,0,3,2730,0.0,False,True,0.2,2,1,0.598214
11,1.687238,0.703937,0.323077,0.633808,0.488875,0.508135,2,25,279,149,0,3,2730,0.0,False,True,0.2,2,1,0.630872
12,1.679263,1.363737,0.458564,1.344542,0.595291,0.489345,6,21,303,122,0,3,2730,0.0,False,True,0.2,3,1,0.344262
13,1.678939,1.034177,0.526718,1.027160,0.509920,0.495990,3,15,215,84,0,3,2730,0.0,False,True,0.2,2,1,0.535714
14,1.675421,0.695878,0.413793,0.678511,0.500064,0.504810,2,8,228,54,0,3,2730,0.0,False,True,0.2,2,1,0.574074
