episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
1,1.409667,0.690769,0.620690,0.665065,0.502315,0.504482,2,10,353,237,0,3,2730,0.5,False,False,0.0,3,1,0.64557
2,1.390210,0.692826,0.638298,0.654770,0.503499,0.477776,2,17,165,24,0,3,2730,0.5,False,False,0.0,3,1,0.625
3,1.383576,0.693627,0.451389,0.693848,0.501190,0.545248,2,9,204,60,0,3,2730,0.5,False,False,0.0,3,1,0.6
4,1.377206,1.059783,0.463918,1.052602,0.508454,0.474323,3,17,185,88,0,3,2730,0.5,False,False,0.0,3,1,0.477273
5,1.372148,0.699165,0.344633,0.652247,0.507125,0.498937,2,15,322,145,0,3,2730,0.5,False,False,0.0,3,1,0.593103
6,1.371713,0.701133,0.369128,0.659128,0.512916,0.784434,2,12,274,125,0,3,2730,0.5,False,False,0.0,3,1,0.648
7,1.372209,0.997395,0.541667,0.964616,0.505833,0.489885,3,19,381,45,0,3,2730,0.5,False,False,0.0,3,1,0.511111
8,1.374111,0.697391,0.372549,0.675556,0.502254,0.496527,2,15,319,268,0,3,2730,0.5,False,False,0.0,3,1,0.541045
9,1.378952,0.732168,0.270677,0.586694,0.509351,0.599757,2,18,399,266,0,3,2730,0.5,False,False,0.0,3,1,0.695489
10,1.377539,1.061977,0.540146,1.057875,0.546049,0.485606,3,18,155,18,0,3,2730,0.5,False,False,0.0,3,1,0.444444
11,1.387410,0.697487,0.463768,0.698033,0.509031,0.498960,2,18,193,124,0,3,2730,0.5,False,False,0.0,3,1,0.596774
12,1.386501,0.695634,0.480519,0.698308,0.487844,0.556907,2,19,213,136,0,3,2730,0.5,False,False,0.0,3,1,0.573529
13,1.412527,0.691259,0.538462,0.707484,0.493302,0.478798,2,17,144,92,0,3,2730,0.5,False,False,0.0,3,1,0.554348
14,1.431356,0.877569,0.409091,0.851843,0.557605,0.449781,3,15,373,65,0,3,2730,0.5,False,False,0.0,3,1,0.584615
15,1.423142,1.040702,0.483412,1.021195,0.502462,0.523348,3,15,302,91,0,3,2730,0.5,False,False,0.0,3,1,0.472527
16,1.419347,0.698417,0.440860,0.686221,0.509556,0.511487,2,13,207,114,0,3,2730,0.5,False,False,0.0,3,1,0.552632
17,1.413141,1.068456,0.474860,1.056364,0.495807,0.514753,3,10,300,121,0,3,2730,0.5,False,False,0.0,3,1,0.471074
18,1.403857,0.870284,0.245509,0.709137,0.619345,0.507136,3,10,257,90,0,3,2730,0.5,False,False,0.0,3,1,0.666667
19,1.427993,0.697699,0.479769,0.703623,0.506781,0.455674,2,15,210,37,0,3,2730,0.5,False,False,0.0,3,1,0.594595
20,1.412907,0.720841,0.391753,0.678635,0.497971,0.496777,2,8,381,284,0,3,2730,0.5,False,False,0.0,3,1,0.672535
21,1.418030,0.956603,0.407407,0.923227,0.531244,0.568154,3,17,222,168,0,3,2730,0.5,False,False,0.0,3,1,0.529762
22,1.426997,0.703465,0.347458,0.667262,0.500903,0.512606,2,19,325,207,0,3,2730,0.5,False,False,0.0,3,1,0.550725
23,1.457636,0.693201,0.393750,0.693147,0.500301,0.492246,2,17,232,72,0,3,2730,0.5,False,False,0.0,3,1,0.5
24,1.440878,1.093266,0.407407,1.092957,0.496932,0.518932,3,14,257,149,0,3,2730,0.5,False,False,0.0,3,1,0.422819
25,1.443347,1.113596,0.315789,1.134340,0.511005,0.671897,3,10,131,112,0,3,2730,0.5,False,False,0.0,3,1,0.410714
26,1.427871,0.719309,0.370000,0.659057,0.505062,0.523798,2,14,390,190,0,3,2730,0.5,False,False,0.0,3,1,0.636842
27,1.424048,0.692880,0.531250,0.727163,0.504284,0.583662,2,19,268,236,0,3,2730,0.5,False,False,0.0,3,1,0.601695
28,1.451491,1.043713,0.513889,1.011335,0.494001,0.527371,3,16,195,51,0,3,2730,0.5,False,False,0.0,3,1,0.529412
29,1.423220,0.762654,0.270833,0.587855,0.492860,0.569985,2,17,315,219,0,3,2730,0.5,False,False,0.0,3,1,0.689498
30,1.441140,0.714387,0.352113,0.654392,0.496759,0.497790,2,9,350,208,0,3,2730,0.5,False,False,0.0,3,1,0.596154
31,1.421152,0.701441,0.398844,0.677108,0.509660,0.497625,2,11,368,195,0,3,2730,0.5,False,False,0.0,3,1,0.553846
32,1.429630,1.022311,0.515021,0.997213,0.489566,0.504676,3,19,344,111,0,3,2730,0.5,False,False,0.0,3,1,0.495495
33,1.409683,1.036023,0.594203,0.982012,0.491149,0.476343,3,11,140,71,0,3,2730,0.5,False,False,0.0,3,1,0.661972
34,1.450085,0.734431,0.314685,0.629147,0.483235,0.495565,2,17,257,114,0,3,2730,0.5,False,False,0.0,3,1,0.631579
35,1.440788,0.707844,0.367816,0.664917,0.500832,0.493266,2,9,291,204,0,3,2730,0.5,False,False,0.0,3,1,0.573529
36,1.439096,0.730865,0.302817,0.626054,0.507458,0.530844,2,15,171,29,0,3,2730,0.5,False,False,0.0,3,1,0.62069
37,1.431104,0.694693,0.505682,0.715862,0.497916,0.483736,2,14,201,25,0,3,2730,0.5,False,False,0.0,3,1,0.6
38,1.420686,1.030828,0.666667,0.882597,0.528836,0.601288,3,13,143,29,0,3,2730,0.5,False,False,0.0,3,1,0.689655
39,1.430984,1.056527,0.523438,1.023930,0.493809,0.502628,3,14,302,174,0,3,2730,0.5,False,False,0.0,3,1,0.54023
40,1.416978,0.702651,0.351097,0.668003,0.491066,0.510067,2,17,388,69,0,3,2730,0.5,False,False,0.0,3,1,0.550725
