step,ce,bce,pdlc_tau,accuracy,lr,prior_time,train_time,pdlc_pos_weight,pdlc_pos_frac,pdlc_pair_logit_mean,pdlc_pair_logit_std,pdlc_pair_logit_pos_mean,pdlc_pair_logit_neg_mean,pdlc_logit_gap,pdlc_gamma_pos_mean,pdlc_gamma_neg_mean,pdlc_gamma_gap,pdlc_gamma_saturated_low,pdlc_gamma_saturated_high,pdlc_neff_mean,pdlc_neff_median,pdlc_entropy,pdlc_max_prob,pdlc_prob_gap,pdlc_prior_entropy,pdlc_entropy_reduction,probe/attn_kl_mean,probe/attn_entropy_mean,probe/delta_ce,probe/ce,probe/chance_entropy,row_L2_context_div,row_L2_sparsity,row_L2_scale_mean,row_L2_feat_velocity,row_L2_q_norm,row_L2_logit_mean,row_L12_context_div,row_L12_sparsity,row_L12_scale_mean,row_L12_feat_velocity,row_L12_q_norm,row_L12_logit_mean,icl_L2_context_div,icl_L2_sparsity,icl_L2_scale_mean,icl_L2_feat_velocity,icl_L2_q_norm,icl_L2_logit_mean,icl_L12_context_div,icl_L12_sparsity,icl_L12_scale_mean,icl_L12_feat_velocity,icl_L12_q_norm,icl_L12_logit_mean
1,0.7767975287279114,0.0,0.0,0.6701780804432929,1.9970015e-05,10.28918336238712,39.83337106369436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.1443965882062912,0.5286928415298462,0.8573528528213501,9.00972843170166,6.128004550933838,nan,0.19057215750217438,0.405370831489563,0.7913358807563782,6.885105609893799,4.509932994842529
2,0.5942078731459333,0.0,0.0,0.7475035381503403,1.9940060000000003e-05,0.01290307380259037,36.385538696311414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.11317478865385056,0.591037929058075,0.8367636799812317,9.33983039855957,6.736658573150635,nan,0.17530933022499084,0.3346651494503021,1.0097140073776245,5.665153503417969,3.233011245727539
3,0.8458102474687621,0.0,0.0,0.6401458191685379,1.9910135000000003e-05,0.0003309408202767372,35.892526778392494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.14173859357833862,0.5365824103355408,0.8610802292823792,9.019139289855957,6.19788122177124,nan,0.18354208767414093,0.3705120086669922,0.8367774486541748,6.686776638031006,4.202531337738037
4,0.7703030661505181,0.0,0.0,0.6713357975240797,1.9880240000000003e-05,0.0006338460370898247,36.017309102229774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.1497313231229782,0.5768805146217346,0.875224232673645,8.841630935668945,6.152235984802246,nan,0.18384265899658203,0.4279825687408447,0.8436301350593567,8.507115364074707,6.481265068054199
5,0.7279083703178912,0.0,0.0,0.6971648689359426,1.9850375000000004e-05,0.0004048105329275131,36.98868976999074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.09682479500770569,0.6266751885414124,0.8592694401741028,9.435083389282227,6.9565019607543945,nan,0.17949023842811584,0.46621865034103394,1.0379104614257812,6.889687538146973,4.956582546234131
6,0.8247420185194869,0.0,0.0,0.6503073407802731,1.9820540000000004e-05,0.0005800332874059677,35.757374168373644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.10978151112794876,0.5399438142776489,0.8915995955467224,8.871599197387695,6.192780494689941,nan,0.1677437722682953,0.47829610109329224,1.1528499126434326,6.628730297088623,4.769464492797852
7,0.7380512697855011,0.0,0.0,0.6734889515209943,1.9790735000000003e-05,0.00041530095040798187,38.505594990216196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.1077101081609726,0.5967766046524048,0.8567779064178467,9.120491027832031,6.457625389099121,nan,0.17600849270820618,0.3961538076400757,0.8270278573036194,6.404672622680664,4.278321743011475
8,0.8904505426471587,0.0,0.0,0.6183570325374603,1.976096e-05,0.0004059765487909317,37.90554153826088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.12129528075456619,0.5992302894592285,0.8516140580177307,9.05373477935791,6.406559944152832,nan,0.18251484632492065,0.3976110517978668,0.8673515319824219,6.6211323738098145,4.127706527709961
9,0.8504204453129205,0.0,0.0,0.6522155264392495,1.9731215000000003e-05,0.0004191119223833084,35.480114485137165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.11232470721006393,0.6064570546150208,0.8590661883354187,9.006767272949219,6.465592384338379,nan,0.18647052347660065,0.35201436281204224,0.7653866410255432,6.747086524963379,4.008607864379883
10,0.6958518635910877,0.0,0.0,0.704852026887238,1.97015e-05,0.00042282138019800186,35.810901128686965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.10044918954372406,0.6777799129486084,0.8516850471496582,9.874642372131348,7.5574951171875,nan,0.15737754106521606,0.5453991889953613,0.9311054348945618,6.902667999267578,5.184148788452148
